id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
00048606,text,975,636,1023,708,ひょっとしたら・・・・,,,22
00048607,frame,1328,68,1581,604,,,,22
00048608,text,957,733,990,783,うふんすてき,,,22
00048609,frame,891,70,1319,602,,,,22
0004860a,body,1117,292,1313,600,,00048126,チョンボ,22
0004860b,text,1433,638,1530,769,かくて悪逆非道のサド侯爵の城は壊滅した・・・・,,,22
0004860c,text,1092,66,1297,217,大阪名物張り扇チョーップ,,,22
0004860d,frame,889,622,1583,1107,,,,22
0004860e,body,976,867,1122,935,,00048539,女B,22
0004860f,text,1164,990,1232,1086,ちょいとーっわたしをわすれちゃいやよーっ,,,22
00048610,body,1231,911,1307,985,,0004812f,タクシーの運転手,22
00048611,body,1328,251,1571,602,,0004849f,サド侯爵,22
00048612,face,1418,319,1547,425,,0004849f,サド侯爵,22
00048613,text,1521,1036,1564,1079,チョチョチョチョ,,,22
00048614,body,1049,829,1138,943,,00048126,チョンボ,22
00048615,text,1353,78,1568,175,くそーっ,,,22
00048616,text,1222,635,1360,770,むこうきずのチョンボかれこそ今世紀最強のギャンブラーなのではあるまいか・・・・,,,22
00048617,face,1170,378,1289,454,,00048126,チョンボ,22
00048618,text,1071,685,1104,752,よかったねっ,,,22
