id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
00048ecf,face,497,502,592,595,00048e81,花札佐吉,,59
00048ed0,frame,65,424,759,654,,,,59
00048ed1,body,1463,702,1588,865,00048126,チョンボ,,59
00048ed2,face,1165,468,1235,534,00048e81,花札佐吉,,59
00048ed3,face,1456,477,1545,535,00048126,チョンボ,,59
00048ed4,frame,1165,597,1587,867,,,,59
00048ed5,text,1014,340,1084,425,,,えらいいわれようですなあたしはっ,59
00048ed6,body,938,892,1252,1169,00048126,チョンボ,,59
00048ed7,body,535,150,755,399,00048126,チョンボ,,59
00048ed8,body,434,475,645,653,00048e81,花札佐吉,,59
00048ed9,face,1384,184,1492,279,00048e81,花札佐吉,,59
00048eda,frame,1252,331,1590,580,,,,59
00048edb,text,904,508,996,593,,,先生はただいまふきげんになっておられる,59
00048edc,body,902,365,1033,494,0004812f,タクシーの運転手,,59
00048edd,body,1111,445,1240,576,00048e81,花札佐吉,,59
00048ede,face,929,711,991,756,00048e81,花札佐吉,,59
00048edf,text,1491,898,1562,1002,,,だからしてェチョンボ！！,59
00048ee0,text,1242,904,1316,1013,,,もう勝負ごとはやめろっ,59
00048ee1,face,70,1053,258,1163,0004812f,タクシーの運転手,,59
00048ee2,body,164,426,346,650,00048126,チョンボ,,59
00048ee3,text,1070,612,1126,704,,,はっはっはそらおもろい,59
00048ee4,frame,0,913,763,1169,,,,59
00048ee5,text,302,86,378,170,,,よくいったそれでこそわしの弟子じゃ,59
00048ee6,frame,1127,68,1587,313,,,,59
00048ee7,face,586,249,726,342,00048126,チョンボ,,59
00048ee8,face,1229,192,1362,271,0004812f,タクシーの運転手,,59
00048ee9,body,919,161,1101,311,00048e81,花札佐吉,,59
00048eea,frame,65,675,759,893,,,,59
00048eeb,text,923,612,961,682,,,よろこぶなっ,59
00048eec,body,1129,165,1239,307,00048126,チョンボ,,59
00048eed,text,103,439,150,535,,,もとよりのぞむところです！！,59
00048eee,face,1132,216,1211,271,00048126,チョンボ,,59
00048eef,text,1153,64,1240,148,,,えーかれはタクシーの運転手でありまして,59
00048ef0,text,1507,88,1562,172,,,わーっポリ公！！,59
00048ef1,text,1135,338,1224,425,,,だいたいついてくる運転手も運転手だっ,59
00048ef2,body,601,1010,757,1167,00048e81,花札佐吉,,59
00048ef3,body,341,677,466,874,00048126,チョンボ,,59
00048ef4,face,601,747,661,813,00048e81,花札佐吉,,59
00048ef5,text,1186,621,1303,754,,,わーっじつはかあちゃんににげられたのだーっ,59
00048ef6,face,217,525,314,603,00048126,チョンボ,,59
00048ef7,body,904,753,1042,865,0004812f,タクシーの運転手,,59
