id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
000490c1,text,1281,440,1325,546,用があるのは後ろの娘だ,,,7
000490c2,body,259,100,485,326,,00048fad,シャクマ,7
000490c3,face,299,195,374,268,,00048fad,シャクマ,7
000490c4,body,137,799,404,1084,,0004908e,ランス,7
000490c5,face,1320,957,1465,1059,,00048fad,シャクマ,7
000490c6,face,653,880,683,951,,00049099,スピア,7
000490c7,frame,892,436,1267,612,,,,7
000490c8,body,556,893,635,1018,,00048fad,シャクマ,7
000490c9,text,1051,620,1111,667,フンバカな事を,,,7
000490ca,face,1011,654,1036,677,,0004908e,ランス,7
000490cb,face,479,902,496,928,,0004908e,ランス,7
000490cc,body,110,433,296,745,,0004908e,ランス,7
000490cd,body,621,514,743,744,,0004908e,ランス,7
000490ce,body,275,332,535,605,,00048fad,シャクマ,7
000490cf,text,727,777,741,828,ほう…,,,7
000490d0,frame,896,616,1275,862,,,,7
000490d1,text,1203,875,1266,987,なら力ずくで案内させてやる,,,7
000490d2,text,698,383,740,442,ううわっ,,,7
000490d3,frame,90,774,402,1088,,,,7
000490d4,body,905,869,1160,1091,,00049099,スピア,7
000490d5,frame,1275,440,1551,846,,,,7
000490d6,frame,94,98,748,356,,,,7
000490d7,text,1513,446,1547,528,きさまなぞに用は無い,,,7
000490d8,frame,899,869,1183,1082,,,,7
000490d9,body,1273,443,1553,843,,00049099,スピア,7
000490da,face,216,966,311,1059,,0004908e,ランス,7
000490db,body,1108,630,1269,856,,00048fad,シャクマ,7
000490dc,text,100,105,132,247,行くぜぇっ,,,7
000490dd,frame,47,345,615,765,,,,7
000490de,body,930,648,1007,854,,00049099,スピア,7
000490df,face,1358,632,1460,725,,00049099,スピア,7
000490e0,frame,409,769,752,1088,,,,7
000490e1,face,630,564,745,718,,0004908e,ランス,7
000490e2,body,898,442,1149,609,,00049055,アネス,7
000490e3,text,1501,97,1557,215,シャーマンだとっ!?,,,7
000490e4,face,995,945,1074,1025,,00049099,スピア,7
000490e5,text,1531,883,1546,961,おもしれえ,,,7
000490e6,body,975,616,1079,833,,0004908e,ランス,7
000490e7,body,1232,871,1550,1081,,00048fad,シャクマ,7
000490e8,body,617,799,746,1086,,00049099,スピア,7
000490e9,text,894,621,932,683,さっさと消えろ,,,7
000490ea,text,1193,615,1267,708,おい!!おいらをイシュタルへ案内しろ!!,,,7
000490eb,face,347,456,433,540,,00048fad,シャクマ,7
000490ec,face,1009,494,1102,598,,00049055,アネス,7
000490ed,text,526,775,609,869,どうだイシュタルへ連れてく気になったかっ,,,7
000490ee,frame,871,1,1613,540,,,,7
000490ef,face,1133,699,1177,765,,00048fad,シャクマ,7
000490f0,text,373,772,390,840,許さんぞ,,,7
000490f1,text,901,874,920,939,何っ？,,,7
000490f2,text,91,774,154,899,虫ケラめシャーマンの力思い知るがいいっ,,,7
000490f3,body,407,862,529,966,,0004908e,ランス,7
000490f4,face,959,673,985,705,,00049099,スピア,7
000490f5,frame,1198,866,1555,1088,,,,7
000490f6,frame,622,375,747,750,,,,7
000490f7,text,413,774,453,843,おおのれえ,,,7
000490f8,face,1140,235,1361,407,,00048fad,シャクマ,7
000490f9,body,933,0,1565,438,,00048fad,シャクマ,7
