id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
000493dd,body,1200,177,1271,274,00048fa7,長老,,23
000493de,body,1038,165,1100,277,00048f97,Others,,23
000493df,body,1170,385,1257,605,00049055,アネス,,23
000493e0,text,914,347,983,416,,,へっ冗談じゃねえ,23
000493e1,body,1239,152,1336,278,00048f97,Others,,23
000493e2,text,1038,338,1166,436,,,村の人助けてもらうのにケンカしちゃまずいんじゃない？,23
000493e3,body,42,408,532,895,000493e4,ラセツ,,23
000493e5,frame,914,96,1573,314,,,,23
000493e6,body,1029,437,1119,598,00048fad,シャクマ,,23
000493e7,frame,570,88,756,448,,,,23
000493e8,body,730,713,783,897,00048f97,Others,,23
000493e9,text,1403,337,1420,374,,,ん？,23
000493ea,face,1223,190,1242,213,00048fa7,長老,,23
000493eb,body,752,652,784,705,00048f97,Others,,23
000493ec,body,981,782,1162,1059,00049055,アネス,,23
000493ed,face,1333,211,1354,235,00048f97,Others,,23
000493ee,frame,39,339,787,904,,,,23
000493ef,body,103,880,593,1072,000493e4,ラセツ,,23
000493f0,text,703,893,746,999,,,なんとモロイ奴らなのだ,23
000493f1,body,510,595,630,879,00048f97,Others,,23
000493f2,text,923,102,1022,278,,,剛魔神一族のためシャクマよシャーマンの王の元へ行くのじゃ,23
000493f3,body,1182,700,1450,1043,00048fad,シャクマ,,23
000493f4,frame,1394,334,1573,632,,,,23
000493f5,face,1065,174,1084,195,00048f97,Others,,23
000493f6,frame,302,90,561,447,,,,23
000493f7,text,1070,640,1115,710,,,あっ待って!!,23
000493f8,face,1271,192,1295,220,00048f97,Others,,23
000493f9,body,1177,179,1214,232,00048f97,Others,,23
000493fa,face,1253,823,1366,929,00048fad,シャクマ,,23
000493fb,frame,864,533,1610,1169,,,,23
000493fc,body,704,633,753,716,00048f97,Others,,23
000493fd,text,1490,743,1535,911,,,勝負だっ,23
000493fe,text,1488,643,1583,705,,,使いは使い勝負は,23
000493ff,text,941,643,974,809,,,シャクマぁ,23
00049400,face,1188,190,1207,213,00048f97,Others,,23
00049401,face,1195,426,1227,454,00049055,アネス,,23
00049402,text,1459,100,1555,245,,,シャーマンの王の力なら石にされた者達を蘇らせる事ができる,23
00049403,body,1314,199,1362,275,00048f97,Others,,23
00049404,body,1118,131,1194,275,00048f97,Others,,23
00049405,body,489,544,569,702,00048f97,Others,,23
00049406,face,1058,869,1104,922,00049055,アネス,,23
00049407,body,611,615,762,885,00048f97,Others,,23
00049408,frame,96,88,291,447,,,,23
00049409,text,1294,338,1383,476,,,あなたシャーマンの王様と勝負するのが夢だったんでしょ,23
0004940a,frame,910,334,1386,634,,,,23
0004940b,frame,96,883,759,1075,,,,23
0004940c,body,1100,192,1139,277,00048f97,Others,,23
0004940d,text,104,896,147,984,,,人間という生き物は,23
0004940e,face,599,236,696,353,00048f97,Others,,23
0004940f,face,1049,480,1104,526,00048fad,シャクマ,,23
00049410,face,1152,179,1175,205,00048f97,Others,,23
00049411,body,574,181,755,447,00048f97,Others,,23
00049412,text,1523,336,1565,429,,,ねェシャクマ？,23
00049413,body,545,577,587,639,00048f97,Others,,23
00049414,face,1106,199,1127,220,00048f97,Others,,23
