id,type,xmin,ymin,xmax,ymax,character_id,character_name,page_number
0004a8b7,body,856,747,1341,1165,0004a73a,村田エミ,39
0004a8b8,face,1159,880,1337,1159,0004a73a,村田エミ,39
0004a8b9,body,434,140,1352,876,0004a1cb,鮫島,39
0004a8ba,face,1248,713,1560,937,0004a11d,有坂美魚,39
0004a8bb,body,930,410,1647,1165,0004a11d,有坂美魚,39
0004a8bc,body,0,5,968,1169,0004a784,半日,39
0004a8bd,face,438,125,797,461,0004a784,半日,39
0004a8be,face,809,237,1124,510,0004a1cb,鮫島,39
0004a8bf,frame,4,488,340,1169,,,39
0004a8c0,frame,2,3,1652,1169,,,39
