id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0004a921,text,895,484,999,676,幽霊が出ます！,,,42
0004a922,text,118,959,166,1067,深夜２時ごろだった,,,42
0004a923,body,82,230,228,427,,0004a20d,藤川,42
0004a924,body,169,688,275,853,,0004a1cb,鮫島,42
0004a925,body,1165,825,1412,1093,,0004a1f1,兼平,42
0004a926,text,411,84,461,168,駐屯地の古井戸じゃあるまいし,,,42
0004a927,face,1050,901,1118,961,,0004a1e9,古賀,42
0004a928,text,256,109,344,203,じつは寝ていて夢でも見てたんだろ！,,,42
0004a929,text,1444,136,1536,263,この家には,,,42
0004a92a,body,1056,915,1229,1090,,0004a1e0,小野寺,42
0004a92b,face,85,258,225,423,,0004a20d,藤川,42
0004a92c,face,605,266,753,399,,0004a1cb,鮫島,42
0004a92d,face,177,736,253,815,,0004a1cb,鮫島,42
0004a92e,face,411,650,759,853,,0004a231,浜崎,42
0004a92f,text,504,99,592,208,藤川ぁ・・・・そんなのいるわけないだろ？,,,42
0004a930,text,84,93,162,272,本当ですよ！昨夜立哨中に見たんですって！！,,,42
0004a931,body,1022,884,1141,1066,,0004a1e9,古賀,42
0004a932,body,889,98,1541,701,,0004a20d,藤川,42
0004a933,face,955,277,1461,649,,0004a20d,藤川,42
0004a934,text,635,495,739,614,おまえも見たのか藤川・・・・,,,42
0004a935,body,561,211,760,422,,0004a1cb,鮫島,42
0004a936,text,677,111,741,222,いきなり何を言うかと思えぱ・・・・,,,42
0004a937,face,457,272,573,369,,0004a1f1,兼平,42
0004a938,body,341,504,763,852,,0004a231,浜崎,42
0004a939,text,119,492,197,641,"！！
浜崎っ！！",,,42
0004a93a,frame,80,81,761,431,,,,42
0004a93b,body,219,253,399,428,,0004a322,桜井,42
0004a93c,face,238,913,597,1095,,0004a231,浜崎,42
0004a93d,face,1090,947,1200,1040,,0004a1e0,小野寺,42
0004a93e,body,205,869,633,1095,,0004a231,浜崎,42
0004a93f,text,653,908,741,1000,あれは数日前歩哨勤務中のーー・・・・,,,42
0004a940,body,420,241,608,427,,0004a1f1,兼平,42
0004a941,frame,887,724,1570,1093,,,,42
0004a942,frame,82,445,763,855,,,,42
0004a943,body,234,652,441,851,,0004a20d,藤川,42
0004a944,body,348,163,504,408,,0004a1e9,古賀,42
0004a945,face,1380,762,1566,1024,,0004a1cb,鮫島,42
0004a946,body,89,688,201,849,,0004a1f1,兼平,42
0004a947,frame,887,79,1568,703,,,,42
0004a948,body,892,854,1042,1093,,0004a322,桜井,42
0004a949,body,1302,726,1566,1091,,0004a1cb,鮫島,42
0004a94a,face,1205,865,1391,1003,,0004a1f1,兼平,42
0004a94b,face,896,894,1002,1038,,0004a322,桜井,42
0004a94c,face,249,300,372,397,,0004a322,桜井,42
0004a94d,face,87,722,170,819,,0004a1f1,兼平,42
0004a94e,face,371,213,460,279,,0004a1e9,古賀,42
0004a94f,face,266,707,391,809,,0004a20d,藤川,42
0004a950,frame,84,871,763,1095,,,,42
