id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
0004af9b,face,1033,819,1173,929,0004a137,美魚の母,,80
0004af9c,text,1201,762,1227,889,,,綾ちゃん！！,80
0004af9d,body,512,1006,586,1099,0004a11d,有坂美魚,,80
0004af9e,body,350,863,418,921,0004a125,綾,,80
0004af9f,body,647,873,734,981,0004a1cb,鮫島,,80
0004afa0,body,21,953,177,1169,0004a11d,有坂美魚,,80
0004afa1,frame,342,774,753,1099,,,,80
0004afa2,body,1001,757,1229,949,0004a137,美魚の母,,80
0004afa3,face,148,981,328,1125,0004a231,浜崎,,80
0004afa4,body,493,506,877,749,0004a1e9,古賀,,80
0004afa5,face,1195,582,1269,654,0004a322,桜井,,80
0004afa6,face,1035,932,1153,1042,0004a125,綾,,80
0004afa7,text,254,818,318,946,,,意外だなあんなに泳ぎが上手いなんて,80
0004afa8,frame,0,1,1653,801,,,,80
0004afa9,body,1176,561,1309,705,0004a322,桜井,,80
0004afaa,text,20,1038,50,1100,,,ホントだったんだ,80
0004afab,face,47,1000,115,1057,0004a11d,有坂美魚,,80
0004afac,text,48,824,127,939,,,前から水泳は得意だって言ってたけど・・・・,80
0004afad,body,380,835,463,933,0004a137,美魚の母,,80
0004afae,body,611,926,679,1034,0004a231,浜崎,,80
0004afaf,body,124,937,339,1169,0004a231,浜崎,,80
0004afb0,frame,1231,732,1653,1169,,,,80
0004afb1,body,1007,899,1195,1144,0004a125,綾,,80
0004afb2,face,535,547,666,651,0004a1e9,古賀,,80
0004afb3,text,920,1011,1009,1135,,,"大丈夫よ
落ち着きなさい！",80
0004afb4,frame,0,800,338,1169,,,,80
0004afb5,body,565,878,625,980,0004a322,桜井,,80
0004afb6,frame,902,753,1254,1165,,,,80
0004afb7,body,2,0,1412,795,0004a137,美魚の母,,80
0004afb8,body,679,994,747,1096,0004a1f1,兼平,,80
0004afb9,text,181,851,219,943,,,水の抵抗が大きそうなのに,80
0004afba,body,371,844,416,887,0004a1e9,古賀,,80
