id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0004bf81,text,1461,753,1549,902,ちょうど壊れたコーヒーメーカーが当たったんだよこれが…！,,,51
0004bf82,text,1079,370,1147,453,なにがあたるかなー？,,,51
0004bf83,face,872,894,921,989,,0004b4e4,山朱秋緒,51
0004bf84,body,1333,435,1367,585,,0004b521,日野夏樹,51
0004bf85,text,1233,753,1292,819,うわー出すもんですねー,,,51
0004bf86,face,1236,918,1270,954,,0004b4e6,藤原成実,51
0004bf87,text,1026,611,1470,713,一ヶ月後,,,51
0004bf88,face,1136,909,1174,956,,0004b54a,桜田春海,51
0004bf89,body,1374,887,1460,1048,,0004bbc0,正岡雅,51
0004bf8a,body,1201,882,1296,1029,,0004b4e6,藤原成実,51
0004bf8b,face,1408,907,1435,951,,0004bbc0,正岡雅,51
0004bf8c,body,1291,814,1408,1025,,0004b5b5,源慎一,51
0004bf8d,text,1072,750,1111,845,おみそれしました！,,,51
0004bf8e,body,901,457,1053,587,,0004b4e6,藤原成実,51
0004bf8f,face,1021,883,1070,939,,0004b4f9,北ケ谷冬華,51
0004bf90,body,995,376,1162,583,,0004b521,日野夏樹,51
0004bf91,frame,894,354,1156,583,,,,51
0004bf92,face,1340,850,1380,903,,0004b5b5,源慎一,51
0004bf93,frame,1170,358,1576,580,,,,51
0004bf94,body,989,861,1091,1138,,0004b4f9,北ケ谷冬華,51
0004bf95,frame,831,738,1573,1169,,,,51
0004bf96,body,868,972,1064,1169,,0004b521,日野夏樹,51
0004bf97,face,1035,431,1095,519,,0004b521,日野夏樹,51
0004bf98,text,1485,402,1539,534,あたりますよーにっ！,,,51
0004bf99,body,1087,882,1211,1139,,0004b54a,桜田春海,51
0004bf9a,text,1207,372,1297,397,帰りぎわ,,,51
0004bf9b,body,833,817,945,1169,,0004b4e4,山朱秋緒,51
0004bf9c,text,911,385,926,421,ねー,,,51
0004bf9d,face,927,503,983,569,,0004b4e6,藤原成実,51
0004bf9e,body,1302,442,1340,581,,0004b4e6,藤原成実,51
0004bf9f,face,971,1041,1029,1129,,0004b521,日野夏樹,51
