id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
0004c8ee,body,365,830,462,1105,0004b521,日野夏樹,,91
0004c8ef,face,469,1032,505,1088,0004b4e4,山朱秋緒,,91
0004c8f0,body,1037,216,1171,495,0004b4f9,北ケ谷冬華,,91
0004c8f1,text,375,731,437,847,,,ありっっ？,91
0004c8f2,face,951,406,1033,518,0004b4e4,山朱秋緒,,91
0004c8f3,frame,896,885,1228,1112,,,,91
0004c8f4,face,642,418,697,484,0004b521,日野夏樹,,91
0004c8f5,text,914,649,933,686,,,へ？,91
0004c8f6,body,497,995,588,1169,0004b54a,桜田春海,,91
0004c8f7,face,183,948,232,1006,0004b54a,桜田春海,,91
0004c8f8,text,1132,760,1149,831,,,藤原っっ,91
0004c8f9,body,155,918,261,1109,0004b54a,桜田春海,,91
0004c8fa,body,570,367,746,589,0004b521,日野夏樹,,91
0004c8fb,text,572,152,724,309,,,"やー木崎がそれはねーよ
…あ！ホラホラ",91
0004c8fc,body,407,417,491,573,0004b4e4,山朱秋緒,,91
0004c8fd,face,436,444,465,486,0004b4e4,山朱秋緒,,91
0004c8fe,body,71,942,150,1109,0004b4e4,山朱秋緒,,91
0004c8ff,frame,899,3,1187,576,,,,91
0004c900,frame,1236,617,1577,1168,,,,91
0004c901,text,1183,651,1200,723,,,木崎さん,91
0004c902,frame,71,670,458,1107,,,,91
0004c903,face,1078,259,1129,325,0004b4f9,北ケ谷冬華,,91
0004c904,text,1389,643,1549,765,,,"へーっシカトは誤解だったんかー
で？何てコ？",91
0004c905,text,123,170,165,281,,,陸上部３年の川ロセンパイ,91
0004c906,face,1002,701,1077,820,0004b521,日野夏樹,,91
0004c907,body,212,452,243,554,0004c805,木崎,,91
0004c908,face,473,961,509,1012,0004b4f9,北ケ谷冬華,,91
0004c909,face,104,882,142,938,0004b4f9,北ケ谷冬華,,91
0004c90a,text,1157,906,1195,1022,,,それってＤ組の木崎？,91
0004c90b,text,561,692,729,846,,,"中学んトキからって話だから２人相当仲いいぜー？
はは！皆残念だったな！",91
0004c90c,face,491,395,524,440,0004b4e6,藤原成実,,91
0004c90d,text,454,171,476,209,,,？,91
0004c90e,text,915,904,932,1015,,,知ってるの？,91
0004c90f,text,932,101,997,251,,,これがまたまんざらでもなさそうでよう！,91
0004c910,body,253,904,354,1106,0004b4e6,藤原成実,,91
0004c911,frame,387,73,756,635,,,,91
0004c912,body,1309,64,1577,582,0004b521,日野夏樹,,91
0004c913,body,966,621,1124,847,0004b521,日野夏樹,,91
0004c914,face,657,973,750,1103,0004b521,日野夏樹,,91
0004c915,body,932,920,1163,1112,0004b4e6,藤原成実,,91
0004c916,body,471,933,516,1037,0004b4f9,北ケ谷冬華,,91
0004c917,body,1074,294,1187,532,0004b54a,桜田春海,,91
0004c918,face,72,970,112,1015,0004b4e4,山朱秋緒,,91
0004c919,body,569,973,649,1125,0004b4e6,藤原成実,,91
0004c91a,face,286,929,320,982,0004b4e6,藤原成実,,91
0004c91b,body,530,885,756,1169,0004b521,日野夏樹,,91
0004c91c,text,1222,145,1269,257,,,春海に春が来た？,91
0004c91d,face,580,992,614,1039,0004b4e6,藤原成実,,91
0004c91e,face,982,981,1072,1093,0004b4e6,藤原成実,,91
0004c91f,body,894,312,1131,580,0004b4e4,山朱秋緒,,91
0004c920,body,69,850,175,1013,0004b4f9,北ケ谷冬華,,91
0004c921,body,1234,814,1331,1169,0004b4e4,山朱秋緒,,91
0004c922,text,1142,89,1168,184,,,ちがっ...,91
0004c923,face,1236,891,1303,999,0004b4e4,山朱秋緒,,91
0004c924,face,523,1019,570,1070,0004b54a,桜田春海,,91
0004c925,frame,1199,5,1581,581,,,,91
0004c926,text,1513,90,1532,165,,,なに？,91
0004c927,frame,896,615,1226,844,,,,91
0004c928,face,1375,246,1536,521,0004b521,日野夏樹,,91
0004c929,frame,74,0,371,630,,,,91
0004c92a,face,1427,939,1493,1029,0004b521,日野夏樹,,91
0004c92b,body,469,1006,513,1164,0004b4e4,山朱秋緒,,91
0004c92c,frame,469,670,755,1167,,,,91
0004c92d,text,285,184,327,314,,,"おーあのコだ！
...隣　誰？",91
0004c92e,body,460,369,561,574,0004b4e6,藤原成実,,91
0004c92f,text,1286,644,1326,764,,,"えーと...
何つったっけ？",91
0004c930,body,1326,874,1564,1169,0004b521,日野夏樹,,91
