id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0004d012,frame,1135,97,1251,576,,,,37
0004d013,frame,1424,597,1575,1078,,,,37
0004d014,text,129,184,182,497,憎いわー！！,,,37
0004d015,body,1135,227,1255,575,,0004cb58,科野秀介,37
0004d016,body,930,248,1126,573,,0004ca24,せあら,37
0004d017,body,1276,670,1418,1078,,0004ca26,ちぎり,37
0004d018,body,433,801,679,1040,,0004ca26,ちぎり,37
0004d019,text,1181,598,1255,935,"お父さんの命も
愛情も人形も！",,,37
0004d01a,frame,928,97,1119,576,,,,37
0004d01b,text,970,121,1107,238,"せあら？
どうしたんだその傷！？",,,37
0004d01c,face,196,726,261,791,,0004cb58,科野秀介,37
0004d01d,frame,42,671,740,1167,,,,37
0004d01e,body,46,782,286,1147,,0004ca24,せあら,37
0004d01f,face,1445,856,1515,925,,0004ca26,ちぎり,37
0004d020,face,258,114,638,501,,0004ca26,ちぎり,37
0004d021,text,1391,100,1403,158,……,,,37
0004d022,face,174,840,226,894,,0004ca24,せあら,37
0004d023,text,1300,606,1388,718,わたしはせあらが憎いわ,,,37
0004d024,frame,1277,597,1409,1076,,,,37
0004d025,body,1425,788,1562,1077,,0004ca26,ちぎり,37
0004d026,body,152,675,409,1164,,0004cb58,科野秀介,37
0004d027,frame,863,574,1358,1165,,,,37
0004d028,frame,87,534,741,721,,,,37
0004d029,body,1268,4,1626,595,,0004cb58,科野秀介,37
0004d02a,face,1277,810,1414,986,,0004ca26,ちぎり,37
0004d02b,text,1280,136,1300,260,...なんだ...？,,,37
0004d02c,face,1345,160,1604,419,,0004cb58,科野秀介,37
0004d02d,text,612,112,712,284,せあらが憎い,,,37
0004d02e,face,1146,329,1219,451,,0004cb58,科野秀介,37
0004d02f,frame,1251,2,1618,597,,,,37
0004d030,frame,45,0,781,569,,,,37
0004d031,text,915,800,1037,1036,みんなせあらが奪ったのよ！！,,,37
0004d032,text,1271,427,1313,513,これは...,,,37
0004d033,body,911,594,1283,1144,,0004ca26,ちぎり,37
0004d034,body,340,564,736,718,,0004ca26,ちぎり,37
0004d035,face,378,614,443,676,,0004ca26,ちぎり,37
0004d036,face,928,707,1208,1143,,0004ca26,ちぎり,37
0004d037,body,98,5,736,537,,0004ca26,ちぎり,37
0004d038,text,365,822,411,1054,ちぎり！！,,,37
0004d039,face,939,305,1000,369,,0004ca24,せあら,37
