id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
0004d527,body,908,583,1122,1169,0004d270,香名子,,68
0004d528,body,1246,111,1481,436,0004d367,暁,,68
0004d529,body,33,705,439,1169,0004d270,香名子,,68
0004d52a,text,1450,460,1536,583,,,...事故の三日前でした...,68
0004d52b,text,1170,482,1227,574,,,そのうちのひとりの顔,68
0004d52c,face,1300,154,1422,292,0004d367,暁,,68
0004d52d,body,93,417,278,701,0004d270,香名子,,68
0004d52e,face,1137,743,1255,897,0004d270,香名子,,68
0004d52f,text,520,775,562,882,,,香名！！,68
0004d530,body,513,414,675,652,0004d367,暁,,68
0004d531,frame,907,109,1187,436,,,,68
0004d532,body,1128,613,1259,1061,0004d270,香名子,,68
0004d533,text,1438,794,1554,1092,,,"関係あると思うわなかったので
あの時は話しませんでしたけど",68
0004d534,frame,1274,462,1413,1086,,,,68
0004d535,face,1443,707,1531,795,0004d270,香名子,,68
0004d536,face,174,446,206,494,0004d270,香名子,,68
0004d537,body,987,234,1120,439,0004d270,香名子,,68
0004d538,frame,1133,464,1261,1086,,,,68
0004d539,frame,1196,107,1558,438,,,,68
0004d53a,text,1393,117,1540,420,,,"ちょっと待てよおっさん！
そういう言い方するとまるであの事故が
仕組まれたもんだと...",68
0004d53b,text,1288,757,1399,1026,,,"どろぼう...かと思いました
家の中で何かさがしまわっていたんです",68
0004d53c,face,1016,277,1080,329,0004d270,香名子,,68
0004d53d,text,1003,909,1111,1078,,,その顔まだはっきりと...,68
0004d53e,face,915,658,1107,980,0004d270,香名子,,68
0004d53f,frame,42,35,373,372,,,,68
0004d540,text,954,487,1103,610,,,暗がりでしたけどわたし見てます！,68
0004d541,frame,76,377,377,697,,,,68
0004d542,text,639,125,696,332,,,覚えてるわ！！,68
0004d543,body,1416,624,1608,1167,0004d270,香名子,,68
0004d544,text,1334,466,1391,602,,,夜中に三人の男の人が,68
0004d545,body,584,532,735,899,0004d270,香名子,,68
0004d546,face,116,820,265,978,0004d270,香名子,,68
0004d547,frame,1418,460,1614,1167,,,,68
0004d548,text,1175,959,1229,1057,,,わたし...見てます,68
0004d549,text,1219,179,1263,337,,,刑事さん！！,68
0004d54a,frame,907,464,1122,1169,,,,68
0004d54b,frame,36,705,441,1169,,,,68
0004d54c,frame,380,2,728,1080,,,,68
