id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
0004e554,frame,423,100,746,341,,,,37
0004e555,frame,74,616,399,853,,,,37
0004e556,body,906,939,997,1066,0004d8d6,Other,,37
0004e557,frame,74,359,400,596,,,,37
0004e558,face,568,673,704,777,0004d8aa,かおり,,37
0004e559,text,212,876,297,1021,,,「ホントかどうか確かめさせろ」なんて絶対言われないし,37
0004e55a,frame,904,355,1221,594,,,,37
0004e55b,text,1129,882,1211,1027,,,虫の居所がだ悪いのを男にぶつけるのはいいのかよ！,37
0004e55c,text,1419,910,1493,1066,,,紙袋に入れる時点でナプキンだって周りにバレるよね。,37
0004e55d,body,467,454,548,592,0004d8a6,千里ゆうこ,,37
0004e55e,body,1098,374,1221,594,0004d8d6,Other,,37
0004e55f,body,1076,652,1167,844,0004d8aa,かおり,,37
0004e560,face,1081,671,1132,714,0004d8aa,かおり,,37
0004e561,body,309,920,392,1104,0004d8d6,Other,,37
0004e562,text,115,63,361,96,,,いまだバブル女,37
0004e563,face,326,937,373,986,0004d8d6,Other,,37
0004e564,text,1036,362,1098,470,,,あっわかったアノ日だろ！,37
0004e565,body,541,624,746,854,0004d8aa,かおり,,37
0004e566,text,1149,628,1213,738,,,男ってあれ言うの好きだよね！,37
0004e567,face,1043,958,1100,1007,0004d8d6,Other,,37
0004e568,body,188,365,347,579,0004d8d6,Other,,37
0004e569,text,1241,66,1583,299,,,OLランチ,37
0004e56a,text,83,886,123,1013,,,アンタそのうち地獄に落ちるよ,37
0004e56b,text,418,1015,478,1091,,,伝染るかっ!!,37
0004e56c,body,929,658,1001,842,0004d8a6,千里ゆうこ,,37
0004e56d,face,1087,161,1136,218,0004d8d6,Other,,37
0004e56e,face,667,169,727,226,0004d8d6,Other,,37
0004e56f,face,577,934,641,989,0004d8d6,Other,,37
0004e570,frame,74,100,397,339,,,,37
0004e571,face,1296,566,1358,659,0004d8a6,千里ゆうこ,,37
0004e572,face,431,454,480,499,0004d8aa,かおり,,37
0004e573,frame,422,873,747,1107,,,,37
0004e574,frame,904,102,1223,337,,,,37
0004e575,body,157,173,210,334,0004d8d6,Other,,37
0004e576,body,914,152,1003,330,0004d8aa,かおり,,37
0004e577,text,441,627,502,812,,,なんかジンクス系って信じらんないんだよね,37
0004e578,face,916,412,997,482,0004d8aa,かおり,,37
0004e579,text,91,631,130,723,,,今日生理でーー,37
0004e57a,body,538,911,672,1101,0004d8d6,Other,,37
0004e57b,frame,904,871,1219,1103,,,,37
0004e57c,face,492,184,550,229,0004d8a6,千里ゆうこ,,37
0004e57d,body,901,380,1016,596,0004d8aa,かおり,,37
0004e57e,text,676,884,741,975,,,生理なの？やだ伝染るー,37
0004e57f,face,188,669,298,771,0004d8d6,Other,,37
0004e580,text,1020,623,1058,728,,,バカのひとつ覚え！,37
0004e581,body,657,150,742,315,0004d8d6,Other,,37
0004e582,face,944,679,987,717,0004d8a6,千里ゆうこ,,37
0004e583,frame,420,618,750,855,,,,37
0004e584,text,980,63,1150,95,,,言えません,37
0004e585,text,355,628,392,697,,,ごめんなさーい,37
0004e586,text,429,63,743,92,,,いわしの頭も信心から,37
0004e587,face,490,481,543,526,0004d8a6,千里ゆうこ,,37
0004e588,face,1452,572,1554,657,0004d8d6,Other,,37
0004e589,text,694,1009,739,1095,,,ホテルとってあるのに!!,37
0004e58a,face,925,171,987,220,0004d8aa,かおり,,37
0004e58b,face,121,414,183,469,0004d8d6,Other,,37
0004e58c,face,138,962,183,1009,0004d8d6,Other,,37
0004e58d,body,1231,521,1375,1108,0004d8a6,千里ゆうこ,,37
0004e58e,text,430,817,458,848,,,雨女とか・・・,37
0004e58f,frame,901,614,1220,849,,,,37
0004e590,text,1156,113,1217,203,,,なんか今日機嫌悪くねえ？,37
0004e591,text,912,526,976,588,,,キッ,37
0004e592,text,307,371,392,498,,,ああの・・・部屋をとってあるんだけど,37
0004e593,text,681,379,741,450,,,え初デデートなの？,37
0004e594,face,425,896,508,966,0004d8aa,かおり,,37
0004e595,face,203,391,279,444,0004d8d6,Other,,37
0004e596,face,631,485,697,534,0004d8d6,Other,,37
0004e597,text,531,369,614,478,,,ＤＬはやばくない？別れるっていうじゃん,37
0004e598,frame,74,875,400,1107,,,,37
0004e599,body,1013,947,1146,1068,0004d8d6,Other,,37
0004e59a,body,422,439,482,595,0004d8aa,かおり,,37
0004e59b,frame,422,359,748,596,,,,37
0004e59c,text,425,110,491,201,,,大丈夫？あんた雨女じゃん,37
0004e59d,body,311,165,377,332,0004d8d6,Other,,37
0004e59e,body,157,608,394,855,0004d8d6,Other,,37
0004e59f,text,1001,112,1069,190,,,なんだよどうしたんだよ,37
0004e5a0,text,980,883,1017,937,,,本人に言えよ,37
0004e5a1,text,234,115,269,186,,,ごちそうさま♡,37
0004e5a2,body,414,867,537,1101,0004d8aa,かおり,,37
0004e5a3,face,918,962,971,1003,0004d8d6,Other,,37
