id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0004ec44,text,914,109,945,205,田中さ・・・・・・,,,56
0004ec45,face,1144,409,1189,450,,0004dac5,田中さん,56
0004ec46,text,1351,778,1411,829,あ…ゴメン冗談,,,56
0004ec47,text,93,367,155,514,不倫なんてつらいばっかだよ今なら間に合うよ,,,56
0004ec48,face,1072,667,1142,743,,0004d8a6,千里ゆうこ,56
0004ec49,body,123,873,311,1097,,0004d8a6,千里ゆうこ,56
0004ec4a,text,358,105,396,271,奥さんいる人を好きになっちゃって,,,56
0004ec4b,face,161,884,227,941,,0004d8a6,千里ゆうこ,56
0004ec4c,face,1302,928,1364,1013,,0004d8a6,千里ゆうこ,56
0004ec4d,text,1497,375,1559,484,さては~~~人妻のくせにナンパ待ち？,,,56
0004ec4e,frame,1245,616,1573,851,,,,56
0004ec4f,text,978,60,1150,93,給湯室にて,,,56
0004ec50,text,336,879,393,1006,聞いて！カレの奥さんに赤ちゃんがー,,,56
0004ec51,body,982,98,1168,332,,0004d8a6,千里ゆうこ,56
0004ec52,frame,81,100,404,339,,,,56
0004ec53,body,1114,395,1220,589,,0004dac5,田中さん,56
0004ec54,body,1469,140,1564,334,,0004d8d6,Other,56
0004ec55,face,268,138,323,187,,0004d8d6,Other,56
0004ec56,face,203,407,330,505,,0004d8a6,千里ゆうこ,56
0004ec57,body,1036,894,1201,1095,,0004d8aa,かおり,56
0004ec58,frame,904,98,1227,335,,,,56
0004ec59,frame,1245,357,1571,596,,,,56
0004ec5a,face,977,646,1053,722,,0004d8aa,かおり,56
0004ec5b,frame,1247,102,1570,336,,,,56
0004ec5c,text,918,708,958,836,とっちゃえば？手伝ったげるよ,,,56
0004ec5d,frame,83,869,408,1103,,,,56
0004ec5e,text,97,623,159,732,でもごめんもうあと戻りできないんだ,,,56
0004ec5f,text,93,882,132,970,これがやなんだよ,,,56
0004ec60,face,1032,131,1134,214,,0004d8a6,千里ゆうこ,56
0004ec61,body,965,620,1071,840,,0004d8aa,かおり,56
0004ec62,body,165,618,376,846,,0004d8d6,Other,56
0004ec63,face,1163,930,1221,981,,0004d8a6,千里ゆうこ,56
0004ec64,face,1475,654,1543,728,,0004d8d6,Other,56
0004ec65,text,1523,884,1563,1033,なくしちゃってダンナに怒られて,,,56
0004ec66,text,427,61,772,297,OLランチ,,,56
0004ec67,text,1043,359,1105,493,やっぱ女の子は料理上手な方がいいな,,,56
0004ec68,body,1247,650,1340,845,,0004d8a6,千里ゆうこ,56
0004ec69,face,1484,154,1525,203,,0004d8d6,Other,56
0004ec6a,text,82,1010,107,1118,もーねるとこなんだけど,,,56
0004ec6b,frame,1245,871,1571,1101,,,,56
0004ec6c,text,1068,498,1115,560,男もできた方がいいけどさ,,,56
0004ec6d,text,188,55,303,94,友情,,,56
0004ec6e,text,376,367,393,471,よしなよ!!,,,56
0004ec6f,body,906,380,1016,589,,0004d8a6,千里ゆうこ,56
0004ec70,face,1292,156,1328,201,,0004d8a6,千里ゆうこ,56
0004ec71,body,1152,892,1228,1097,,0004d8a6,千里ゆうこ,56
0004ec72,face,1285,405,1423,524,,0004d8a6,千里ゆうこ,56
0004ec73,face,939,903,988,954,,0004d8a8,課長,56
0004ec74,text,903,1086,1030,1116,というか拷問!?,,,56
0004ec75,body,1425,894,1563,1095,,0004d8d6,Other,56
0004ec76,face,199,671,318,775,,0004d8d6,Other,56
0004ec77,body,922,896,1003,1084,,0004d8a8,課長,56
0004ec78,face,1281,677,1334,758,,0004d8a6,千里ゆうこ,56
0004ec79,body,501,433,632,1100,,0004d8a6,千里ゆうこ,56
0004ec7a,frame,81,355,406,594,,,,56
0004ec7b,text,1373,873,1429,965,ゴメンホントにっ,,,56
0004ec7c,body,1045,635,1178,842,,0004d8a6,千里ゆうこ,56
0004ec7d,frame,904,357,1227,592,,,,56
0004ec7e,text,194,108,241,199,今度告るんだ,,,56
0004ec7f,face,1066,918,1119,982,,0004d8aa,かおり,56
0004ec80,body,230,114,347,336,,0004d8d6,Other,56
0004ec81,frame,83,616,409,851,,,,56
0004ec82,text,1323,62,1497,95,思わぬ地雷,,,56
0004ec83,face,127,150,172,205,,0004d8a6,千里ゆうこ,56
0004ec84,text,361,622,400,787,ゆうこ・・・私のためを思って・・・,,,56
0004ec85,face,956,401,1007,465,,0004d8a6,千里ゆうこ,56
0004ec86,text,1172,768,1227,846,カンタンにとれるってこと男の人にはわかんないよね,,,56
0004ec87,body,1420,633,1568,849,,0004d8d6,Other,56
0004ec88,body,1247,359,1463,594,,0004d8a6,千里ゆうこ,56
0004ec89,text,913,1007,939,1076,いじめ!?,,,56
0004ec8a,face,1427,934,1514,1021,,0004d8d6,Other,56
0004ec8b,body,1262,136,1353,328,,0004d8a6,千里ゆうこ,56
0004ec8c,body,1243,901,1423,1095,,0004d8a6,千里ゆうこ,56
0004ec8d,text,1372,106,1440,203,あれマリコ結婚指輪は？,,,56
0004ec8e,body,131,357,334,589,,0004d8a6,千里ゆうこ,56
0004ec8f,body,85,123,223,332,,0004d8a6,千里ゆうこ,56
0004ec90,face,522,481,611,587,,0004d8a6,千里ゆうこ,56
0004ec91,text,1152,624,1216,757,つけ爪は料理しない女に見えるよね,,,56
0004ec92,frame,904,867,1230,1101,,,,56
0004ec93,frame,904,614,1229,848,,,,56
