id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0004f006,text,1071,220,1146,330,あたしの顔どーしてくれんのよっ,,,4
0004f007,face,104,847,296,1099,,0004ef9c,藤原規子,4
0004f008,body,948,516,1024,662,,0004ef9a,松野木　洋,4
0004f009,body,345,601,486,733,,0004ef8f,一休,4
0004f00a,body,318,380,503,478,,0004ef8f,一休,4
0004f00b,face,1216,815,1250,872,,0004ef9a,松野木　洋,4
0004f00c,frame,93,495,282,731,,,,4
0004f00d,frame,290,492,581,731,,,,4
0004f00e,body,298,117,507,433,,0004ef9c,藤原規子,4
0004f00f,face,105,542,142,590,,0004ef9c,藤原規子,4
0004f010,face,1056,519,1148,651,,0004ef9c,藤原規子,4
0004f011,face,1117,850,1142,911,,0004ef8f,一休,4
0004f012,frame,890,110,1187,346,,,,4
0004f013,text,363,772,424,878,あたしたち絶対応援しちゃうわ,,,4
0004f014,body,99,503,199,728,,0004ef9c,藤原規子,4
0004f015,face,942,180,1040,316,,0004ef9a,松野木　洋,4
0004f016,face,891,554,927,608,,0004ef8f,一休,4
0004f017,text,1120,749,1174,815,"そーんや
おれたら
ずっと一緒ね",,,4
0004f018,face,966,551,1020,592,,0004ef9a,松野木　洋,4
0004f019,face,1261,186,1390,293,,0004ef9c,藤原規子,4
0004f01a,body,1190,780,1250,1011,,0004ef9a,松野木　洋,4
0004f01b,face,481,925,529,975,,0004ef8f,一休,4
0004f01c,text,1256,378,1290,414,まァまァ,,,4
0004f01d,body,290,579,345,731,,0004ef98,中島よしひろ,4
0004f01e,face,394,161,442,190,,0004ef9c,藤原規子,4
0004f01f,text,1192,926,1262,1062,これはぜったいクラス編成に問題があります。,,,4
0004f020,text,1200,427,1218,465,まァ,,,4
0004f021,frame,1141,110,1538,349,,,,4
0004f022,frame,1258,726,1539,1087,,,,4
0004f023,frame,1117,699,1249,1087,,,,4
0004f024,frame,1151,365,1583,738,,,,4
0004f025,frame,94,109,749,473,,,,4
0004f026,body,890,116,1052,343,,0004ef9a,松野木　洋,4
0004f027,face,1277,622,1350,690,,0004ef9a,松野木　洋,4
0004f028,face,497,599,571,699,,0004ef9a,松野木　洋,4
0004f029,body,1114,833,1146,1030,,0004ef8f,一休,4
0004f02a,text,917,379,1135,521,"まったくあんた達には頭が痛いわ
頭痛薬はないぞ
怒らせるなよ",,,4
0004f02b,face,886,790,1053,962,,0004ef9c,藤原規子,4
0004f02c,text,1075,716,1089,806,それから,,,4
0004f02d,body,1241,430,1337,600,,0004ef8f,一休,4
0004f02e,frame,569,494,751,737,,,,4
0004f02f,body,1257,576,1449,694,,0004ef9a,松野木　洋,4
0004f030,frame,43,749,749,1169,,,,4
0004f031,text,659,782,676,864,ほんと！？,,,4
0004f032,text,1481,388,1526,443,熱湯そそいでやる,,,4
0004f033,body,442,906,545,1083,,0004ef8f,一休,4
0004f034,body,472,556,576,732,,0004ef9a,松野木　洋,4
0004f035,text,549,507,565,569,ばれたか,,,4
0004f036,body,56,701,318,1158,,0004ef9c,藤原規子,4
0004f037,text,903,942,941,1052,それはウワサで聞いたんだけど,,,4
0004f038,text,1391,119,1525,253,"ひとがせっかく感動の余韻にひたっているのに
よくもこれしてくわたわね",,,4
0004f03a,body,1030,464,1148,696,,0004ef9c,藤原規子,4
0004f03b,text,316,505,418,586,じつはぼくら三人生徒会に立候補するんだ,,,4
0004f03c,body,471,865,669,1085,,0004ef9a,松野木　洋,4
0004f03d,body,1214,114,1542,350,,0004ef9c,藤原規子,4
0004f03e,face,380,630,454,695,,0004ef8f,一休,4
0004f03f,face,1398,451,1453,489,,0004ef9c,藤原規子,4
0004f040,body,891,534,969,660,,0004ef8f,一休,4
0004f041,body,103,244,289,448,,0004ef9a,松野木　洋,4
0004f042,text,585,150,694,317,あんたたち今度生徒会に立候補するってホント！？,,,4
0004f043,body,885,674,1072,1090,,0004ef9c,藤原規子,4
0004f044,frame,890,679,1106,1089,,,,4
0004f045,text,1415,784,1521,860,幼稚園に小学校しつこくずーっと同じクラス,,,4
0004f046,frame,894,365,1147,693,,,,4
0004f047,face,1288,463,1334,503,,0004ef8f,一休,4
0004f048,body,1375,416,1547,631,,0004ef9c,藤原規子,4
0004f049,face,561,890,621,952,,0004ef9a,松野木　洋,4
