id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
0004f600,face,1043,424,1104,487,0004ef9a,松野木　洋,,30
0004f601,text,1236,116,1305,236,,,たしかに彼女は僕の所へ相談にくるよ,30
0004f602,frame,319,111,759,417,,,,30
0004f603,body,318,217,474,411,0004ef8f,一休,,30
0004f604,text,263,130,289,231,,,もどろう...,30
0004f605,frame,106,107,312,415,,,,30
0004f606,frame,106,778,757,1164,,,,30
0004f607,frame,895,827,1405,1082,,,,30
0004f608,text,1430,178,1460,237,,,信頼,30
0004f609,text,162,452,229,589,,,頼られる前に支えなきゃいけないってこと,30
0004f60a,text,931,698,1016,819,,,だからわたし...安心していられるんです,30
0004f60b,frame,1350,14,1544,1153,,,,30
0004f60c,body,105,109,301,305,0004ef9a,松野木　洋,,30
0004f60d,text,927,876,1016,1043,,,"彼女を支えてやるべきなのは
君たちだと思う",30
0004f60e,face,1052,952,1145,1034,0004ef9a,松野木　洋,,30
0004f60f,body,966,865,1192,1090,0004ef9a,松野木　洋,,30
0004f610,text,913,121,1007,238,,,そしてそのたびに置き残していく言葉は...,30
0004f611,frame,1013,348,1135,569,,,,30
0004f612,face,604,167,679,242,0004ef9a,松野木　洋,,30
0004f613,body,1347,383,1539,1038,0004ef9a,松野木　洋,,30
0004f614,face,395,246,456,310,0004ef8f,一休,,30
0004f615,face,179,702,231,747,0004ef8f,一休,,30
0004f616,body,584,124,762,415,0004ef9a,松野木　洋,,30
0004f617,text,1236,913,1320,1032,,,今一番そばにいてやるべきなのは,30
0004f618,face,541,306,591,358,0004ef98,中島よしひろ,,30
0004f619,text,943,398,994,564,,,文句をいいながらもやってくれるんですよ,30
0004f61a,text,1217,311,1287,407,,,わたし彼らを信頼してますかも,30
0004f61b,body,93,676,294,818,0004ef8f,一休,,30
0004f61c,body,903,109,1169,292,0004ef9a,松野木　洋,,30
0004f61d,body,253,806,683,1155,0004ef9a,松野木　洋,,30
0004f61e,body,563,675,634,752,0004ef94,田渕,,30
0004f61f,frame,435,637,787,750,,,,30
0004f620,text,519,818,705,992,,,"さっきはごめん
まだ中途はんぱな気持ちだけど...ぼくはたぶんノンコは好きなんだ！",30
0004f621,frame,110,436,761,615,,,,30
0004f622,face,1054,145,1127,287,0004ef9a,松野木　洋,,30
0004f623,body,311,473,391,609,0004ef8f,一休,,30
0004f624,frame,893,109,1338,290,,,,30
0004f625,text,197,282,229,368,,,そうだったーーー,30
0004f626,body,487,262,634,411,0004ef98,中島よしひろ,,30
0004f627,text,626,458,682,590,,,ぼくらは忘れていたんだ,30
0004f628,face,300,858,415,969,0004ef9a,松野木　洋,,30
0004f629,frame,93,633,514,818,,,,30
0004f62a,body,1020,468,1257,829,0004ef9c,藤原規子,,30
0004f62b,face,1135,552,1199,642,0004ef9c,藤原規子,,30
0004f62c,face,305,682,366,759,0004ef9a,松野木　洋,,30
0004f62d,body,264,639,517,810,0004ef9a,松野木　洋,,30
0004f62e,text,123,910,196,1053,,,時間が立てばかっきりした答が見つかるだろう,30
0004f62f,face,1353,491,1527,730,0004ef9a,松野木　洋,,30
0004f630,text,378,645,398,698,,,一休！,30
0004f631,face,113,167,251,296,0004ef9a,松野木　洋,,30
0004f632,frame,874,297,1587,1103,,,,30
0004f633,body,1011,385,1133,563,0004ef9a,松野木　洋,,30
