id,type,xmin,ymin,xmax,ymax,character_id,character_name,page_number
000503f4,face,998,514,1250,802,0005024e,暗殺者,9
000503f5,body,7,231,361,895,0005025a,Other,9
000503f6,face,301,68,510,291,0005025a,Other,9
000503f7,face,520,117,742,344,0005025a,Other,9
000503f8,face,1233,89,1410,288,0005025a,Other,9
000503f9,face,989,97,1175,330,0005025a,Other,9
000503fa,body,143,15,723,921,0005025a,Other,9
000503fb,body,398,92,965,686,0005025a,Other,9
000503fc,face,1579,277,1653,449,0005025a,Other,9
000503fd,body,761,47,1488,785,0005025a,Other,9
000503fe,face,0,286,104,442,0005025a,Other,9
000503ff,frame,851,0,1653,1169,,,9
00050400,face,226,505,391,635,0005025c,ramen,9
00050401,body,202,465,618,785,0005025c,ramen,9
00050402,face,69,256,218,428,0005025a,Other,9
00050403,face,1385,272,1547,477,0005025a,Other,9
00050404,body,855,1,1460,503,0005025a,Other,9
00050405,body,1406,211,1648,825,0005025a,Other,9
00050406,body,506,469,1650,1169,0005024e,暗殺者,9
00050407,body,68,179,651,925,0005025a,Other,9
00050408,body,1246,186,1648,859,0005025a,Other,9
00050409,frame,3,0,810,1169,,,9
