id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
00050802,body,986,739,1115,1165,0005024e,暗殺者,,29
00050803,face,229,717,270,753,000505c5,Other_4,,29
00050804,body,25,69,323,566,00050269,O次郎,,29
00050805,text,70,417,163,547,,,邪魔になるから帰れ死ぬぞ,29
00050806,text,1528,748,1596,836,,,見ろ!!開これを,29
00050807,face,1288,53,1409,166,00050269,O次郎,,29
00050808,body,332,932,533,1169,00050250,おでん,,29
00050809,text,646,619,745,752,,,そーいう言い方すんなよう,29
0005080a,text,285,895,333,965,,,またな―,29
0005080b,frame,337,2,755,566,,,,29
0005080c,frame,0,0,322,566,,,,29
0005080d,body,196,684,277,840,000505c5,Other_4,,29
0005080e,face,455,1022,532,1139,00050250,おでん,,29
0005080f,text,84,616,140,692,,,ごめんね,29
00050810,text,202,624,223,673,,,ちえ,29
00050811,frame,1186,0,1653,688,,,,29
00050812,text,915,96,1041,203,,,お前も!!帰れって言っただろう!!,29
00050813,frame,0,873,764,1169,,,,29
00050814,text,657,409,749,539,,,暗殺隊はそこまで来てるんだ,29
00050815,body,1274,240,1652,682,00050250,おでん,,29
00050816,body,1045,129,1169,408,00050269,O次郎,,29
00050817,body,200,947,287,1089,0005027d,少年4,,29
00050818,face,417,273,467,303,0005024e,暗殺者,,29
00050819,text,652,902,743,1059,,,お前本っ当に逃亡者の自覚ないぞ,29
0005081a,text,922,741,952,790,,,!,29
0005081b,body,482,8,614,338,00050269,O次郎,,29
0005081c,frame,899,67,1170,686,,,,29
0005081d,body,1219,932,1480,1106,0005024e,暗殺者,,29
0005081e,face,143,707,183,747,00050250,おでん,,29
0005081f,body,348,157,496,305,0005024e,暗殺者,,29
00050820,body,543,881,757,1169,00050269,O次郎,,29
00050821,text,447,629,503,680,,,事実だ,29
00050822,text,348,273,374,337,,,・・・・・・,29
00050823,frame,899,725,1117,1162,,,,29
00050824,body,1096,567,1168,684,000505ca,Other_3,,29
00050825,face,206,968,259,998,0005027d,少年4,,29
00050826,text,1555,73,1595,160,,,うわ,29
00050827,body,1190,7,1474,484,00050269,O次郎,,29
00050828,text,218,70,309,230,,,すぐにここで殺し合いが始まる,29
00050829,body,262,689,396,836,0005027d,少年4,,29
0005082a,face,508,688,664,793,00050250,おでん,,29
0005082b,face,1293,877,1346,932,00050250,おでん,,29
0005082c,text,1218,518,1285,672,,,あそんでる場合かっ!!,29
0005082d,body,115,670,198,840,00050250,おでん,,29
0005082e,face,517,63,559,83,00050269,O次郎,,29
0005082f,frame,69,605,411,836,,,,29
00050830,body,31,927,130,1075,000505ca,Other_3,,29
00050831,text,653,49,748,210,,,様子見に来たところをつかまえた,29
00050832,face,1092,179,1144,218,00050269,O次郎,,29
00050833,body,1011,569,1088,685,000505c5,Other_4,,29
00050834,body,468,611,696,834,00050250,おでん,,29
00050835,face,1001,864,1111,967,0005024e,暗殺者,,29
00050836,face,284,731,350,791,0005027d,少年4,,29
00050837,body,1276,851,1375,980,00050250,おでん,,29
00050838,face,53,161,196,286,00050269,O次郎,,29
00050839,text,1086,428,1152,516,,,増えてるぞ！,29
0005083a,face,910,1001,1028,1130,0005024e,暗殺者,,29
0005083b,body,1165,951,1270,1104,0005024e,暗殺者,,29
0005083c,text,915,588,993,655,,,いやまじですまん,29
0005083d,text,1330,760,1365,804,,,!,29
0005083e,frame,1137,727,1653,1110,,,,29
0005083f,body,925,426,1025,571,0005027d,少年4,,29
00050840,text,969,285,1017,354,,,いやその・・・,29
00050841,body,516,306,760,447,0005024e,暗殺者,,29
00050842,face,538,425,588,442,0005024e,暗殺者,,29
00050843,text,486,890,508,937,,,うー,29
00050844,body,136,926,207,1070,000505c5,Other_4,,29
00050845,frame,433,605,757,832,,,,29
00050846,body,899,924,1024,1169,0005024e,暗殺者,,29
00050847,text,343,620,397,723,,,いーよ帰るって,29
