id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
00050d64,text,658,565,751,750,わしゃ愛情でそういう行動をしたわけだ,,,55
00050d65,text,279,70,311,173,えぇ!?,,,55
00050d66,face,1460,1096,1501,1140,,0005025a,Other,55
00050d67,text,102,821,166,936,悪いことしたよ,,,55
00050d68,body,178,471,373,768,,000503e1,連邦書記官,55
00050d69,text,1191,616,1315,829,娘をダシに？そんな事せんでもわしはあんな星つぶす事ができた,,,55
00050d6a,frame,888,2,1653,558,,,,55
00050d6b,face,221,522,377,746,,000503e1,連邦書記官,55
00050d6c,text,88,359,195,517,わしがほんのちょっと本気でやる気になっていたら…,,,55
00050d6d,text,432,94,523,306,他人にくれてやるくらいならいっそのこと…,,,55
00050d6e,text,1368,613,1393,681,ち・・・,,,55
00050d6f,frame,1353,597,1648,749,,,,55
00050d70,text,340,78,368,178,なっ・・・,,,55
00050d71,face,404,388,470,483,,0005025a,Other,55
00050d72,text,1335,67,1599,319,"君　あれだろ
わしの事何か征服欲にとりつかれたバカな老人だと思っとるだろ",,,55
00050d73,text,440,591,632,749,全ての元凶…あの星を減ぼす事などそのついで…そう思っとった・・・・・・,,,55
00050d74,text,920,997,978,1127,外の世界の誘惑からな,,,55
00050d75,face,506,395,651,542,,00050b49,連邦国王,55
00050d76,frame,397,0,761,772,,,,55
00050d77,body,400,349,481,561,,0005025a,Other,55
00050d78,body,1372,414,1564,556,,00050b49,連邦国王,55
00050d79,text,1359,860,1486,989,ちがうよーそれは君大きな誤解だ,,,55
00050d7a,body,1485,593,1651,753,,000503e1,連邦書記官,55
00050d7b,body,896,605,1228,1163,,00050250,おでん,55
00050d7c,face,1482,646,1638,752,,000503e1,連邦書記官,55
00050d7d,text,1515,802,1573,904,ちがうんですか？,,,55
00050d7e,text,64,162,191,295,そーなんだ書記官笑っちゃうだろ,,,55
00050d7f,text,985,746,1259,1139,"なぜわしがそれをしなかったと思う？
わしはあの娘を守るために全ての力を注いでいたからだよ・・・",,,55
00050d80,body,119,22,257,240,,00050250,おでん,55
00050d81,body,671,369,753,496,,0005025a,Other,55
00050d82,face,1390,1077,1445,1131,,00050b49,連邦国王,55
00050d83,text,1424,694,1443,752,・・・・・・,,,55
00050d84,face,1490,981,1581,1072,,000503e1,連邦書記官,55
00050d85,text,246,351,373,511,わしゃどーかしてたどう考えても順序が逆だ,,,55
00050d86,body,1381,1070,1460,1169,,00050b49,連邦国王,55
00050d87,body,1490,934,1581,1169,,000503e1,連邦書記官,55
00050d88,body,151,809,572,1168,,00050b49,連邦国王,55
00050d89,face,947,204,1148,404,,000503e1,連邦書記官,55
00050d8a,body,1353,1087,1378,1169,,0005025a,Other,55
00050d8b,frame,892,597,1329,1166,,,,55
00050d8c,body,1462,1080,1514,1168,,0005025a,Other,55
00050d8d,text,551,839,659,1077,外の世界なんて妄想にとりつかれずにすんだのに,,,55
00050d8e,frame,3,0,383,306,,,,55
00050d8f,body,430,342,732,559,,00050b49,連邦国王,55
00050d90,frame,2,805,764,1165,,,,55
00050d91,face,187,844,420,1137,,00050b49,連邦国王,55
00050d92,text,86,620,165,756,もっとはやく気づいてたらあの娘は…,,,55
00050d93,frame,1353,788,1586,1167,,,,55
00050d94,face,691,388,759,493,,0005025a,Other,55
00050d95,face,1353,1106,1379,1147,,0005025a,Other,55
00050d96,face,1479,426,1543,483,,00050b49,連邦国王,55
00050d97,face,123,66,178,119,,00050250,おでん,55
00050d98,text,556,92,751,307,だがついに外の世界の自由を味わったあの娘…たぶん２度と戻ろうとするまいあの娘を…,,,55
00050d99,body,900,114,1218,554,,000503e1,連邦書記官,55
00050d9a,frame,65,341,375,764,,,,55
