id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
00051fe6,frame,522,724,750,1094,,,,43
00051fe7,text,707,393,749,498,げ～～,,,43
00051fe8,body,1259,843,1375,1079,,000516ce,武ちゃん,43
00051fe9,text,1084,668,1122,768,よりいっそう信心なさい,,,43
00051fea,frame,1147,656,1246,1081,,,,43
00051feb,face,539,543,598,609,,000516ce,武ちゃん,43
00051fec,frame,92,392,502,617,,,,43
00051fed,body,349,408,415,474,,000516fe,Other,43
00051fee,body,123,407,473,613,,000516ce,武ちゃん,43
00051fef,body,1243,528,1346,638,,000516ce,武ちゃん,43
00051ff0,face,309,887,343,929,,000516ce,武ちゃん,43
00051ff1,text,460,725,502,844,人の胸つかまないでよ,,,43
00051ff2,text,381,396,491,517,あの道士ばっかじゃな･･･むぐっ,,,43
00051ff3,text,189,869,209,917,いててっ,,,43
00051ff4,body,894,820,1074,1163,,00051f82,曲仁道士,43
00051ff5,face,126,439,161,496,,000516ce,武ちゃん,43
00051ff6,body,1239,328,1280,376,,000516fe,Other,43
00051ff7,body,22,876,176,961,,00051fb0,タオ教信者の息子,43
00051ff8,face,265,338,304,371,,00051f90,乱相,43
00051ff9,text,930,525,947,636,母ちゃんを･･･,,,43
00051ffa,text,1457,100,1546,217,なんかエライ道士のスピーチがあるらしーよ,,,43
00051ffb,face,1041,1002,1068,1030,,00051fb0,タオ教信者の息子,43
00051ffc,text,689,112,730,208,境遇を恨むのではなく,,,43
00051ffd,body,899,99,1328,443,,000516d1,ほのか,43
00051ffe,text,322,736,378,828,いやっあのね,,,43
00051fff,frame,893,0,1552,448,,,,43
00052000,face,59,896,87,919,,00051fb0,タオ教信者の息子,43
00052001,face,392,959,473,1048,,000516d1,ほのか,43
00052002,face,414,123,462,187,,00051f82,曲仁道士,43
00052003,text,915,107,981,192,見たくも聞きたくもないわよ,,,43
00052004,face,1421,909,1518,1013,,000516d1,ほのか,43
00052005,face,1278,930,1327,1060,,000516ce,武ちゃん,43
00052006,face,206,470,239,496,,000516d1,ほのか,43
00052007,text,531,729,591,961,頼むよ ほのかちゃんむだな争いは･･･ちょっと武ちゃん,,,43
00052008,body,513,501,610,616,,000516ce,武ちゃん,43
00052009,text,909,664,973,772,君の信仰は今！！ 試されているのだよ,,,43
0005200a,body,1338,377,1369,451,,000516fe,Other,43
0005200b,text,86,755,109,794,あっ,,,43
0005200c,body,1093,956,1112,1001,,000516fe,Other,43
0005200d,text,1528,667,1534,723,･････････,,,43
0005200e,face,295,417,322,439,,000516fe,Other,43
0005200f,body,1012,996,1087,1166,,00051fb0,タオ教信者の息子,43
00052010,body,1362,254,1522,446,,000516ce,武ちゃん,43
00052011,frame,1378,655,1554,1083,,,,43
00052012,body,104,1011,242,1166,,000516d1,ほのか,43
00052013,body,311,211,445,377,,00051fb0,タオ教信者の息子,43
00052014,body,708,323,753,375,,000516fe,Other,43
00052015,face,1388,295,1443,369,,000516ce,武ちゃん,43
00052016,body,92,326,182,375,,000516fe,Other,43
00052017,frame,513,393,749,614,,,,43
00052018,body,1387,847,1554,1085,,000516d1,ほのか,43
00052019,frame,394,724,513,1169,,,,43
0005201a,body,333,101,511,376,,00051f82,曲仁道士,43
0005201b,face,363,238,409,294,,00051fb0,タオ教信者の息子,43
0005201c,text,1459,479,1529,627,･･･道士さまのお力で母ちゃんを･･････,,,43
0005201d,frame,1257,656,1371,1082,,,,43
0005201e,frame,0,728,383,1169,,,,43
0005201f,body,287,407,324,451,,000516fe,Other,43
00052020,body,1259,761,1351,939,,000516d1,ほのか,43
00052021,body,301,856,380,1169,,000516ce,武ちゃん,43
00052022,text,522,407,544,481,気色悪う,,,43
00052023,text,105,114,202,243,それを受け入れられぬ自分を見つめる目を持ちなさい,,,43
00052024,body,573,395,747,616,,000516d1,ほのか,43
00052025,body,206,893,354,1169,,000516ce,武ちゃん,43
00052026,face,610,465,710,591,,000516d1,ほのか,43
00052027,body,538,868,745,1092,,000516ce,武ちゃん,43
00052028,text,1268,88,1280,171,そんなもん,,,43
00052029,body,1274,330,1341,447,,000516fe,Other,43
0005202a,text,722,684,738,741,はーー,,,43
0005202b,body,229,316,322,375,,00051f90,乱相,43
0005202c,frame,897,461,1556,639,,,,43
0005202d,frame,895,655,1137,1167,,,,43
0005202e,body,605,333,693,381,,000516fe,Other,43
0005202f,body,397,897,513,1164,,000516d1,ほのか,43
00052030,face,1033,167,1162,319,,000516d1,ほのか,43
00052031,face,233,924,274,963,,000516ce,武ちゃん,43
00052032,text,178,733,235,838,道士さまは貧乏人には用はねェんだよ,,,43
00052033,body,150,406,422,579,,000516d1,ほのか,43
00052034,frame,92,0,753,378,,,,43
00052035,face,364,428,399,463,,000516fe,Other,43
00052036,text,1316,667,1353,735,武ちゃん見ていこ,,,43
00052037,face,650,915,727,1011,,000516ce,武ちゃん,43
