id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
000527c1,frame,86,543,745,726,,,,84
000527c2,body,88,546,513,723,000516d6,中,,84
000527c3,face,1352,999,1453,1085,000516e8,白,,84
000527c4,face,359,845,389,880,000516d1,ほのか,,84
000527c5,text,1462,626,1552,709,,,あたしは清潔なお風呂と合成食を･･･,84
000527c6,frame,827,613,1653,852,,,,84
000527c7,face,311,542,452,670,000516d6,中,,84
000527c8,frame,904,1,1381,598,,,,84
000527c9,frame,1,656,741,1169,,,,84
000527ca,face,1176,889,1283,1032,000516d6,中,,84
000527cb,frame,902,872,1561,1085,,,,84
000527cc,body,1314,942,1558,1087,000516e8,白,,84
000527cd,body,438,579,582,690,000516e8,白,,84
000527ce,text,1406,470,1444,585,,,そんなのどーでもいいのっ,84
000527cf,frame,83,0,553,525,,,,84
000527d0,frame,569,0,745,521,,,,84
000527d1,frame,608,746,745,1097,,,,84
000527d2,face,652,904,735,997,00051f90,乱相,,84
000527d3,text,1373,875,1396,950,,,なに？,84
000527d4,body,1037,871,1339,1091,000516d6,中,,84
000527d5,body,628,867,739,1096,00051f90,乱相,,84
000527d6,frame,1396,94,1562,595,,,,84
000527d7,text,1483,99,1550,236,,,中さまあれがヒクリのタオ信教会ですね,84
000527d8,face,510,611,558,661,000516e8,白,,84
000527d9,text,621,1004,638,1060,,,解ける,84
000527da,text,667,550,724,698,,,中さまなにかわかりませんが落ちてます,84
000527db,body,162,830,495,1036,000516d1,ほのか,,84
000527dc,text,88,551,170,652,,,そんなァーそんあァーそんなァー,84
000527dd,text,710,761,733,799,,,法が,84
