id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
000530fb,text,1546,945,1571,1014,おいっ,,,24
000530fc,body,1160,315,1231,452,,00052b49,Other,24
000530fd,body,1386,687,1469,836,,00052b49,Other,24
000530fe,body,1539,651,1615,820,,00052b49,Other,24
000530ff,body,1385,1002,1603,1087,,00052b3a,ぴかる,24
00053100,face,1419,961,1441,984,,00052b76,大地,24
00053101,frame,1084,825,1243,1087,,,,24
00053102,body,911,205,1150,485,,00052b3a,ぴかる,24
00053103,face,1581,688,1616,763,,00052b49,Other,24
00053104,body,1088,1039,1154,1083,,00052b3a,ぴかる,24
00053105,frame,911,490,1259,821,,,,24
00053106,frame,1154,0,1559,486,,,,24
00053107,frame,467,547,695,824,,,,24
00053108,frame,1386,932,1612,1084,,,,24
00053109,frame,502,104,751,345,,,,24
0005310a,text,657,120,724,321,"・・・・・・
キス・・・なんかしてねえんだろ",,,24
0005310b,body,1140,544,1189,710,,00052b76,大地,24
0005310c,face,985,316,1149,454,,00052b3a,ぴかる,24
0005310d,face,1301,328,1350,377,,00052b49,Other,24
0005310e,text,274,636,365,771,まわりがどう思ってようと関係ねえよ,,,24
0005310f,text,689,432,714,536,してないっ,,,24
00053110,face,1393,697,1455,780,,00052b49,Other,24
00053111,body,1011,711,1073,825,,00052b3a,ぴかる,24
00053112,text,1163,139,1348,280,"へへっ　智にいーつけちゃうぞ
こんなとこでおまえの弟と浮気してるぞって",,,24
00053113,face,1296,816,1355,895,,00052b3a,ぴかる,24
00053114,body,471,548,688,822,,00052b76,大地,24
00053115,body,546,381,699,518,,00052b3a,ぴかる,24
00053116,face,1512,273,1549,348,,00052b76,大地,24
00053117,face,1173,328,1223,384,,00052b49,Other,24
00053118,body,1368,281,1430,388,,00052b49,Other,24
00053119,text,1035,118,1112,243,しっかりキスまでしといてよぉ,,,24
0005311a,text,938,841,1057,927,だって・・・！　ガマンできなかったんだもん,,,24
0005311b,body,511,107,673,344,,00052b76,大地,24
0005311c,text,1295,588,1352,686,やだもう毎日毎日,,,24
0005311d,face,109,198,413,488,,00052b3a,ぴかる,24
0005311e,text,96,915,181,1065,いつもどおり元気にしてりゃいいだろ,,,24
0005311f,frame,1260,519,1373,1088,,,,24
00053120,face,502,617,670,775,,00052b76,大地,24
00053121,body,1262,782,1368,991,,00052b3a,ぴかる,24
00053122,body,125,583,418,1169,,00052b76,大地,24
00053123,body,1444,707,1612,906,,00052b3a,ぴかる,24
00053124,body,1492,224,1561,481,,00052b76,大地,24
00053125,frame,547,385,744,520,,,,24
00053126,frame,35,0,440,679,,,,24
00053127,frame,1385,522,1612,908,,,,24
00053128,body,1191,304,1457,449,,00052b49,Other,24
00053129,face,146,645,225,726,,00052b76,大地,24
0005312a,text,1131,845,1222,936,バーカ　あれでまたいわれるぜ,,,24
0005312b,body,919,945,1070,1086,,00052b3a,ぴかる,24
0005312c,face,551,175,620,255,,00052b76,大地,24
0005312d,face,1438,314,1499,400,,00052b3a,ぴかる,24
0005312e,body,1414,248,1547,482,,00052b3a,ぴかる,24
0005312f,face,1509,1034,1567,1086,,00052b3a,ぴかる,24
00053130,body,1401,940,1465,1034,,00052b76,大地,24
00053131,frame,36,416,436,1169,,,,24
00053132,frame,909,0,1147,483,,,,24
00053133,body,36,5,438,674,,00052b3a,ぴかる,24
00053134,frame,911,827,1073,1084,,,,24
00053135,text,1385,112,1533,256,"なによ　あんたたち
お化け役ならちゃんとおどかせっ‼",,,24
00053136,face,985,953,1051,994,,00052b3a,ぴかる,24
00053137,text,524,903,625,1029,じゃそれでいいじゃん,,,24
00053138,body,1540,747,1560,787,,00052b3a,ぴかる,24
00053139,face,1375,326,1406,364,,00052b49,Other,24
0005313a,face,568,414,655,491,,00052b3a,ぴかる,24
