id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
0005372a,frame,1218,533,1561,721,,,,51
0005372b,face,454,822,619,952,00052f10,彩,,51
0005372c,face,1369,398,1430,514,00052b3a,ぴかる,,51
0005372d,text,947,411,970,482,,,てっ☆,51
0005372e,body,358,666,748,1087,00052f10,彩,,51
0005372f,text,1498,770,1529,886,,,ありがと・・・,51
00053730,text,1460,930,1552,1013,,,照れ屋の大地らしいね,51
00053731,frame,908,532,1210,721,,,,51
00053732,body,912,534,1046,718,00052b3a,ぴかる,,51
00053733,body,1205,697,1542,1169,00052b3a,ぴかる,,51
00053734,body,1270,423,1343,513,00052b49,Other,,51
00053735,frame,1268,359,1559,516,,,,51
00053736,face,907,572,977,713,00052b3a,ぴかる,,51
00053737,face,198,446,283,573,00052b3a,ぴかる,,51
00053738,text,1184,142,1232,249,,,ど・・・ど　ど　どおしよ‼,51
00053739,face,302,137,554,344,00052b3a,ぴかる,,51
0005373a,face,154,249,232,332,00052c91,智,,51
0005373b,face,1010,304,1108,439,00052b3a,ぴかる,,51
0005373c,text,1521,169,1537,200,,,あっ,51
0005373d,text,1504,572,1535,681,,,消しゴム？,51
0005373e,frame,906,106,1109,515,,,,51
0005373f,body,1043,633,1149,719,00052b76,大地,,51
00053740,body,1269,401,1304,437,00052b49,Other,,51
00053741,face,552,185,612,233,00052b3a,ぴかる,,51
00053742,face,1416,145,1467,201,00052b3a,ぴかる,,51
00053743,body,120,206,254,369,00052c91,智,,51
00053744,face,1280,449,1302,472,00052b49,Other,,51
00053745,text,348,424,462,559,,,大地のぶきっちょなやさしさが好きなんだ・・・,51
00053746,frame,936,757,1145,1169,,,,51
00053747,body,1334,359,1453,505,00052b3a,ぴかる,,51
00053748,body,1120,406,1257,512,00052b3a,ぴかる,,51
00053749,face,1288,752,1359,833,00052b3a,ぴかる,,51
0005374a,body,965,866,1150,1151,00052b3a,ぴかる,,51
0005374b,text,1478,376,1542,486,,,ぎえーっ　どこいったかわかんない,51
0005374c,body,135,391,289,574,00052b3a,ぴかる,,51
0005374d,frame,1148,757,1560,1169,,,,51
0005374e,body,145,0,769,400,00052b3a,ぴかる,,51
0005374f,body,1355,119,1496,341,00052b3a,ぴかる,,51
00053750,text,625,447,712,533,,,やっぱり大地が好き,51
00053751,frame,1264,107,1562,339,,,,51
00053752,frame,108,630,753,1092,,,,51
00053753,face,1037,936,1140,1047,00052b3a,ぴかる,,51
00053754,frame,1116,109,1253,516,,,,51
00053755,body,495,140,687,537,00052b3a,ぴかる,,51
00053756,frame,100,169,290,581,,,,51
00053757,body,908,113,1108,515,00052b3a,ぴかる,,51
00053758,text,690,151,709,242,,,あたし・・・,51
00053759,frame,137,1,771,595,,,,51
0005375a,face,1112,666,1129,696,00052b76,大地,,51
