id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
00054377,text,113,565,210,690,それほど騒ぐ霊なら俺が感じないわけないだろ？,,,29
00054378,text,1469,836,1495,880,桐ィ,,,29
00054379,body,945,68,1173,366,,00053f50,可南,29
0005437a,text,1257,816,1279,885,いいわ…,,,29
0005437b,text,184,111,212,165,変だな,,,29
0005437c,text,105,871,202,999,とにかく桐　摩緒さんがいるか霊視てやってよ,,,29
0005437d,text,392,810,513,995,たしかにバールにはなにか憑いているけど…ぜんぜん弱いものだし,,,29
0005437e,face,1032,903,1344,1167,,00054281,パール・ディナリー,29
0005437f,frame,538,1,803,1168,,,,29
00054380,body,1037,191,1233,370,,00054281,パール・ディナリー,29
00054381,text,928,245,1005,360,パール　これたぶん騒霊現象だ…,,,29
00054382,frame,849,790,1303,1169,,,,29
00054383,body,924,792,1303,1169,,00054281,パール・ディナリー,29
00054384,frame,3,1,531,783,,,,29
00054385,frame,1241,1,1652,573,,,,29
00054386,frame,24,788,533,1169,,,,29
00054387,face,176,301,304,395,,00053f4c,桐,29
00054388,text,1206,406,1273,497,もしかして君の親友が…,,,29
00054389,text,1194,91,1224,132,可南,,,29
0005438a,text,1543,838,1564,910,あした？,,,29
0005438b,face,934,489,1096,566,,00054281,パール・ディナリー,29
0005438c,face,233,851,315,922,,00053f50,可南,29
0005438d,face,1043,261,1140,339,,00054281,パール・ディナリー,29
0005438e,body,156,803,328,1169,,00053f50,可南,29
0005438f,face,265,1000,372,1071,,00054281,パール・ディナリー,29
00054390,frame,1308,808,1577,1169,,,,29
00054391,body,130,208,529,781,,00053f4c,桐,29
00054392,text,1318,849,1364,929,無視！,,,29
00054393,text,925,476,959,556,摩緒!?,,,29
00054394,frame,907,69,1277,372,,,,29
00054395,face,990,119,1077,211,,00053f50,可南,29
00054396,frame,905,586,1587,791,,,,29
00054397,body,911,394,1125,571,,00054281,パール・ディナリー,29
00054398,text,1483,601,1580,729,ほんとう？　ほんとうに摩緒なの？,,,29
00054399,body,1429,916,1545,1168,,00053f50,可南,29
0005439a,body,1081,390,1301,574,,00053f50,可南,29
0005439b,text,1312,965,1406,1093,今夜は機嫌悪いからたぶんダメだと思う,,,29
0005439c,text,920,620,1115,762,桐ならそれがわかるよ頼んで霊視してＬもらおう　ただしあしたになったらね,,,29
0005439d,text,932,959,957,1050,あしたね…,,,29
0005439e,face,1105,410,1267,568,,00053f50,可南,29
0005439f,body,211,939,445,1166,,00054281,パール・ディナリー,29
000543a0,frame,512,2,556,501,,,,29
000543a1,text,679,255,719,354,あした…,,,29
000543a2,frame,905,389,1307,573,,,,29
