id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
000547d8,body,247,88,540,498,00053f4c,桐,,58
000547d9,body,448,1,736,440,000545ac,冬樹,,58
000547da,face,1238,861,1389,967,000545ac,冬樹,,58
000547db,text,975,921,1040,1011,,,でもそうじゃねえんだ！,58
000547dc,body,349,537,605,988,000545ac,冬樹,,58
000547dd,frame,10,1,741,1168,,,,58
000547de,text,948,313,993,442,,,なんでこんなに苦しいんだ…！,58
000547df,text,248,821,312,970,,,俺が…俺が悪かった！,58
000547e0,frame,910,2,1269,467,,,,58
000547e1,body,540,190,732,432,000545ae,舞子,,58
000547e2,text,178,240,212,293,,,桐！,58
000547e3,body,1050,813,1611,1165,000545ae,舞子,,58
000547e4,frame,1407,3,1641,525,,,,58
000547e5,body,1294,26,1401,290,00053f50,可南,,58
000547e6,face,939,461,1456,881,0005456f,黒野裕矢,,58
000547e7,body,359,601,697,1129,000545ae,舞子,,58
000547e8,body,1001,760,1511,1169,000545ac,冬樹,,58
000547e9,face,283,128,497,331,00053f4c,桐,,58
000547ea,body,1410,12,1646,477,000545ac,冬樹,,58
000547eb,body,910,460,1477,880,0005456f,黒野裕矢,,58
000547ec,body,1279,169,1398,493,00053f4c,桐,,58
000547ed,frame,449,3,735,440,,,,58
000547ee,text,697,100,713,191,,,ふゆ…き！,58
000547ef,text,1553,91,1575,140,,,あ…,58
000547f0,face,1430,268,1648,476,000545ac,冬樹,,58
000547f1,face,477,110,671,324,000545ac,冬樹,,58
000547f2,face,1280,273,1400,423,00053f4c,桐,,58
000547f3,frame,1282,3,1405,497,,,,58
000547f4,face,1330,156,1402,303,00053f50,可南,,58
000547f5,text,631,518,693,649,,,舞子を助けてくれ…,58
000547f6,text,1430,579,1557,709,,,いい曲をつくるためならなにをやっても許されると思ってた,58
000547f7,frame,911,469,1638,1166,,,,58
000547f8,text,1127,74,1244,257,,,ち…きしょ　なんでだ？　この程度のこと予想してたのに,58
000547f9,face,1356,858,1484,983,000545ae,舞子,,58
000547fa,frame,242,85,547,503,,,,58
