id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
00055606,frame,2030,167,2821,1280,,,,60
00055607,text,732,850,931,1087,来客用カードをつなぎ合わせて最強のカードを作ってるわけですね？,,,60
00055608,face,501,815,580,926,,00054bfa,高千穂,60
00055609,body,1087,811,1338,1162,,00054bfa,高千穂,60
0005560a,face,340,1615,397,1704,,00054bfa,高千穂,60
0005560b,frame,117,820,670,1174,,,,60
0005560c,body,1604,585,2002,1267,,00054d1d,恵利,60
0005560d,frame,122,1556,889,2003,,,,60
0005560e,face,257,1084,336,1155,,00054d1d,恵利,60
0005560f,body,659,211,1000,666,,00054bfa,高千穂,60
00055610,face,803,1658,835,1736,,00054d1d,恵利,60
00055611,body,106,247,641,667,,00054d1d,恵利,60
00055612,text,157,832,276,1142,悟朗さん…怒ってる？,,,60
00055613,body,965,832,1180,1158,,00054d1d,恵利,60
00055614,body,2032,204,2710,1273,,00054bfa,高千穂,60
00055615,body,724,1590,882,1995,,00054d1d,恵利,60
00055616,body,429,1206,931,1503,,00054bfa,高千穂,60
00055617,text,1020,1239,1305,1472,キツイんだよ。君の気持ちがわかっちまったもカら……,,,60
00055618,frame,1597,1323,2392,2003,,,,60
00055619,face,2448,678,2555,785,,00054d1d,恵利,60
0005561a,text,1644,200,1977,599,悟朗さんがアゴラをどうするのか気になって……あそこには石田さんもいるし……,,,60
0005561b,body,124,1554,555,2002,,00054bfa,高千穂,60
0005561c,text,2069,203,2182,412,なんで来たんだよ恵利ちゃん！？,,,60
0005561d,face,1191,843,1323,1033,,00054bfa,高千穂,60
0005561e,frame,122,1211,1350,1509,,,,60
0005561f,text,2153,759,2184,940,だって……,,,60
00055620,face,2481,373,2577,530,,00054bfa,高千穂,60
00055621,face,1029,890,1111,1012,,00054d1d,恵利,60
00055622,body,365,815,663,1170,,00054bfa,高千穂,60
00055623,frame,108,172,1336,763,,,,60
00055624,text,152,1232,396,1501,石田さんのことで自分を責める一方で、どうにかして自分をなぐさめようとしてる。,,,60
00055625,frame,904,1547,1346,1999,,,,60
00055626,body,243,1062,354,1162,,00054d1d,恵利,60
00055627,text,2724,190,2799,438,帰れって言ったのに……,,,60
00055628,face,1676,657,1995,1051,,00054d1d,恵利,60
00055629,face,508,297,579,379,,00054d1d,恵利,60
0005562a,text,615,185,644,315,へえ……,,,60
0005562b,frame,1607,167,2002,1276,,,,60
0005562c,frame,2421,1328,2807,1999,,,,60
0005562d,face,713,1242,860,1374,,00054bfa,高千穂,60
0005562e,body,2305,624,2710,1263,,00054d1d,恵利,60
0005562f,face,789,269,868,358,,00054bfa,高千穂,60
00055630,frame,699,811,1345,1160,,,,60
