id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
00055673,frame,1583,922,2062,1266,,,,64
00055674,face,2172,398,2470,742,00054c17,アゴラウサギ,,64
00055675,text,2535,998,2764,1259,,,現実社会のストレスを思い切り発散できるパラダイス。,64
00055676,body,1065,657,1266,1037,00054d1d,恵利,,64
00055677,text,169,1608,286,1821,,,きっちり正体拝ませてもらうからな。,64
00055678,text,1660,1261,1830,1354,,,アゴラへ…,64
00055679,face,1112,707,1180,789,00054d1d,恵利,,64
0005567a,body,286,1565,1338,1992,00054bfa,高千穂,,64
0005567b,frame,2077,913,2812,1593,,,,64
0005567c,frame,117,158,1345,502,,,,64
0005567d,frame,1593,1636,2812,1990,,,,64
0005567e,frame,136,1570,1355,1998,,,,64
0005567f,body,2049,236,2702,875,00054c17,アゴラウサギ,,64
00055680,text,1721,575,1954,731,,,電子の街”アゴラ”へ。,64
00055681,frame,746,1193,1346,1528,,,,64
00055682,text,1787,1671,2182,1716,,,：回線が切断されました。,64
00055683,text,1699,1011,2017,1167,,,さあ電話回線を通ってあなたもアゴラへ…,64
00055684,text,1635,1323,1930,1459,,,アゴアゴアゴアゴア,64
00055685,face,2423,1335,2519,1431,00054c17,アゴラウサギ,,64
00055686,face,927,822,1025,910,00054bfa,高千穂,,64
00055687,frame,117,1193,726,1533,,,,64
00055688,face,692,1658,965,1966,00054bfa,高千穂,,64
00055689,text,2437,243,2596,367,,,ようこそ、,64
0005568a,body,2358,1256,2623,1582,00054c17,アゴラウサギ,,64
0005568b,text,1145,1605,1304,1870,,,俺達をわざわざ迎え入れるなんざ自信過剰もいいとこだぜ……,64
0005568c,frame,117,554,1350,1145,,,,64
0005568d,body,771,743,1151,1137,00054bfa,高千穂,,64
0005568e,frame,1588,1272,2067,1598,,,,64
0005568f,text,2180,1082,2309,1213,,,それが”アゴラ”。,64
00055690,frame,1588,163,2812,880,,,,64
