id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
00055d1b,text,96,139,134,206,なんで！？,,,13
00055d1c,body,1262,819,1604,1163,,00055b56,祐,13
00055d1d,face,1388,707,1442,747,,00055ab5,橘まどか,13
00055d1e,face,58,899,159,1131,,00055b56,祐,13
00055d1f,text,644,71,697,193,"こ
こんにちは・・・",,,13
00055d20,text,1307,314,1383,455,"え　忙しいって・・・
バイトでも
してるとか？",,,13
00055d21,text,530,481,630,673,"すごく
うれしいかも・・・
きてよかった・・・・・",,,13
00055d22,text,1452,348,1601,592,"うーん
これるって言って
たんだけどねー
あの子　最近
忙しいみたいだから",,,13
00055d23,body,1375,188,1454,535,,00055b12,まどか友人B,13
00055d24,frame,891,4,1338,634,,,,13
00055d25,face,195,998,240,1028,,00055b56,祐,13
00055d26,text,1189,412,1265,574,"すいません
遅れました！！",,,13
00055d27,frame,890,642,1608,849,,,,13
00055d28,body,972,59,1164,623,,00055ab5,橘まどか,13
00055d29,text,64,799,98,884,・・・・・・・・・,,,13
00055d2a,face,1319,892,1569,1113,,00055b56,祐,13
00055d2b,body,1313,139,1382,282,,00055b06,まどか友人A,13
00055d2c,face,269,521,346,569,,00055ab5,橘まどか,13
00055d2d,text,1508,747,1597,892,"もー　まどか
何やってたのー？
おそいよー",,,13
00055d2e,text,1255,678,1344,776,ご  ごめん  ちょっと寝すごしちゃって・・・,,,13
00055d2f,text,138,48,239,170,"なんか前に
会った時より
きんちょう
してる！！",,,13
00055d30,frame,1315,4,1605,538,,,,13
00055d31,frame,140,746,418,1168,,,,13
00055d32,face,1036,119,1109,177,,00055ab5,橘まどか,13
00055d33,face,1485,94,1521,121,,00055b56,祐,13
00055d34,text,939,427,973,538,あー！,,,13
00055d35,text,188,753,391,992,"うー　もうダメ
ふらふらする
ジェットコースターの時は
意識までとんでくかと
思った
こんなとこで
つかれてる場合
じゃないのに・・・
どうしよう",,,13
00055d36,body,48,779,165,1159,,00055b56,祐,13
00055d37,body,89,220,165,406,,00055b56,祐,13
00055d38,face,469,937,646,1073,,00055ab5,橘まどか,13
00055d39,text,1534,153,1602,288,"橘さん　今日
こないの？",,,13
00055d3a,text,370,920,415,1026,"次　何
乗るー？",,,13
00055d3b,text,1177,888,1221,1007,久しぶり,,,13
00055d3c,frame,435,725,748,1167,,,,13
00055d3d,face,889,908,1117,1160,,00055ab5,橘まどか,13
00055d3e,text,410,611,509,718,"うん
今日は一日
がんばん
なきゃ！！",,,13
00055d3f,frame,50,771,164,1165,,,,13
00055d40,face,570,288,672,365,,00055ab5,橘まどか,13
00055d41,face,47,628,170,767,,00055b56,祐,13
00055d42,face,1503,711,1545,762,,00055b12,まどか友人B,13
00055d43,frame,50,415,753,767,,,,13
00055d44,body,241,469,366,765,,00055ab5,橘まどか,13
00055d45,frame,86,2,251,402,,,,13
00055d46,text,670,462,698,509,けど,,,13
00055d47,face,287,994,356,1047,,00055ab5,橘まどか,13
00055d48,face,100,242,145,281,,00055b56,祐,13
00055d49,body,166,480,260,750,,00055b06,まどか友人A,13
00055d4a,face,423,241,484,342,,00055b56,祐,13
00055d4b,body,268,946,394,1169,,00055ab5,橘まどか,13
00055d4c,face,166,237,254,381,,00055ab5,橘まどか,13
00055d4d,body,539,215,724,409,,00055ab5,橘まどか,13
00055d4e,body,345,166,520,404,,00055b56,祐,13
00055d4f,body,50,473,212,764,,00055b56,祐,13
00055d50,body,887,805,1148,1169,,00055ab5,橘まどか,13
00055d51,frame,1218,291,1399,613,,,,13
00055d52,body,187,963,258,1168,,00055b56,祐,13
00055d53,body,141,169,255,404,,00055ab5,橘まどか,13
00055d54,body,1452,59,1540,405,,00055b56,祐,13
00055d55,text,669,762,722,918,ーが。,,,13
00055d56,body,1317,657,1474,835,,00055ab5,橘まどか,13
00055d57,frame,884,754,1603,1166,,,,13
00055d58,frame,269,4,749,404,,,,13
00055d59,text,300,100,365,285,"あ
あれ？",,,13
00055d5a,text,1301,516,1377,613,"うん
まぁ・・・
なんとゆーか",,,13
00055d5b,face,1404,211,1446,253,,00055b12,まどか友人B,13
00055d5c,body,1469,669,1581,845,,00055b12,まどか友人B,13
00055d5d,body,438,824,687,1166,,00055ab5,橘まどか,13
