id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
00056b90,frame,873,0,1269,691,,,,87
00056b91,body,46,57,195,381,00056851,坂口浩人,,87
00056b92,text,1157,92,1199,149,,,！,87
00056b93,body,1464,0,1617,544,00056851,坂口浩人,,87
00056b94,body,43,385,388,808,00056851,坂口浩人,,87
00056b95,body,371,399,774,805,00056857,深沢絵麻,,87
00056b96,body,130,181,328,383,00056857,深沢絵麻,,87
00056b97,face,887,369,1003,543,00056857,深沢絵麻,,87
00056b98,body,1307,425,1468,811,00056857,深沢絵麻,,87
00056b99,face,448,554,691,787,00056857,深沢絵麻,,87
00056b9a,text,382,1000,469,1118,,,"そーゆう仲
だったの
かよー",87
00056b9b,frame,866,869,1606,1169,,,,87
00056b9c,frame,46,0,582,383,,,,87
00056b9d,text,1306,1007,1350,1095,,,好きだ,87
00056b9e,frame,45,389,771,809,,,,87
00056b9f,text,300,678,396,772,,,あ,87
00056ba0,frame,1181,0,1603,863,,,,87
00056ba1,text,1055,687,1140,851,,,"・・・それって
絵麻がいたから
なんだよな",87
00056ba2,face,1487,68,1616,232,00056851,坂口浩人,,87
00056ba3,text,900,62,1053,321,,,"ーーごめん
俺さ
並木の彼氏見ても
そんなにショックじゃ
なかった",87
00056ba4,face,1096,249,1212,418,00056851,坂口浩人,,87
00056ba5,body,874,250,1285,872,00056857,深沢絵麻,,87
00056ba6,text,1047,953,1085,1105,,,浩人ーーー・・・,87
00056ba7,text,892,665,938,758,,,え・・・,87
00056ba8,face,73,470,312,722,00056851,坂口浩人,,87
00056ba9,text,1470,364,1590,564,,,"・・・よかった
絵麻が
笑ってくれて・・・",87
00056baa,frame,44,813,785,1169,,,,87
00056bab,body,507,877,538,988,00056851,坂口浩人,,87
00056bac,frame,463,0,739,522,,,,87
00056bad,body,866,881,1046,1149,00056857,深沢絵麻,,87
00056bae,body,874,101,1291,875,00056851,坂口浩人,,87
00056baf,frame,870,615,1290,874,,,,87
00056bb0,body,1289,377,1419,809,00056851,坂口浩人,,87
00056bb1,face,173,259,241,318,00056857,深沢絵麻,,87
00056bb2,text,350,249,390,379,,,きゃあっ,87
00056bb3,frame,1462,0,1610,547,,,,87
00056bb4,body,531,884,571,976,00056857,深沢絵麻,,87
00056bb5,text,539,979,591,1125,,,"なんだよ
おまえらーー",87
00056bb6,frame,587,3,755,168,,,,87
00056bb7,face,882,919,1007,1145,00056857,深沢絵麻,,87
00056bb8,body,1114,902,1210,1151,00056857,深沢絵麻,,87
00056bb9,body,1177,887,1253,1153,00056851,坂口浩人,,87
