id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
000576f9,face,535,54,610,140,0005710c,姫萩姫子,,59
000576fa,frame,1390,816,1579,1092,,,,59
000576fb,text,1444,390,1552,492,,,私はデータを持ち帰るため梅子さんは私の監視のため,59
000576fc,text,1033,864,1091,941,,,言葉責めで,59
000576fd,frame,1119,820,1378,1094,,,,59
000576fe,body,273,226,616,387,00056c6f,柊光一,,59
000576ff,face,896,994,950,1057,00056c7d,桜木梅子,,59
00057700,text,324,52,458,177,,,"行きましょうか
覚悟はいい？",59
00057701,text,1414,834,1452,951,,,テンションを上げるためです,59
00057702,face,1410,995,1468,1053,0005710c,姫萩姫子,,59
00057703,face,94,59,187,169,00056c6f,柊光一,,59
00057704,face,293,234,415,380,00056c6f,柊光一,,59
00057705,frame,3,684,763,1168,,,,59
00057706,body,4,0,218,197,00056c6f,柊光一,,59
00057707,body,458,851,760,1164,00056da2,トランジット,,59
00057708,face,1519,1001,1562,1079,00056c7d,桜木梅子,,59
00057709,text,1303,837,1365,937,,,リミッターを外せれば一番ですが,59
0005770a,text,903,875,972,929,,,こっ言葉責め・・・,59
0005770b,frame,419,0,762,199,,,,59
0005770c,text,1508,833,1569,967,,,ちょっとなにプレッシャーかけてんのよ,59
0005770d,body,1328,446,1442,654,00056c7d,桜木梅子,,59
0005770e,face,1146,410,1196,466,0005710c,姫萩姫子,,59
0005770f,frame,890,360,1579,656,,,,59
00057710,body,438,6,698,197,0005710c,姫萩姫子,,59
00057711,body,1498,981,1576,1086,00056c7d,桜木梅子,,59
00057712,frame,888,673,1577,785,,,,59
00057713,text,692,52,729,171,,,さて・・・そろそろ時間です,59
00057714,body,980,1021,1055,1086,00056c6f,柊光一,,59
00057715,body,1127,596,1421,813,00056c6f,柊光一,,59
00057716,face,1341,164,1444,274,0005710c,姫萩姫子,,59
00057717,body,530,414,759,658,00057181,ドップラー,,59
00057718,face,1007,1032,1031,1058,00056c6f,柊光一,,59
00057719,text,1522,79,1562,233,,,さて・・・じゃ以前した説明の通り,59
0005771a,frame,3,227,765,390,,,,59
0005771b,face,1230,654,1314,747,00056c6f,柊光一,,59
0005771c,body,261,466,296,529,00056c6f,柊光一,,59
0005771d,frame,886,60,1578,328,,,,59
0005771e,frame,0,0,407,199,,,,59
0005771f,body,1104,382,1272,656,0005710c,姫萩姫子,,59
00057720,body,888,972,959,1092,00056c7d,桜木梅子,,59
00057721,text,1142,851,1227,1002,,,超能力者に催眠をかけると逆に能力が落ちてしまいますから,59
00057722,frame,2,418,760,658,,,,59
00057723,face,1356,469,1399,514,00056c7d,桜木梅子,,59
00057724,body,1292,99,1504,328,0005710c,姫萩姫子,,59
00057725,body,1236,863,1378,1092,0005710c,姫萩姫子,,59
00057726,text,1138,78,1247,283,,,私のドップラーと梅子さんのトランジットが宇宙空間に光一くんが存在できるフィールドを作るために随行します,59
00057727,body,137,972,274,1112,00056c6f,柊光一,,59
00057728,body,1401,962,1517,1091,0005710c,姫萩姫子,,59
00057729,text,918,380,1075,632,,,"無人運転で済むところを搭乗して行きますので
光一くんは私達を守るためにもがんばってくださいね",59
0005772a,frame,888,819,1109,1091,,,,59
0005772b,text,1501,710,1516,757,,,・・・はい,59
0005772c,face,1247,965,1372,1090,0005710c,姫萩姫子,,59
