id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
00057a8d,text,101,893,170,1005,おれはこれで納得できたし満足だ,,,82
00057a8e,frame,77,360,758,538,,,,82
00057a8f,frame,77,854,760,1086,,,,82
00057a90,body,644,593,760,820,,00056c6f,柊光一,82
00057a91,body,304,855,518,1080,,00056c6f,柊光一,82
00057a92,text,88,583,199,763,それを一瞬で失っちゃったのになんでそんな普通なの！？,,,82
00057a93,text,426,92,435,114,・・・,,,82
00057a94,frame,75,61,258,327,,,,82
00057a95,body,117,362,342,534,,00056c7d,桜木梅子,82
00057a96,body,612,192,758,327,,00056c6f,柊光一,82
00057a97,body,81,99,253,324,,00056c7d,桜木梅子,82
00057a98,frame,455,59,759,329,,,,82
00057a99,face,333,918,419,1036,,00056c6f,柊光一,82
00057a9a,face,102,171,218,278,,00056c7d,桜木梅子,82
00057a9b,text,371,390,385,422,あ・・・,,,82
00057a9c,face,1206,312,1510,764,,00056c6f,柊光一,82
00057a9d,face,248,590,388,760,,00056c7d,桜木梅子,82
00057a9e,body,271,99,441,326,,00056c7d,桜木梅子,82
00057a9f,text,231,80,249,117,ご・・・,,,82
00057aa0,body,831,134,1649,1164,,00056c6f,柊光一,82
00057aa1,text,571,878,716,1026,何言ってんだあんな無闇なバカ力隕石止めるくらいしか使い道なかったろ,,,82
00057aa2,text,954,53,1006,223,そうか,,,82
00057aa3,frame,75,567,559,823,,,,82
00057aa4,frame,831,0,1649,1167,,,,82
00057aa5,text,708,81,748,149,だってさ梅子,,,82
00057aa6,face,282,168,396,276,,00056c7d,桜木梅子,82
00057aa7,body,425,381,584,531,,00056c6f,柊光一,82
00057aa8,body,77,564,424,825,,00056c7d,桜木梅子,82
00057aa9,text,597,92,636,176,もう様とかやめろよ,,,82
00057aaa,body,481,137,588,326,,00056c7d,桜木梅子,82
00057aab,face,271,373,331,483,,00056c7d,桜木梅子,82
00057aac,frame,267,59,447,329,,,,82
00057aad,text,96,74,110,141,ごめん・・・,,,82
00057aae,text,87,375,175,508,"なっ・・・なんで？
なんでそんな",,,82
00057aaf,text,477,593,610,804,"へっ・・・平然としてられるのよ！？
なんでもできる無敵のカだったのに",,,82
00057ab0,face,507,161,550,200,,00056c7d,桜木梅子,82
00057ab1,frame,573,566,760,823,,,,82
00057ab2,text,641,368,726,532,じゃおれ飛べなくなっちゃったからこのまま送ってくれよ,,,82
00057ab3,face,665,661,721,769,,00056c6f,柊光一,82
