id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
000589d8,body,574,547,623,595,00057bd1,Other,,78
000589d9,text,1241,96,1288,210,,,形じゃないわ愛は,78
000589da,body,1243,766,1648,1166,000589db,レオ10世,,78
000589dc,face,711,568,725,589,00057bd1,Other,,78
000589dd,text,71,636,143,748,,,いっさいどんな仕事も断れない,78
000589de,text,341,629,439,798,,,芸術によって美と善を示しつづけることがきみの使命だ,78
000589df,body,186,1097,303,1166,00057b94,ラファエロ,,78
000589e0,face,341,558,357,577,00057b94,ラファエロ,,78
000589e1,body,999,181,1091,246,00058665,マルゲリータ,,78
000589e2,text,639,641,741,752,,,"なんとたのもしい・・・
まいろいろあるだろうが",78
000589e3,face,1454,625,1494,683,00058355,ジョヴァンニ,,78
000589e4,body,295,531,371,596,00057b94,ラファエロ,,78
000589e5,text,327,805,334,865,,,・・・・・・,78
000589e6,body,334,787,474,947,00058743,ビビエーナ枢機卿,,78
000589e7,body,691,823,756,949,00057bd1,Other,,78
000589e8,frame,898,732,1219,1169,,,,78
000589e9,face,1394,857,1479,974,000589db,レオ10世,,78
000589ea,face,101,565,117,584,00057bd1,Other,,78
000589eb,face,140,819,216,886,00057b94,ラファエロ,,78
000589ec,frame,309,621,757,949,,,,78
000589ed,face,1314,608,1365,670,0005834e,ジュリオ,,78
000589ee,body,981,142,1082,229,00057b94,ラファエロ,,78
000589ef,body,64,536,122,601,00057bd1,Other,,78
000589f0,body,1196,615,1242,698,00057bd1,Other,,78
000589f1,body,633,551,672,597,00057bd1,Other,,78
000589f2,face,727,871,755,924,00057bd1,Other,,78
000589f3,face,1049,179,1073,191,00058665,マルゲリータ,,78
000589f4,body,389,665,748,949,000589db,レオ10世,,78
000589f5,face,1093,593,1144,664,00057bd1,Other,,78
000589f6,face,158,561,181,587,00058355,ジョヴァンニ,,78
000589f7,text,115,993,160,1106,,,描いて描いて描きつづける,78
000589f8,frame,1229,730,1650,1168,,,,78
000589f9,body,184,540,246,600,00057b94,ラファエロ,,78
000589fa,frame,894,1,1649,459,,,,78
000589fb,frame,60,624,301,949,,,,78
000589fc,body,467,529,545,594,00057bd1,Other,,78
000589fd,text,923,762,990,893,,,逆光を生かした絵ははじめてだ,78
000589fe,text,1165,754,1183,868,,,すばらしい・・・,78
000589ff,body,1179,640,1214,704,00057bd1,Other,,78
00058a00,text,923,512,1096,690,,,"枢機卿のお怒りが心配だな
新しい教皇様はどう思われるか",78
00058a01,text,485,236,554,407,,,これからもわがローマのために働いてくれるな,78
00058a02,face,506,759,593,872,000589db,レオ10世,,78
00058a03,face,225,566,239,585,0005834e,ジュリオ,,78
00058a04,text,238,323,353,513,,,"はいっ
全力をあげてすべての仕事に取りくみます",78
00058a05,text,1382,491,1565,606,,,"いいのかな
マリアさんのことはどうするんだろ・・・",78
00058a06,frame,898,481,1598,713,,,,78
00058a07,body,709,554,758,596,00057bd1,Other,,78
00058a08,body,1230,540,1427,710,0005834e,ジュリオ,,78
00058a09,text,245,653,267,708,,,はいっ,78
00058a0a,body,131,536,187,598,00058355,ジョヴァンニ,,78
00058a0b,frame,7,0,759,602,,,,78
00058a0c,body,1453,583,1588,711,00058355,ジョヴァンニ,,78
00058a0d,frame,0,969,761,1169,,,,78
00058a0e,body,62,729,284,949,00057b94,ラファエロ,,78
00058a0f,face,1049,170,1070,184,00057b94,ラファエロ,,78
00058a10,body,1015,554,1205,714,00057bd1,Other,,78
00058a11,text,765,191,781,600,,,"「聖ペテロの救出」（部分）ヴァチカン宮殿
ヘリオドロスの間",78
00058a12,face,384,841,437,901,00058743,ビビエーナ枢機卿,,78
00058a13,text,1266,768,1303,840,,,新教皇レオ10世,78
