id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
00058b61,text,1381,239,1543,487,"巨匠ブラマンテが亡くなった
ラファエロがあとを継ぐそうだ",,,86
00058b62,frame,896,657,1191,1168,,,,86
00058b63,face,962,286,986,310,,00057bd1,Other,86
00058b64,face,355,151,374,174,,00057b94,ラファエロ,86
00058b65,body,1303,887,1439,1167,,00058753,マリア,86
00058b66,face,138,965,239,1096,,00058753,マリア,86
00058b67,body,389,572,547,765,,00058753,マリア,86
00058b68,body,1209,542,1285,632,,00057bd1,Other,86
00058b69,face,1264,906,1285,943,,00057b94,ラファエロ,86
00058b6a,face,907,291,931,314,,00057bd1,Other,86
00058b6b,text,668,804,731,937,すみませんみなわたしがいけないのです,,,86
00058b6c,body,302,129,437,392,,00057b94,ラファエロ,86
00058b6d,face,1015,964,1109,1075,,00058753,マリア,86
00058b6e,body,165,526,358,766,,00057b94,ラファエロ,86
00058b6f,frame,1200,657,1443,1169,,,,86
00058b70,frame,377,787,759,1167,,,,86
00058b71,body,1004,304,1098,599,,00057b94,ラファエロ,86
00058b72,text,315,394,330,465,マリア・・・,,,86
00058b73,text,74,68,119,218,はっきり決心してください,,,86
00058b74,frame,1371,639,1650,1169,,,,86
00058b75,frame,62,58,278,486,,,,86
00058b76,face,163,174,234,257,,00058753,マリア,86
00058b77,text,566,63,754,300,"わたしいたたまれません・・・
仕事を口実にわたしの人生がふりまわされているみたいで・・・",,,86
00058b78,frame,1349,58,1649,637,,,,86
00058b79,text,1227,687,1243,757,マリア・・・,,,86
00058b7a,body,62,101,268,483,,00058753,マリア,86
00058b7b,text,1314,676,1426,791,"わざと・・・
お仕事をふやしてらっしゃるのかしら",,,86
00058b7c,face,302,590,337,655,,00057b94,ラファエロ,86
00058b7d,body,1157,213,1308,474,,000589db,レオ10世,86
00058b7e,body,1202,873,1333,1168,,00057b94,ラファエロ,86
00058b7f,face,480,197,497,220,,00058753,マリア,86
00058b80,text,98,533,113,584,マリア,,,86
00058b81,body,378,816,651,1168,,00057b94,ラファエロ,86
00058b82,face,464,929,572,1033,,00057b94,ラファエロ,86
00058b83,face,1360,924,1392,952,,00058753,マリア,86
00058b84,body,368,167,524,472,,00058753,マリア,86
00058b85,body,898,268,951,534,,00057bd1,Other,86
00058b86,body,1088,181,1178,447,,00058b87,レオ10世の付人,86
00058b88,body,1280,487,1340,632,,00057bd1,Other,86
00058b89,text,267,807,354,939,あやまってほしいっていってるのじゃなくてよ,,,86
00058b8a,frame,62,508,759,767,,,,86
00058b8b,frame,62,789,367,1169,,,,86
00058b8c,body,64,860,366,1167,,00058753,マリア,86
00058b8d,face,1124,200,1145,223,,00058b87,レオ10世の付人,86
00058b8e,body,896,844,1152,1165,,00058753,マリア,86
00058b8f,text,1255,70,1323,202,"よろしくたのむ
ラファエロ
君しかいない",,,86
00058b90,face,1244,254,1268,280,,000589db,レオ10世,86
00058b91,body,940,266,1004,527,,00057bd1,Other,86
00058b92,text,911,666,1177,857,"・・・・・・
おつきあいしてる方がいらっしゃるんでしょう
おじがどんなに弁解してわたしを傷つけまいとしても・・・
うわさはいやでも耳に入ってきますわ",,,86
00058b93,text,72,811,113,923,結婚してっていってるのよ,,,86
00058b94,text,933,66,1034,268,かねてより計画中のサン・ピエトロ大聖堂の建造責任者に任命する,,,86
00058b95,frame,286,58,759,484,,,,86
00058b96,frame,898,62,1342,634,,,,86
00058b97,face,416,624,456,689,,00058753,マリア,86
00058b98,text,583,533,740,694,"その女のことは見て見ぬふりしますわ
だから早くわたしと結婚して",,,86
