id,type,xmin,ymin,xmax,ymax,character_id,character_name,page_number
000595b6,body,1107,0,1282,266,00059094,ウリック,27
000595b7,face,402,816,463,855,00059094,ウリック,27
000595b8,body,1056,783,1325,1169,00059094,ウリック,27
000595b9,frame,1052,783,1322,1166,,,27
000595ba,body,1430,631,1579,855,00059094,ウリック,27
000595bb,face,211,241,318,314,00059094,ウリック,27
000595bc,body,298,695,568,1077,00059094,ウリック,27
000595bd,frame,0,2,1044,730,,,27
000595be,frame,44,635,1038,1111,,,27
000595bf,frame,1331,0,1653,1168,,,27
000595c0,face,1086,826,1295,1008,00059094,ウリック,27
000595c1,frame,1055,385,1318,748,,,27
000595c2,body,130,142,815,637,00059094,ウリック,27
000595c3,frame,1056,64,1322,355,,,27
