id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
00059702,body,984,117,1190,313,0005908d,シオン,,35
00059703,frame,217,60,690,429,,,,35
00059704,body,0,671,613,1169,0005908f,other,,35
00059705,body,1124,528,1653,904,0005908f,other,,35
00059706,face,379,91,617,269,0005908d,シオン,,35
00059707,body,870,206,1420,506,00059094,ウリック,,35
00059708,frame,47,60,326,367,,,,35
00059709,body,234,60,688,429,0005908d,シオン,,35
0005970a,body,1086,789,1653,1169,0005908d,シオン,,35
0005970b,text,57,200,90,315,,,…スリサズ・イサエイワズ……,35
0005970c,body,463,691,1073,1113,0005908f,other,,35
0005970d,face,1329,901,1514,1018,0005908d,シオン,,35
0005970e,text,1412,612,1544,873,,,ソーン・イス・ユル!!,35
0005970f,text,1494,339,1569,511,,,はぁうっ！,35
00059710,face,1058,144,1097,173,0005908d,シオン,,35
00059711,body,720,96,909,279,0005950e,トリート,,35
00059712,frame,5,338,1649,1166,,,,35
00059713,frame,622,61,1606,563,,,,35
00059714,text,1084,73,1097,126,,,ウッ・・・,35
00059715,face,1193,275,1298,325,00059094,ウリック,,35
00059716,text,1299,79,1313,146,,,ウリック,35
