id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
00059e7b,text,1470,835,1580,970,"友達でも割り切れ！
ヤツは俺達を殺そうとしているんだゾ！",,,76
00059e7c,text,88,866,109,953,ぐああっ,,,76
00059e7d,text,280,928,299,1041,ウリック！,,,76
00059e7e,face,1244,1007,1324,1077,,00059094,ウリック,76
00059e7f,frame,0,587,762,740,,,,76
00059e80,body,1227,209,1653,661,,0005908d,シオン,76
00059e81,face,1141,1002,1247,1075,,0005908d,シオン,76
00059e82,body,1312,820,1511,1106,,0005908d,シオン,76
00059e83,face,1492,977,1583,1069,,00059094,ウリック,76
00059e84,text,1222,830,1290,986,それにまた生き地獄な幻見せられるゾ！,,,76
00059e85,body,1461,967,1581,1107,,00059094,ウリック,76
00059e86,face,77,939,216,1048,,00059094,ウリック,76
00059e87,frame,0,0,768,551,,,,76
00059e88,text,1030,839,1070,981,イヤ～～～それもイヤ～～,,,76
00059e89,frame,61,699,760,871,,,,76
00059e8a,body,1237,953,1359,1110,,00059094,ウリック,76
00059e8b,frame,169,816,823,1164,,,,76
00059e8c,text,911,330,996,479,あの子ボクのともだち友達なんだ!!だから……！,,,76
00059e8d,frame,643,0,746,310,,,,76
00059e8e,frame,1098,823,1390,1103,,,,76
00059e8f,body,175,1030,382,1169,,00059173,レム,76
00059e90,frame,888,821,1088,1103,,,,76
00059e91,text,368,861,386,936,ぎゃん！,,,76
00059e92,face,933,1002,1027,1060,,0005908d,シオン,76
00059e93,body,339,591,539,706,,00059094,ウリック,76
00059e94,text,903,835,919,930,イヤだろ～,,,76
00059e95,text,363,1032,385,1076,ぐあ,,,76
00059e96,face,196,1063,274,1110,,00059173,レム,76
00059e97,text,467,133,595,271,メルリンは何年も一緒に暮らしてた友達なんだ…,,,76
00059e98,text,670,66,719,251,"でも…
でも…",,,76
00059e99,body,197,198,473,499,,00059094,ウリック,76
00059e9a,frame,1300,820,1583,1102,,,,76
00059e9b,body,345,712,676,855,,0005908d,シオン,76
00059e9c,face,1012,1037,1075,1080,,00059094,ウリック,76
00059e9d,body,1112,931,1266,1105,,0005908d,シオン,76
00059e9e,body,907,942,1037,1103,,0005908d,シオン,76
00059e9f,text,1235,63,1299,178,シオン！ダメ!!,,,76
00059ea0,frame,890,54,1461,268,,,,76
00059ea1,face,1343,285,1470,367,,0005908d,シオン,76
00059ea2,text,910,66,947,187,どわぁ!?,,,76
00059ea3,body,70,856,287,1110,,00059094,ウリック,76
00059ea4,frame,66,851,299,1113,,,,76
00059ea5,text,1538,274,1581,359,くっっ今度は……,,,76
00059ea6,face,1039,526,1224,687,,00059094,ウリック,76
00059ea7,text,93,400,160,660,"だから…
戦えない…",,,76
00059ea8,body,16,122,315,501,,0005908d,シオン,76
00059ea9,frame,890,303,1583,787,,,,76
00059eaa,text,1466,71,1588,157,"――くそぉ
ブレスやら何やらやっかいな魔物だつ",,,76
00059eab,face,367,615,448,672,,00059094,ウリック,76
00059eac,body,888,355,1463,786,,00059094,ウリック,76
00059ead,face,386,735,578,852,,0005908d,シオン,76
00059eae,body,995,986,1082,1108,,00059094,ウリック,76
00059eaf,frame,1384,5,1653,385,,,,76
