id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
0005b327,body,1033,245,1406,502,0005a255,山岡鐵太郎,,114
0005b328,frame,399,730,757,1108,,,,114
0005b329,text,992,77,1062,235,,,六時には道場に立つように致す,114
0005b32a,face,1170,313,1291,424,0005a255,山岡鐵太郎,,114
0005b32b,body,465,420,760,710,0005a283,村田新八,,114
0005b32c,body,1492,708,1568,854,0005a255,山岡鐵太郎,,114
0005b32d,body,306,107,483,344,0005a283,村田新八,,114
0005b32e,text,75,478,95,522,,,陛下,114
0005b32f,body,252,106,395,336,0005b0c3,明治天皇,,114
0005b330,frame,46,41,759,397,,,,114
0005b331,text,899,288,1008,470,,,人の忠告を素直に容れる度量を持っておられることなのだ,114
0005b332,face,193,805,256,875,0005b0c3,明治天皇,,114
0005b333,body,182,147,317,397,0005a275,other,,114
0005b334,text,638,748,729,1046,,,大酒を召されたあとまた相撲をとられるとは,114
0005b335,body,991,663,1125,1012,0005b0c3,明治天皇,,114
0005b336,body,401,754,695,1107,0005a255,山岡鐵太郎,,114
0005b337,frame,0,713,403,1115,,,,114
0005b338,face,1518,721,1541,743,0005a255,山岡鐵太郎,,114
0005b339,text,1432,342,1483,462,,,このお方の天性の資質は,114
0005b33a,frame,47,414,760,711,,,,114
0005b33b,face,129,726,177,786,0005a283,村田新八,,114
0005b33c,body,509,165,622,397,0005a275,other,,114
0005b33d,frame,891,516,1603,1115,,,,114
0005b33e,body,46,55,127,370,0005a255,山岡鐵太郎,,114
0005b33f,face,316,505,397,637,0005b0c3,明治天皇,,114
0005b340,body,157,432,566,705,0005b0c3,明治天皇,,114
0005b341,body,29,689,359,1113,0005a283,村田新八,,114
0005b342,text,702,473,753,550,,,いけーっ新八,114
0005b343,body,39,761,339,1110,0005b0c3,明治天皇,,114
0005b344,text,1548,566,1567,664,,,命を懸けて,114
0005b345,face,1298,81,1421,216,0005b0c3,明治天皇,,114
0005b346,text,1208,881,1225,943,,,とう！,114
0005b347,text,711,70,731,169,,,はっけよい,114
0005b348,frame,894,210,1603,501,,,,114
0005b349,text,1353,565,1375,603,,,えい,114
0005b34a,body,1074,55,1457,262,0005b0c3,明治天皇,,114
0005b34b,text,38,737,55,774,,,くっ,114
0005b34c,body,583,125,670,390,0005a275,other,,114
0005b34d,body,75,139,202,394,0005a275,other,,114
0005b34e,frame,894,51,1602,298,,,,114
0005b34f,text,177,76,227,139,,,残った〱,114
0005b350,text,339,733,358,814,,,残ったっ,114
0005b351,face,501,812,619,929,0005a255,山岡鐵太郎,,114
0005b352,face,465,482,582,621,0005a283,村田新八,,114
0005b353,text,1092,581,1144,681,,,陛下を輔弼致さねば･･･,114
0005b354,body,545,87,601,211,0005a275,other,,114
0005b355,body,1352,607,1512,991,0005a275,other,,114
0005b356,face,79,66,99,99,0005a255,山岡鐵太郎,,114
0005b357,text,1484,109,1572,252,,,わかった朕が悪かった,114
0005b358,body,462,91,543,278,0005a275,other,,114
