id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0005b7a0,text,919,563,1000,846,不肖山岡鐵舟これより旅立ちます,,,145
0005b7a1,text,1513,639,1546,701,陛下,,,145
0005b7a2,face,1108,740,1412,988,,0005a255,山岡鐵太郎,145
0005b7a3,face,1255,142,1292,188,,0005a255,山岡鐵太郎,145
0005b7a4,face,260,406,337,493,,0005a255,山岡鐵太郎,145
0005b7a5,body,119,342,663,1121,,0005a255,山岡鐵太郎,145
0005b7a6,text,970,181,1021,318,皇居にむかって結跏趺座した,,,145
0005b7a7,body,934,476,1589,1169,,0005a255,山岡鐵太郎,145
0005b7a8,frame,45,0,822,1167,,,,145
0005b7a9,text,504,624,582,802,司馬温公の家訓を家族への家訓として残した,,,145
0005b7aa,frame,888,462,1600,1168,,,,145
0005b7ab,frame,892,55,1600,450,,,,145
0005b7ac,text,107,100,307,341,自分に厳しくすること子孫が学ぶか学ばないか心配するより自分を正すことに腐心することが大切そうしたら自然に家庭の中もうまくいく,,,145
0005b7ad,body,1133,89,1424,445,,0005a255,山岡鐵太郎,145
0005b7ae,text,1483,168,1567,308,十九日朝鐵舟はすべての家人を遠ざけ,,,145
0005b7af,text,451,110,683,311,積金以遺児孫子孫未必守積書以遺子孫子孫未必読不如積陰徳於冥々之中以為子孫長之計此先賢之格言乃後人之亀鑑,,,145
