id,type,xmin,ymin,xmax,ymax,character_id,character_name,page_number
0005bb58,face,1358,672,1507,883,0005b82f,Other,19
0005bb59,face,1268,777,1364,876,0005b82f,Other,19
0005bb5a,body,861,1010,915,1067,0005b82f,Other,19
0005bb5b,body,1266,757,1413,907,0005b82f,Other,19
0005bb5c,body,1469,462,1611,601,0005b82f,Other,19
0005bb5d,face,1091,801,1231,943,0005b82f,Other,19
0005bb5e,face,1368,314,1508,448,0005b82f,Other,19
0005bb5f,face,1429,570,1505,636,0005b82f,Other,19
0005bb60,face,502,843,644,1010,0005ba24,先生（細長男性）,19
0005bb61,face,1259,918,1453,1132,0005b82f,Other,19
0005bb62,frame,830,921,1024,1167,,,19
0005bb63,body,1467,239,1577,297,0005b82f,Other,19
0005bb64,frame,962,0,1630,1169,,,19
0005bb65,body,1348,210,1631,471,0005b82f,Other,19
0005bb66,face,902,967,961,1024,0005b82f,Other,19
0005bb67,face,33,622,130,717,0005b82f,Other,19
0005bb68,body,1339,611,1451,692,0005b82f,Other,19
0005bb69,face,1339,628,1382,668,0005b82f,Other,19
0005bb6a,body,1419,555,1564,675,0005b82f,Other,19
0005bb6b,body,1356,651,1628,1167,0005b82f,Other,19
0005bb6c,frame,835,0,1513,1028,,,19
0005bb6d,body,1028,758,1289,1159,0005b82f,Other,19
0005bb6e,body,1490,2,1628,253,0005b82f,Other,19
0005bb6f,body,1454,1,1621,161,0005b82f,Other,19
0005bb70,body,1195,899,1568,1165,0005b82f,Other,19
0005bb71,face,1473,260,1509,291,0005b82f,Other,19
0005bb72,body,25,607,481,1167,0005ba38,校長,19
0005bb73,body,887,940,1026,1079,0005b82f,Other,19
0005bb74,face,1464,54,1546,146,0005b82f,Other,19
0005bb75,face,1492,162,1578,244,0005b82f,Other,19
0005bb76,body,24,609,154,793,0005b82f,Other,19
0005bb77,face,1494,463,1594,602,0005b82f,Other,19
0005bb78,body,663,851,1007,1165,0005ba30,先生(メガネ女性),19
0005bb79,frame,16,1,823,902,,,19
0005bb7a,body,468,831,803,1167,0005ba24,先生（細長男性）,19
0005bb7b,face,699,913,857,1077,0005ba30,先生(メガネ女性),19
0005bb7c,frame,17,413,827,1165,,,19
0005bb7d,face,173,661,408,881,0005ba38,校長,19
