id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
0005c989,face,790,255,906,379,0005c905,ユンカー,,91
0005c98a,text,962,166,1005,249,,,3秒,91
0005c98b,frame,556,0,1053,732,,,,91
0005c98c,face,1405,158,1464,229,0005c905,ユンカー,,91
0005c98d,text,1485,574,1562,800,,,しめた！前に誰もいない!,91
0005c98e,body,1328,131,1466,415,0005c905,ユンカー,,91
0005c98f,text,213,52,256,138,,,5秒,91
0005c990,text,1107,625,1150,794,,,行ける!,91
0005c991,face,1147,197,1224,272,0005b82a,人見絹枝,,91
0005c992,text,707,331,745,425,,,4秒,91
0005c993,text,1378,624,1413,691,,,２秒,91
0005c994,frame,30,0,873,617,,,,91
0005c995,frame,27,39,1119,1004,,,,91
0005c996,text,477,748,589,1073,,,!,91
0005c997,face,1158,629,1322,1035,0005b82a,人見絹枝,,91
0005c998,text,1498,216,1558,324,,,1秒,91
0005c999,frame,1280,0,1653,1169,,,,91
0005c99a,frame,27,496,1325,1169,,,,91
0005c99b,frame,1046,458,1404,1075,,,,91
0005c99c,body,1118,504,1394,1035,0005b82a,人見絹枝,,91
0005c99d,text,1262,63,1336,194,,,このままゴールまで逃げ切れれば,91
0005c99e,text,451,38,509,128,,,行け！全力で!,91
0005c99f,body,761,186,981,552,0005c905,ユンカー,,91
0005c9a0,body,1077,140,1315,527,0005b82a,人見絹枝,,91
0005c9a1,text,673,34,746,143,,,ユンカーはまだ後ろにいる！,91
0005c9a2,frame,888,0,1507,630,,,,91
