id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0005cb27,text,1139,405,1202,498,酔狂ですな自ら恥の上塗りとは,,,101
0005cb28,body,1266,550,1446,712,,0005bc2b,梶耕作,101
0005cb29,body,139,468,310,820,,0005ca90,トムソン（かなだ）,101
0005cb2a,body,1185,0,1641,315,,0005b82a,人見絹枝,101
0005cb2b,text,265,1010,281,1118,どうでもいい,,,101
0005cb2c,frame,9,20,750,528,,,,101
0005cb2d,text,71,904,146,1057,どうでもいいじゃないかそんなこと―,,,101
0005cb2e,text,696,24,746,116,…っ!,,,101
0005cb2f,text,1463,812,1564,991,面白おかしく書きたいなら,,,101
0005cb30,text,409,406,474,625,何をそんなに恐れる―？,,,101
0005cb31,body,842,631,1632,1164,,0005b82a,人見絹枝,101
0005cb32,text,672,931,712,1066,栄光や賞賛が欲しいからか？,,,101
0005cb33,frame,1422,285,1648,531,,,,101
0005cb34,body,648,436,748,607,,0005b82f,Other,101
0005cb35,body,34,461,242,862,,0005b82f,Other,101
0005cb36,frame,520,293,751,605,,,,101
0005cb37,text,628,816,735,855,８００ｍ走決勝――,,,101
0005cb38,face,962,529,1167,658,,0005b82a,人見絹枝,101
0005cb39,frame,12,367,515,893,,,,101
0005cb3a,face,327,585,368,630,,0005b82a,人見絹枝,101
0005cb3b,frame,19,878,811,1165,,,,101
0005cb3c,body,111,3,419,428,,0005b82a,人見絹枝,101
0005cb3d,frame,906,311,1419,521,,,,101
0005cb3e,face,1226,21,1403,173,,0005b82a,人見絹枝,101
0005cb3f,body,550,107,723,321,,0005bc2b,梶耕作,101
0005cb40,body,210,574,377,788,,0005b82a,人見絹枝,101
0005cb41,face,423,133,542,247,,0005b82a,人見絹枝,101
0005cb42,face,609,133,700,204,,0005bc2b,梶耕作,101
0005cb43,frame,540,0,748,327,,,,101
0005cb44,face,253,472,294,526,,0005ca90,トムソン（かなだ）,101
0005cb45,face,1008,720,1272,1075,,0005b82a,人見絹枝,101
0005cb46,face,1346,596,1424,646,,0005bc2b,梶耕作,101
0005cb47,text,909,696,1040,916,勝手にどうとでも書けばいい!!,,,101
0005cb48,text,493,1011,540,1140,罵倒されるのが怖いからか？,,,101
0005cb49,body,393,84,561,362,,0005b82a,人見絹枝,101
0005cb4a,face,139,24,342,323,,0005b82a,人見絹枝,101
0005cb4b,frame,510,603,743,892,,,,101
0005cb4c,frame,833,0,1633,434,,,,101
0005cb4d,text,1345,336,1392,465,100ｍがダメなら800ｍですか…,,,101
0005cb4e,body,944,508,1298,684,,0005b82a,人見絹枝,101
0005cb4f,frame,843,428,1653,1165,,,,101
0005cb50,body,13,501,114,890,,0005b82f,Other,101
0005cb51,frame,906,509,1630,735,,,,101
0005cb52,text,646,339,772,370,続きまして―,,,101
0005cb53,frame,365,0,606,345,,,,101
0005cb54,text,1477,558,1579,697,まあこっちとしては面白い記事が書けそうでありがたいですがね,,,101
