id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
0005cd35,face,182,920,331,1061,0005cd36,香田,,3
0005cd37,body,553,954,747,1127,0005cd38,会長,,3
0005cd39,frame,285,881,776,1132,,,,3
0005cd3a,face,1019,552,1300,872,0005cd3b,津山貫太郎,,3
0005cd3c,text,563,717,666,840,,,"失礼します
会長―――例の件について先ほど",3
0005cd3d,body,699,657,756,852,0005cd36,香田,,3
0005cd3e,body,826,300,1653,1164,0005cd3b,津山貫太郎,,3
0005cd3f,text,449,1034,503,1093,,,ゆっくりとウイニングランを…,3
0005cd40,body,75,868,424,1167,0005cd36,香田,,3
0005cd41,frame,59,552,779,855,,,,3
0005cd42,frame,2,61,778,531,,,,3
0005cd43,text,51,906,157,1047,,,また昔のF1GPのビデオご覧になってたんですか……,3
0005cd44,text,62,78,163,241,,,強い!!本当に「強い」のひと言です!!,3
0005cd45,text,672,72,762,257,,,まさに向かう所敵なしのホンダエンジン!!,3
0005cd46,frame,17,861,432,1169,,,,3
0005cd47,text,1433,446,1641,791,,,ういっす!!,3
0005cd48,frame,823,264,1645,1164,,,,3
