id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0005d6a7,text,362,901,384,975,まだ…,,,60
0005d6a8,body,155,503,284,595,,0005ce75,南原浩,60
0005d6a9,body,1386,958,1570,1122,,0005ce75,南原浩,60
0005d6aa,frame,1326,731,1595,853,,,,60
0005d6ab,text,45,1064,70,1136,まだ…,,,60
0005d6ac,frame,53,0,514,388,,,,60
0005d6ad,frame,1,654,422,1168,,,,60
0005d6ae,body,1246,220,1374,360,,0005cd3b,津山貫太郎,60
0005d6af,text,1334,876,1383,1014,全ブレーキだと言っただろう!!,,,60
0005d6b0,frame,437,651,752,850,,,,60
0005d6b1,body,532,98,658,299,,0005cd3b,津山貫太郎,60
0005d6b2,text,1524,877,1588,959,なな何やってんだよ!!,,,60
0005d6b3,body,1298,623,1396,703,,0005cd3b,津山貫太郎,60
0005d6b4,text,704,890,721,922,……,,,60
0005d6b5,text,417,9,493,82,💢,,,60
0005d6b6,body,1127,886,1299,1118,,0005cd3b,津山貫太郎,60
0005d6b7,body,920,340,1104,437,,0005ce75,南原浩,60
0005d6b8,body,553,888,747,1115,,0005cd3b,津山貫太郎,60
0005d6b9,face,616,942,705,992,,0005cd3b,津山貫太郎,60
0005d6ba,text,980,745,1070,823,甘いの!!,,,60
0005d6bb,text,483,864,569,956,そうすりゃスピンはまずない,,,60
0005d6bc,face,438,677,591,846,,0005ce75,南原浩,60
0005d6bd,frame,919,560,1570,730,,,,60
0005d6be,frame,899,729,1310,1124,,,,60
0005d6bf,body,165,1,446,381,,0005cd3b,津山貫太郎,60
0005d6c0,body,452,488,554,560,,0005cd3b,津山貫太郎,60
0005d6c1,frame,1322,870,1592,1123,,,,60
0005d6c2,frame,53,412,753,629,,,,60
0005d6c3,text,529,272,614,374,でかいビビッてんじゃねーよ,,,60
0005d6c4,text,677,86,747,192,ブレーキが壊れるくらい踏んでみろ!!,,,60
0005d6c5,text,639,659,745,805,いいか!?ブレーキ踏む時は必ずステアリングを真っすぐにしとけ,,,60
0005d6c6,body,1099,614,1187,692,,0005ce75,南原浩,60
0005d6c7,text,948,224,1044,309,なっ…おい!!ちょっ……,,,60
0005d6c8,frame,520,69,756,386,,,,60
0005d6c9,frame,429,869,753,1125,,,,60
0005d6ca,face,1205,916,1251,952,,0005cd3b,津山貫太郎,60
0005d6cb,body,441,649,633,852,,0005ce75,南原浩,60
0005d6cc,frame,901,1,1648,549,,,,60
0005d6cd,text,1251,754,1300,880,……やったけど,,,60
0005d6ce,text,348,666,413,783,まだアクセル全開だぞ!!,,,60
0005d6cf,face,565,113,610,154,,0005cd3b,津山貫太郎,60
0005d6d0,body,894,782,1107,1121,,0005ce75,南原浩,60
0005d6d1,body,617,231,745,384,,0005ce75,南原浩,60
0005d6d2,text,41,260,83,356,なな何だよやんのかコラ,,,60
0005d6d3,body,57,237,190,383,,0005ce75,南原浩,60
0005d6d4,text,1381,190,1401,219,ぬ?,,,60
0005d6d5,face,169,34,422,253,,0005cd3b,津山貫太郎,60
0005d6d6,text,904,849,1036,1011,踏み方が大甘なんだよお前のブレーキわあ!!,,,60
