id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0005e711,text,1495,104,1513,168,里…?,,,57
0005e712,text,685,802,732,906,"チェッ、
わかったよ、",,,57
0005e713,text,75,828,130,988,"なんでこう
なっちゃうのォ?",,,57
0005e714,frame,897,740,1233,1104,,,,57
0005e715,body,1392,554,1469,718,,0005e634,タカアキ,57
0005e716,body,520,635,616,762,,0005e634,タカアキ,57
0005e717,face,935,354,1064,498,,0005e634,タカアキ,57
0005e718,text,1270,356,1340,470,"なんでココに
タカアキが
いんのよ!",,,57
0005e719,frame,626,456,754,762,,,,57
0005e71a,body,901,946,1057,1168,,0005e634,タカアキ,57
0005e71b,text,913,951,943,1015,ん?,,,57
0005e71c,frame,23,778,391,1167,,,,57
0005e71d,body,204,841,276,1030,,0005dc30,Other,57
0005e71e,frame,1250,809,1628,1114,,,,57
0005e71f,body,905,339,1113,528,,0005e634,タカアキ,57
0005e720,body,1074,560,1197,717,,0005e5e7,亜加里,57
0005e721,body,1153,91,1252,286,,0005dc30,Other,57
0005e722,text,930,754,1028,891,"ちょっと
待ってよ、
タカアキ!!",,,57
0005e723,text,923,70,949,114,?,,,57
0005e724,text,1184,762,1206,870,ちょっ…,,,57
0005e725,frame,901,941,1059,1169,,,,57
0005e726,frame,404,455,621,762,,,,57
0005e727,body,626,523,754,760,,0005e634,タカアキ,57
0005e728,body,1477,207,1548,284,,0005e634,タカアキ,57
0005e729,face,654,574,753,721,,0005e634,タカアキ,57
0005e72a,face,1295,847,1319,881,,0005e634,タカアキ,57
0005e72b,text,561,476,603,563,"なんの
こっちゃ。",,,57
0005e72c,frame,899,339,1250,529,,,,57
0005e72d,text,1112,189,1138,238,?,,,57
0005e72e,face,528,920,696,1080,,0005e634,タカアキ,57
0005e72f,body,1416,815,1612,1103,,0005e5e7,亜加里,57
0005e730,body,77,594,216,764,,0005e5e7,亜加里,57
0005e731,body,1365,430,1427,660,,0005e5e7,亜加里,57
0005e732,face,1091,76,1135,153,,0005e5f4,ミキ,57
0005e733,body,1512,209,1578,296,,0005e5e7,亜加里,57
0005e734,frame,1255,339,1577,720,,,,57
0005e735,face,531,668,569,725,,0005e634,タカアキ,57
0005e736,frame,76,455,397,761,,,,57
0005e737,text,523,830,570,915,"とにかく
戻ろうぜ。",,,57
0005e738,text,48,139,165,351,"今日一日、
他人のフリ
してくれない!?",,,57
0005e739,text,689,1015,747,1073,"チッ
テレ屋め",,,57
0005e73a,text,1504,771,1597,841,"けどま、
亜加里が
いるなら
別だ。",,,57
0005e73b,frame,393,781,492,1101,,,,57
0005e73c,body,1274,828,1455,1102,,0005e634,タカアキ,57
0005e73d,face,256,15,549,384,,0005e5e7,亜加里,57
0005e73e,face,919,991,1054,1161,,0005e634,タカアキ,57
0005e73f,text,314,800,367,945,"ーーったく、
なんなのよォ。",,,57
0005e740,body,396,964,491,1101,,0005e5e7,亜加里,57
0005e741,face,1098,596,1176,695,,0005e5e7,亜加里,57
0005e742,face,414,997,459,1055,,0005e5e7,亜加里,57
0005e743,text,1129,356,1233,512,"男のメンバーが
足りないとかで、
急きょ、頭数
揃えるためにーー",,,57
0005e744,frame,1444,340,1578,478,,,,57
0005e745,frame,496,781,756,1103,,,,57
0005e746,body,245,542,396,763,,0005e634,タカアキ,57
0005e747,face,1474,830,1503,868,,0005e5e7,亜加里,57
0005e748,frame,896,547,1248,719,,,,57
0005e749,body,24,1028,180,1166,,0005e5e7,亜加里,57
0005e74a,text,1351,759,1421,835,"来いよ
みんなに
紹介ーー",,,57
0005e74b,body,900,88,1059,319,,0005dc30,Other,57
0005e74c,text,302,474,372,572,"俺は
恥ずかしく
ないぞ?",,,57
0005e74d,frame,79,0,756,434,,,,57
0005e74e,text,1220,570,1237,623,……,,,57
0005e74f,face,76,593,181,760,,0005e5e7,亜加里,57
0005e750,face,445,676,493,720,,0005e5e7,亜加里,57
0005e751,frame,900,0,1632,321,,,,57
0005e752,text,421,473,494,598,"や、その…
は、恥ずかしい
から…",,,57
0005e753,body,152,0,752,434,,0005e5e7,亜加里,57
0005e754,text,1276,577,1325,704,"?なんでって
言われても…",,,57
0005e755,body,246,1005,390,1166,,0005dc30,Other,57
0005e756,face,272,610,397,763,,0005e634,タカアキ,57
0005e757,text,699,94,735,270,お願いっ!!,,,57
0005e758,text,97,470,182,592,"私が
恥ずかしいっ
つってんの!",,,57
0005e759,body,495,822,753,1101,,0005e634,タカアキ,57
0005e75a,text,1279,65,1308,107,?,,,57
0005e75b,body,404,635,503,762,,0005e5e7,亜加里,57
0005e75c,body,1023,2,1170,294,,0005e5f4,ミキ,57
0005e75d,text,922,543,995,706,"あんまりこーいうの
好きじゃないん
だけど…",,,57
