id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
0005f7ba,frame,429,80,748,572,,,,63
0005f7bb,body,1199,646,1617,1166,0005f7bc,周人先生,,63
0005f7bd,face,1174,156,1264,239,0005f7bc,周人先生,,63
0005f7be,text,1525,581,1580,794,,,周人先生！！,63
0005f7bf,face,1084,758,1132,801,0005f7bc,周人先生,,63
0005f7c0,frame,899,612,1239,820,,,,63
0005f7c1,frame,1214,591,1616,1168,,,,63
0005f7c2,text,226,261,389,528,,,"思いついた曲をかたっぱしから弾いていて、
そのうちの一曲がたまたま「グリーン～」だっただけの話さ。",63
0005f7c3,frame,76,251,420,568,,,,63
0005f7c4,frame,899,1,1617,589,,,,63
0005f7c5,body,107,925,275,1161,0005f427,神山由喜,,63
0005f7c6,text,630,793,725,1007,,,今日、辞令が出てね、来週、大阪に行くコトになった。,63
0005f7c7,body,1073,59,1480,589,0005f7bc,周人先生,,63
0005f7c8,text,90,264,162,399,,,"はぁ……
なんでまた、そんなコトを？",63
0005f7c9,text,436,88,542,294,,,めったに学校じゃ、バンド時代の曲は弾かなかったのに…,63
0005f7ca,text,908,854,992,1058,,,ですよね！？周人先生がガーディアンプロット時代のあの名曲！！,63
0005f7cb,frame,73,785,744,1165,,,,63
0005f7cc,text,1143,618,1230,776,,,"やぁ、由喜君
まだ学校に残っていたのかい？",63
0005f7cd,frame,77,597,745,758,,,,63
0005f7ce,frame,73,81,410,223,,,,63
0005f7cf,text,623,603,719,748,,,今日が、ここの弾きおさめだから…,63
0005f7d0,face,475,306,717,553,0005f427,神山由喜,,63
0005f7d1,text,355,826,393,904,,,転勤だ。,63
0005f7d2,body,209,81,396,219,0005f7bc,周人先生,,63
0005f7d3,body,401,919,632,1167,0005f7bc,周人先生,,63
0005f7d4,body,129,598,547,762,0005f7bc,周人先生,,63
0005f7d5,text,915,627,970,748,,,"先生！！
今の曲って…",63
0005f7d6,frame,898,849,1242,1090,,,,63
0005f7d7,face,233,107,347,217,0005f7bc,周人先生,,63
0005f7d8,body,1076,722,1175,820,0005f7bc,周人先生,,63
0005f7d9,face,1284,833,1581,1115,0005f7bc,周人先生,,63
0005f7da,text,90,804,109,876,,,え……,63
0005f7db,text,641,89,729,274,,,――けど、どうしたんスか？珍しいですよね。,63
0005f7dc,text,84,83,160,204,,,"いや、別に…
意図はないよ。",63
0005f7dd,body,899,635,1056,820,0005f427,神山由喜,,63
0005f7de,text,1162,851,1211,1053,,,「グリーン・フィールド・シティ・グリーン」…,63
0005f7df,body,430,140,746,575,0005f427,神山由喜,,63
