id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
0005fe96,body,1199,29,1649,614,0005fdaa,久須見優,,13
0005fe97,face,1307,697,1396,797,0005fd1a,御芝灼,,13
0005fe98,frame,1300,629,1602,930,,,,13
0005fe99,face,549,777,695,953,0005fdaa,久須見優,,13
0005fe9a,face,172,781,325,982,0005fdaa,久須見優,,13
0005fe9b,body,364,754,727,1090,0005fdaa,久須見優,,13
0005fe9c,text,1398,389,1569,553,,,"制服もそうだけど....
―アレ　心当たりあるから",13
0005fe9d,face,1280,162,1352,252,0005fd1a,御芝灼,,13
0005fe9e,text,578,562,701,712,,,もしか兄貴のも持ってるコインなら本人に会わなくても僕が理由知ってるけど......,13
0005fe9f,frame,354,744,729,1090,,,,13
0005fea0,body,1330,626,1590,935,0005fdaa,久須見優,,13
0005fea1,frame,920,128,1241,629,,,,13
0005fea2,frame,928,633,1288,1161,,,,13
0005fea3,face,482,549,510,626,0005fdaa,久須見優,,13
0005fea4,frame,194,525,732,736,,,,13
0005fea5,text,615,365,708,477,,,だから……オレはコレが気になてて,13
0005fea6,body,66,394,173,516,0005fd1a,御芝灼,,13
0005fea7,text,1178,691,1250,875,,,なんかすっごい「逢いたい～～♡」ってヤなカンジ,13
0005fea8,frame,1074,0,1615,615,,,,13
0005fea9,body,936,673,1292,1169,0005fd1a,御芝灼,,13
0005feaa,text,385,922,438,1019,,,ユタカ,13
0005feab,text,107,945,121,1040,,,....そうだな,13
0005feac,frame,22,518,722,1163,,,,13
0005fead,text,936,160,1060,388,,,コレ！！？,13
0005feae,body,608,1,725,333,0005fdaa,久須見優,,13
0005feaf,body,1216,118,1461,578,0005fd1a,御芝灼,,13
0005feb0,face,1438,115,1510,209,0005fdaa,久須見優,,13
0005feb1,frame,243,80,601,515,,,,13
0005feb2,face,655,54,702,175,0005fdaa,久須見優,,13
0005feb3,text,1498,803,1570,1085,,,"......
やっぱよそーかなー",13
0005feb4,face,990,777,1144,965,0005fd1a,御芝灼,,13
0005feb5,frame,512,0,727,502,,,,13
0005feb6,frame,63,80,243,517,,,,13
0005feb7,body,363,529,558,737,0005fdaa,久須見優,,13
0005feb8,body,1290,633,1429,928,0005fd1a,御芝灼,,13
0005feb9,text,1307,936,1381,1073,,,なんで！！,13
0005feba,body,16,592,712,1163,0005fdaa,久須見優,,13
0005febb,text,154,129,235,239,,,該当するのはたぶん…うちの兄貴,13
0005febc,body,541,118,700,331,0005fd1a,御芝灼,,13
0005febd,text,243,623,270,728,,,ホント！？,13
0005febe,text,286,266,538,466,,,"たしかにね　マッチの中の1セントコインだもんね　意味深で気になるよな
そんな取り合わせでも持ってるヤツ二人といないだろーしアラタから聞いた人相からいっても…",13
0005febf,face,1492,645,1550,762,0005fdaa,久須見優,,13
0005fec0,text,668,931,698,1015,,,教えない,13
0005fec1,body,373,798,574,1035,0005fd1a,御芝灼,,13
