id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
00060630,text,507,1006,523,1056,え...,,,60
00060631,body,203,122,436,367,,0005fd1a,御芝灼,60
00060632,frame,77,0,726,363,,,,60
00060633,body,955,574,1197,740,,0005fd1a,御芝灼,60
00060634,body,1322,697,1567,1169,,0005fdaa,久須見優,60
00060635,body,183,384,310,676,,0005fd1a,御芝灼,60
00060636,text,92,712,141,876,キスっていつもの冗談だったのかなあ,,,60
00060637,frame,1367,0,1634,554,,,,60
00060638,frame,923,83,1200,550,,,,60
00060639,frame,923,576,1577,740,,,,60
0006063a,body,363,757,470,1073,,0005fdaa,久須見優,60
0006063b,text,961,440,974,512,ユタ...…,,,60
0006063c,body,85,714,298,1097,,0005fd1a,御芝灼,60
0006063d,face,1241,848,1291,911,,0005fd1a,御芝灼,60
0006063e,body,1281,574,1580,737,,0005fd1a,御芝灼,60
0006063f,text,1550,122,1574,206,大検かあ...,,,60
00060640,body,1207,300,1358,555,,0005fd1a,御芝灼,60
00060641,text,966,845,1153,1055,"う...うん　テツシに学ラン返さなきゃね
一回家戻ってからシュウジさんの店行こうかなーって",,,60
00060642,face,1357,579,1547,733,,0005fd1a,御芝灼,60
00060643,face,215,394,255,447,,0005fd1a,御芝灼,60
00060644,text,1543,831,1557,901,アラタ…,,,60
00060645,body,1127,804,1391,1169,,0005fd1a,御芝灼,60
00060646,body,575,421,734,992,,0005fdaa,久須見優,60
00060647,text,1148,146,1271,325,"制服....
届いたんだ　よかったね",,,60
00060648,text,496,590,633,788,"じゃ　州路の店で会えるね
僕も先生にプリント渡したら行くから",,,60
00060649,frame,1206,83,1355,558,,,,60
0006064a,frame,82,682,295,1100,,,,60
0006064b,frame,134,365,457,677,,,,60
0006064c,face,519,66,614,219,,0005fdaa,久須見優,60
0006064d,face,1280,344,1355,431,,0005fd1a,御芝灼,60
0006064e,body,230,367,470,676,,0005fdaa,久須見優,60
0006064f,text,330,812,345,965,いつも通り…だよな,,,60
00060650,face,1037,135,1079,180,,0005fdaa,久須見優,60
00060651,body,1021,318,1197,551,,0005fd1a,御芝灼,60
00060652,face,1084,586,1166,683,,0005fd1a,御芝灼,60
00060653,frame,467,386,736,1097,,,,60
00060654,face,188,761,272,871,,0005fd1a,御芝灼,60
00060655,body,965,93,1166,493,,0005fdaa,久須見優,60
00060656,body,443,2,739,370,,0005fdaa,久須見優,60
00060657,frame,305,682,476,1168,,,,60
00060658,body,1337,118,1419,439,,0005fdaa,久須見優,60
00060659,body,536,777,700,1093,,0005fd1a,御芝灼,60
0006065a,face,371,438,445,515,,0005fdaa,久須見優,60
0006065b,frame,921,744,1581,1162,,,,60
