id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
00060d27,text,299,96,338,150,・・・・・・・・・・,,,17
00060d28,face,104,455,270,659,,00060aae,グロス・パヒス,17
00060d29,face,963,796,1121,1019,,00060b96,ヴァルナス,17
00060d2a,text,903,788,920,888,腕が・・・・！！,,,17
00060d2b,frame,0,2,344,414,,,,17
00060d2c,text,259,424,294,509,行け！！,,,17
00060d2d,frame,884,751,1145,1095,,,,17
00060d2e,face,543,397,645,501,,00060be5,アパゴ,17
00060d2f,frame,348,261,756,745,,,,17
00060d30,body,373,7,772,735,,00060be5,アパゴ,17
00060d31,text,1509,770,1594,879,昨日はかましてくれたな！！,,,17
00060d32,frame,388,741,766,1094,,,,17
00060d33,face,1601,1069,1650,1116,,00060bb5,other,17
00060d34,text,1212,792,1270,960,今度は油断しねえぞ！！,,,17
00060d35,face,53,96,334,406,,00060b96,ヴァルナス,17
00060d36,face,1393,925,1489,1013,,00060be5,アパゴ,17
00060d37,text,724,877,750,971,はっ！！,,,17
00060d38,text,677,260,754,429,あの程度のケガなど一日あれば完治してしまうのだ！！,,,17
00060d39,body,384,777,730,1087,,00060be5,アパゴ,17
00060d3a,face,168,829,325,972,,00060b96,ヴァルナス,17
00060d3b,body,1158,757,1585,1167,,00060be5,アパゴ,17
00060d3c,frame,346,0,766,323,,,,17
00060d3d,body,83,754,376,1085,,00060b96,ヴァルナス,17
00060d3e,frame,885,4,1653,732,,,,17
00060d3f,body,7,9,340,410,,00060b96,ヴァルナス,17
00060d40,text,384,942,479,1117,グロス・パヒス様アパゴの活躍を御覧あれ～～！！,,,17
00060d41,face,509,845,690,1011,,00060be5,アパゴ,17
00060d42,frame,1154,754,1651,1164,,,,17
00060d43,text,347,376,404,486,骨が折れたっ！,,,17
00060d44,body,1166,250,1385,613,,00060b96,ヴァルナス,17
00060d45,frame,4,437,335,726,,,,17
00060d46,text,352,525,427,731,それが偉大なるサン・キュード様の奇跡”薬”の効力なのだ！！,,,17
00060d47,text,59,571,121,709,殺ってしまえアパゴ！！,,,17
00060d48,body,929,750,1146,1084,,00060b96,ヴァルナス,17
00060d49,frame,85,740,382,1093,,,,17
00060d4a,text,948,4,1646,221,ヴァルナスー！！,,,17
00060d4b,body,1574,1049,1651,1158,,00060bb5,other,17
00060d4c,body,11,449,336,719,,00060aae,グロス・パヒス,17
