id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
00060f51,face,1408,850,1521,984,00060be5,アパゴ,,33
00060f52,text,333,624,361,775,,,あの重い剣を・・・・,33
00060f53,text,102,627,137,691,,,片手で・・・・,33
00060f54,body,912,20,1277,640,00060be5,アパゴ,,33
00060f55,body,395,463,591,591,00060bb5,other,,33
00060f56,text,134,457,152,538,,,うそお・・・,33
00060f57,face,577,510,641,566,00060bb5,other,,33
00060f58,body,212,626,319,788,00060ab3,ゾナ,,33
00060f59,body,428,644,759,1154,00060b96,ヴァルナス,,33
00060f5a,body,469,279,758,413,00060b96,ヴァルナス,,33
00060f5b,frame,1330,732,1651,1165,,,,33
00060f5c,body,1255,36,1582,582,00060b96,ヴァルナス,,33
00060f5d,face,465,484,525,546,00060bb5,other,,33
00060f5e,frame,392,443,768,590,,,,33
00060f5f,face,611,715,679,790,00060b96,ヴァルナス,,33
00060f60,body,441,49,758,406,00060be5,アパゴ,,33
00060f61,frame,89,617,367,791,,,,33
00060f62,body,549,490,681,586,00060bb5,other,,33
00060f63,face,1262,333,1292,367,00060b96,ヴァルナス,,33
00060f64,body,25,202,161,376,00060b96,ヴァルナス,,33
00060f65,frame,373,601,772,1164,,,,33
00060f66,frame,0,0,439,419,,,,33
00060f67,text,703,450,755,559,,,アパゴ様が一撃で・・・・！？,33
00060f68,frame,441,0,772,421,,,,33
00060f69,text,1126,765,1137,829,,,えっ！？,33
00060f6a,frame,893,0,1653,724,,,,33
00060f6b,body,93,659,229,787,00060b8c,アモス,,33
00060f6c,face,1169,877,1218,928,00060b8c,アモス,,33
00060f6d,frame,1088,727,1334,1095,,,,33
00060f6e,body,1188,731,1314,1075,00060ab3,ゾナ,,33
00060f6f,face,248,649,308,701,00060ab3,ゾナ,,33
00060f70,body,163,456,284,592,00060aae,グロス・パヒス,,33
00060f71,face,121,716,213,778,00060b8c,アモス,,33
00060f72,face,1224,759,1263,804,00060ab3,ゾナ,,33
00060f73,face,195,493,265,568,00060aae,グロス・パヒス,,33
00060f74,body,893,814,1084,1088,00060b96,ヴァルナス,,33
00060f75,frame,887,733,1083,1096,,,,33
00060f76,face,965,935,1084,1086,00060b96,ヴァルナス,,33
00060f77,frame,87,437,391,599,,,,33
00060f78,text,331,459,344,497,,,う・・・,33
00060f79,body,1337,735,1639,1158,00060be5,アパゴ,,33
00060f7a,body,51,35,380,286,00060be5,アパゴ,,33
00060f7b,body,1088,831,1307,1095,00060b8c,アモス,,33
00060f7c,frame,0,790,376,1162,,,,33
