id,type,xmin,ymin,xmax,ymax,character_id,character_name,page_number
0006136e,body,1222,508,1649,1164,00060b8c,アモス,58
0006136f,body,170,88,768,748,00061344,ゼルマ,58
00061370,face,1342,628,1544,841,00060b8c,アモス,58
00061371,frame,0,4,775,753,,,58
00061372,body,897,8,1521,762,00061344,ゼルマ,58
00061373,body,0,801,355,1164,00060b8c,アモス,58
00061374,face,435,282,525,363,00061344,ゼルマ,58
00061375,frame,891,2,1653,1169,,,58
00061376,face,130,871,279,1024,00060b8c,アモス,58
00061377,face,1135,406,1233,487,00061344,ゼルマ,58
00061378,frame,0,756,355,1166,,,58
00061379,frame,359,750,775,1164,,,58
