id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
00061bb2,body,921,103,1037,227,00061965,沢村大介,,9
00061bb3,text,269,88,403,220,,,ねえねえあの人じゃないのミス三中の夢枕にあらわれたって,9
00061bb4,body,970,998,1047,1048,00061965,沢村大介,,9
00061bb5,body,1248,436,1426,778,00061929,Other,,9
00061bb6,frame,1245,430,1569,814,,,,9
00061bb7,text,1108,866,1219,930,,,おいだれか水もって来い！水だっ!!,9
00061bb8,frame,407,590,743,830,,,,9
00061bb9,face,508,673,605,746,00061965,沢村大介,,9
00061bba,body,1271,847,1575,1078,00061929,Other,,9
00061bbb,face,464,345,482,371,00061929,Other,,9
00061bbc,body,233,319,321,550,00061965,沢村大介,,9
00061bbd,frame,902,79,1269,231,,,,9
00061bbe,body,620,336,729,561,00061965,沢村大介,,9
00061bbf,frame,1283,74,1571,412,,,,9
00061bc0,frame,424,73,743,313,,,,9
00061bc1,face,1340,477,1413,565,00061929,Other,,9
00061bc2,frame,900,439,1253,619,,,,9
00061bc3,frame,73,590,420,830,,,,9
00061bc4,frame,1243,846,1576,1080,,,,9
00061bc5,face,229,629,259,664,00061965,沢村大介,,9
00061bc6,face,1318,926,1427,1035,00061929,Other,,9
00061bc7,face,519,180,588,275,00061965,沢村大介,,9
00061bc8,body,244,872,420,1065,00061965,沢村大介,,9
00061bc9,face,968,682,1024,725,00061929,Other,,9
00061bca,body,496,340,559,520,00061929,Other,,9
00061bcb,body,429,332,494,535,00061929,Other,,9
00061bcc,body,900,643,1213,825,00061929,Other,,9
00061bcd,face,1442,174,1473,204,00061965,沢村大介,,9
00061bce,face,1105,996,1167,1061,00061929,Other,,9
00061bcf,frame,70,847,742,1081,,,,9
00061bd0,face,288,891,346,938,00061965,沢村大介,,9
00061bd1,text,1474,86,1561,168,,,いくらなんでもこれじゃあなあ,9
00061bd2,body,194,174,280,429,00061929,Other,,9
00061bd3,face,641,355,674,388,00061965,沢村大介,,9
00061bd4,body,107,178,193,446,00061929,Other,,9
00061bd5,body,921,312,1097,415,00061965,沢村大介,,9
00061bd6,text,103,604,118,644,,,くそっ,9
00061bd7,frame,902,647,1288,825,,,,9
00061bd8,frame,900,849,1230,1084,,,,9
00061bd9,frame,902,251,1275,412,,,,9
00061bda,face,936,146,1007,209,00061965,沢村大介,,9
00061bdb,face,515,353,537,377,00061929,Other,,9
00061bdc,body,1056,460,1228,621,00061929,Other,,9
00061bdd,face,275,347,314,384,00061965,沢村大介,,9
00061bde,face,1113,470,1161,520,00061929,Other,,9
00061bdf,face,996,1011,1022,1033,00061965,沢村大介,,9
00061be0,text,648,80,736,177,,,あっちでもこっちでも水ぶっかけてやがる......,9
00061be1,face,214,188,244,216,00061929,Other,,9
00061be2,face,160,199,188,229,00061929,Other,,9
00061be3,body,900,964,1185,1082,00061929,Other,,9
00061be4,text,81,85,144,133,,,あらそうよふふふ,9
00061be5,text,669,598,732,696,,,ちくしょうくやしいけどだめだ……,9
00061be6,body,508,626,665,823,00061965,沢村大介,,9
00061be7,body,1425,157,1524,384,00061965,沢村大介,,9
00061be8,body,173,607,321,828,00061965,沢村大介,,9
00061be9,frame,79,70,409,573,,,,9
00061bea,body,481,146,652,311,00061965,沢村大介,,9
00061beb,frame,424,330,740,573,,,,9
00061bec,body,908,430,1120,621,00061929,Other,,9
00061bed,body,1301,577,1575,821,00061929,Other,,9
00061bee,face,1393,616,1468,745,00061929,Other,,9
