id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
000621d3,text,934,110,954,150,あっ,,,34
000621d4,text,1443,865,1554,973,どうしてかくれたりしたんです......ぼかあ,,,34
000621d5,body,921,633,1174,828,,00061965,沢村大介,34
000621d6,body,1190,515,1449,827,,00061c83,乾,34
000621d7,face,291,223,349,292,,00061c83,乾,34
000621d8,body,1455,981,1562,1084,,00061965,沢村大介,34
000621d9,body,902,293,1050,484,,00061965,沢村大介,34
000621da,frame,1187,847,1569,1083,,,,34
000621db,text,92,344,132,416,ああの......,,,34
000621dc,face,1269,266,1334,344,,00061965,沢村大介,34
000621dd,body,205,191,404,315,,00061c83,乾,34
000621de,body,541,746,727,1076,,000620d0,担任,34
000621df,face,203,784,249,834,,00061965,沢村大介,34
000621e0,body,269,547,582,695,,00061965,沢村大介,34
000621e1,frame,1361,251,1573,482,,,,34
000621e2,frame,905,505,1572,827,,,,34
000621e3,face,149,114,197,164,,00061965,沢村大介,34
000621e4,body,1387,261,1573,477,,00061965,沢村大介,34
000621e5,text,1160,265,1173,311,いけね,,,34
000621e6,body,90,105,206,313,,00061965,沢村大介,34
000621e7,frame,902,251,1125,485,,,,34
000621e8,face,983,308,1022,360,,00061965,沢村大介,34
000621e9,face,1047,684,1176,823,,00061965,沢村大介,34
000621ea,text,1212,869,1299,1063,おれだって自習時間をぬけ出してうろうろしてたんだ大手をふって出られるかい,,,34
000621eb,body,1169,257,1349,482,,00061965,沢村大介,34
000621ec,text,939,528,978,574,キャプテン,,,34
000621ed,text,437,739,552,843,なにをひとりでギャーギャーわめいてるんだ！,,,34
000621ee,text,289,93,376,158,放課後野球部の部室へ来い,,,34
000621ef,body,611,146,742,302,,00061965,沢村大介,34
000621f0,body,94,389,366,522,,00061965,沢村大介,34
000621f1,face,1331,928,1398,1037,,00061c83,乾,34
000621f2,text,1074,873,1161,936,そんなことより沢村とか言ったな,,,34
000621f3,text,95,98,111,132,えっ,,,34
000621f4,frame,418,70,745,312,,,,34
000621f5,face,611,770,673,852,,000620d0,担任,34
000621f6,body,120,767,262,998,,00061965,沢村大介,34
000621f7,frame,73,73,403,313,,,,34
000621f8,face,570,385,635,463,,00061c83,乾,34
000621f9,text,1465,533,1553,681,どうやらチビの言ったこともうそじゃなかったようだな,,,34
000621fa,text,687,347,726,411,わかったな,,,34
000621fb,face,1359,539,1411,599,,00061c83,乾,34
000621fc,text,922,878,982,974,もう柔道部にはいったのか,,,34
000621fd,body,1265,870,1467,1078,,00061c83,乾,34
000621fe,face,619,188,707,302,,00061965,沢村大介,34
000621ff,frame,908,76,1578,231,,,,34
00062200,text,441,84,479,149,よし決まった,,,34
00062201,text,624,563,721,660,ぼくは野球なんて......,,,34
00062202,text,113,578,169,648,キャプテン！,,,34
00062203,body,412,902,543,1073,,00061965,沢村大介,34
00062204,body,902,921,1106,1078,,00061c83,乾,34
00062205,frame,71,712,407,1085,,,,34
00062206,text,665,88,727,120,いえ......まだ,,,34
00062207,body,399,366,667,522,,00061c83,乾,34
00062208,face,513,105,552,150,,00061c83,乾,34
00062209,frame,74,332,743,524,,,,34
0006220a,body,1117,88,1333,232,,00061965,沢村大介,34
0006220b,face,1483,996,1526,1052,,00061965,沢村大介,34
0006220c,face,453,923,536,1036,,00061965,沢村大介,34
0006220d,frame,902,850,1176,1081,,,,34
0006220e,face,1137,122,1221,208,,00061965,沢村大介,34
0006220f,face,1008,966,1071,1044,,00061c83,乾,34
00062210,body,453,97,578,315,,00061c83,乾,34
00062211,frame,416,717,743,1078,,,,34
00062212,frame,1134,245,1348,485,,,,34
00062213,frame,71,545,746,691,,,,34
00062214,face,316,558,462,691,,00061965,沢村大介,34
00062215,face,220,406,283,464,,00061965,沢村大介,34
00062216,face,1493,291,1556,347,,00061965,沢村大介,34
