id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
00065999,face,331,852,583,1069,000655ae,東雲小太郎,,24
0006599a,text,1037,706,1149,865,,,お角松じゃんどう？おとせそう？,24
0006599b,face,1330,1032,1398,1069,000655ae,東雲小太郎,,24
0006599c,face,943,473,981,512,0006564a,サッカー部員A,,24
0006599d,body,1425,691,1536,821,00065599,三村にしき,,24
0006599e,face,231,436,359,546,000655ae,東雲小太郎,,24
0006599f,frame,904,0,1612,429,,,,24
000659a0,body,612,279,749,349,00065658,サッカー部員C,,24
000659a1,body,895,561,1054,679,00065655,サッカー部員D,,24
000659a2,text,554,413,697,530,,,やっぱ角松ってひときわ大人っぽいよなー,24
000659a3,face,1452,726,1516,759,00065599,三村にしき,,24
000659a4,frame,1183,686,1284,1084,,,,24
000659a5,face,962,627,1026,675,00065655,サッカー部員D,,24
000659a6,body,904,959,992,1079,000655ae,東雲小太郎,,24
000659a7,text,1054,151,1093,273,,,そんなにいやだったの？,24
000659a8,body,181,281,245,352,000655ae,東雲小太郎,,24
000659a9,face,1263,170,1331,263,000655d4,角松由佳利,,24
000659aa,body,1163,102,1358,432,000655d4,角松由佳利,,24
000659ab,frame,1303,687,1551,1079,,,,24
000659ac,body,387,145,542,348,0006564a,サッカー部員A,,24
000659ad,text,1354,898,1413,967,,,にしきと仲いいし••••••,24
000659ae,face,437,717,530,783,00065599,三村にしき,,24
000659af,frame,904,687,1172,1085,,,,24
000659b0,frame,39,664,794,814,,,,24
000659b1,body,163,336,462,664,000655ae,東雲小太郎,,24
000659b2,text,1428,118,1522,232,,,にしき…あたしのキスのせいなのかしら,24
000659b3,text,1181,825,1287,912,,,こたろーなに見てるん？,24
000659b4,text,645,856,661,926,,,••••••なあ,24
000659b5,frame,41,813,793,1167,,,,24
000659b6,body,1020,407,1199,681,000655ae,東雲小太郎,,24
000659b7,text,663,687,699,756,,,もしもあたしが,24
000659b8,frame,110,100,322,350,,,,24
000659b9,text,519,112,533,183,,,オレも！,24
000659ba,text,1338,712,1398,778,,,なんでもないったら！！,24
000659bb,text,364,236,381,323,,,ガンバレよ,24
000659bc,body,260,811,592,1159,000655ae,東雲小太郎,,24
000659bd,body,358,667,612,809,00065599,三村にしき,,24
000659be,frame,864,430,1614,682,,,,24
000659bf,frame,337,97,760,351,,,,24
000659c0,text,135,895,281,1048,,,大人っぽいってどういうことをいうんだろ？,24
000659c1,text,948,787,961,822,,,え？,24
000659c2,face,1067,452,1132,508,000655ae,東雲小太郎,,24
000659c3,face,936,1017,980,1075,000655ae,東雲小太郎,,24
000659c4,text,245,112,306,203,,,それがさーてごわいんだよなー,24
000659c5,face,647,280,702,346,00065658,サッカー部員C,,24
000659c6,face,411,191,457,234,0006564a,サッカー部員A,,24
000659c7,body,867,429,993,632,0006564a,サッカー部員A,,24
000659c8,frame,36,356,797,659,,,,24
000659c9,body,1318,990,1420,1081,000655ae,東雲小太郎,,24
000659ca,text,578,116,738,244,,,おまえが角松のキスうばえるほうに千円かけてんだからな,24
000659cb,text,188,683,322,779,,,久我さんにつりあうくらい大人だったら••••••,24
000659cc,text,1447,853,1519,978,,,角松ならなんか知ってるかな••••••,24
000659cd,face,187,299,226,341,000655ae,東雲小太郎,,24
000659ce,text,129,126,204,255,,,角松ってばにしきの話しかしねーんだもん,24
