id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
00065ad5,frame,904,467,1555,614,,,,31
00065ad6,text,459,143,646,318,こたろーちゃんにきらわれるのがこんなにつらいなんて！！,,,31
00065ad7,body,1240,680,1324,811,,000655d4,角松由佳利,31
00065ad8,text,937,172,986,365,・・・・・・・・・・・・ゆかりちゃん・・・？,,,31
00065ad9,body,1127,699,1203,807,,00065599,三村にしき,31
00065ada,frame,551,586,745,713,,,,31
00065adb,text,1434,660,1516,748,いっしょにがんばりましようねっ♡,,,31
00065adc,text,1409,489,1541,580,あした球技大会にしきもバレーでしょ？,,,31
00065add,text,1384,865,1466,988,やっぱりあたしのキスがショックだったんだわ！！,,,31
00065ade,face,1259,950,1297,985,,000655d4,角松由佳利,31
00065adf,text,934,668,1025,773,こたろーちゃんにきらわれた・・・・・・・・・・・・,,,31
00065ae0,frame,905,826,1555,1079,,,,31
00065ae1,frame,905,98,1249,446,,,,31
00065ae2,face,1161,732,1192,770,,00065599,三村にしき,31
00065ae3,text,1515,142,1529,247,に・し・き♡,,,31
00065ae4,face,1072,233,1197,360,,00065599,三村にしき,31
00065ae5,text,929,866,1033,1035,こたろーちゃんにきらわれた!!,,,31
00065ae6,face,1339,200,1465,303,,000655d4,角松由佳利,31
00065ae7,face,1262,706,1295,746,,000655d4,角松由佳利,31
00065ae8,body,1295,131,1503,443,,000655d4,角松由佳利,31
00065ae9,face,1262,533,1289,562,,000655d4,角松由佳利,31
00065aea,frame,1265,104,1552,445,,,,31
00065aeb,body,1116,936,1204,1077,,00065599,三村にしき,31
00065aec,body,1206,923,1351,1079,,000655d4,角松由佳利,31
00065aed,body,991,171,1249,444,,00065599,三村にしき,31
00065aee,body,1239,502,1319,614,,000655d4,角松由佳利,31
00065aef,body,1130,521,1205,611,,00065599,三村にしき,31
00065af0,face,1164,556,1200,584,,00065599,三村にしき,31
00065af1,text,930,494,1006,582,こたろーちゃんにきらわれた・・・・・・・・・・・・,,,31
00065af2,frame,314,0,751,1163,,,,31
00065af3,frame,316,853,460,1070,,,,31
00065af4,frame,902,629,1553,812,,,,31
