id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
000668a2,face,169,321,262,408,000667f0,科野秀介,,9
000668a3,text,449,290,465,343,,,待てよ,9
000668a4,body,892,109,1110,314,0006686c,科野秀介姉,,9
000668a5,face,685,794,715,820,000667f0,科野秀介,,9
000668a6,body,129,233,277,501,000667f0,科野秀介,,9
000668a7,frame,106,111,275,502,,,,9
000668a8,text,465,137,480,188,,,せあら,9
000668a9,frame,892,595,1029,1169,,,,9
000668aa,text,1337,775,1359,980,,,…ごめん　なさい,9
000668ab,frame,506,111,757,501,,,,9
000668ac,text,1054,976,1069,1031,,,あの…,9
000668ad,text,1416,404,1534,563,,,わたしって先生やってるくせに不器用でねー,9
000668ae,frame,1041,593,1305,1169,,,,9
000668af,frame,1380,108,1545,572,,,,9
000668b0,text,111,368,126,481,,,行くんだろ？,9
000668b1,frame,283,111,498,502,,,,9
000668b2,text,644,952,676,1052,,,こいよ！,9
000668b3,text,913,325,932,385,,,……！,9
000668b4,face,557,254,608,295,0006686c,科野秀介姉,,9
000668b5,body,108,581,324,1094,000667f0,科野秀介,,9
000668b6,body,1380,233,1543,571,0006686c,科野秀介姉,,9
000668b7,body,1123,110,1317,572,000667ab,中原せあら,,9
000668b8,body,1041,596,1307,1168,000667ab,中原せあら,,9
000668b9,text,1279,125,1360,424,,,人形師のせあらさんに　ぜひ作り方教えてもらいたいなーって…,9
000668ba,face,1043,718,1294,1014,000667ab,中原せあら,,9
000668bb,body,653,773,757,1043,000667f0,科野秀介,,9
000668bc,text,173,132,268,237,,,明日　大越百貨店の人形展,9
000668bd,face,354,625,487,720,000667ab,中原せあら,,9
000668be,body,529,212,627,503,0006686c,科野秀介姉,,9
000668bf,frame,106,576,324,1091,,,,9
000668c0,face,898,233,1016,312,0006686c,科野秀介姉,,9
000668c1,face,122,773,325,987,000667f0,科野秀介,,9
000668c2,text,992,119,1103,263,,,あなたの直伝なら　生徒にも大いばりでき……,9
000668c3,text,1280,627,1295,677,,,わたし,9
000668c4,body,293,505,787,1168,000667ab,中原せあら,,9
000668c5,frame,891,108,1111,313,,,,9
000668c6,text,989,619,1012,784,,,ごめんなさい！,9
000668c7,text,691,547,749,697,,,先に行って待ってるからな,9
000668c8,text,1405,121,1519,228,,,うちの小学校毎年夏休み明けに人形劇やるんだけど,9
000668c9,face,626,159,728,244,000667f0,科野秀介,,9
000668ca,frame,45,505,798,1169,,,,9
000668cb,face,1125,275,1275,480,000667ab,中原せあら,,9
000668cc,body,575,113,759,503,000667f0,科野秀介,,9
000668cd,frame,1309,574,1609,1169,,,,9
000668ce,text,1056,624,1119,819,,,人形作る気に　今…なれな…,9
000668cf,face,1406,300,1527,414,0006686c,科野秀介姉,,9
000668d0,frame,1123,108,1370,574,,,,9
000668d1,frame,892,338,1110,573,,,,9
000668d2,body,291,199,435,499,000667ab,中原せあら,,9
000668d3,text,525,360,544,446,,,せあら！,9
