id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0006706f,text,1416,405,1430,497,ないで…！！,,,53
00067070,body,190,742,369,1138,,000667f0,科野秀介,53
00067071,frame,1399,113,1558,533,,,,53
00067072,face,1177,888,1385,1079,,000667ab,中原せあら,53
00067073,text,1500,598,1516,668,あのさ…,,,53
00067074,frame,1133,115,1388,537,,,,53
00067075,face,330,829,364,859,,000667ab,中原せあら,53
00067076,text,107,140,345,290,その人形のやさしさにだれかの心が引かれて入りこみ　人形を通してきみと会話しようとする,,,53
00067077,face,1247,302,1373,429,,000667ab,中原せあら,53
00067078,text,1528,147,1544,196,いか…,,,53
00067079,text,164,757,189,888,絶対にだ――,,,53
0006707a,frame,908,556,1555,719,,,,53
0006707b,text,980,581,1063,705,なんでオレが人形もお化けもこわくないかわかる？,,,53
0006707c,body,1236,558,1406,721,,000667f0,科野秀介,53
0006707d,text,633,162,702,251,きみは心をこめて人形を作る,,,53
0006707e,frame,912,113,1122,537,,,,53
0006707f,text,960,817,1023,940,きみが作った人形だからじゃないか,,,53
00067080,text,217,353,279,477,なんでこわがる必要があるんだい？,,,53
00067081,body,1042,750,1551,1091,,000667ab,中原せあら,53
00067082,frame,99,109,748,315,,,,53
00067083,face,978,173,1091,284,,000667f0,科野秀介,53
00067084,frame,95,336,746,483,,,,53
00067085,body,1186,183,1390,533,,000667ab,中原せあら,53
00067086,face,305,782,344,823,,000667f0,科野秀介,53
00067087,text,644,531,699,861,きみさえしっかりしてれば　危険なことにはならない,,,53
00067088,text,1161,424,1253,514,もうイヤ　こわい…！！,,,53
00067089,frame,46,482,750,1169,,,,53
0006708a,text,493,358,694,473,きみの作った人形だからこそ　そうやって人の心を呼ぶんだから,,,53
0006708b,text,1271,138,1374,245,ここにいて…　おねがいわたしもう,,,53
0006708c,frame,910,740,1556,1092,,,,53
0006708d,body,906,299,1099,541,,000667ab,中原せあら,53
0006708e,body,908,113,1123,537,,000667f0,科野秀介,53
0006708f,body,309,793,526,1033,,000667ab,中原せあら,53
00067090,face,1277,644,1360,716,,000667f0,科野秀介,53
00067091,text,1494,795,1517,919,あの人形たちは,,,53
