id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
00067e24,face,1266,388,1464,547,00067776,日下恵,,47
00067e25,body,314,1,799,693,00067778,月丘開耶,,47
00067e26,face,1223,805,1285,860,0006774c,高津萌,,47
00067e27,frame,903,715,1060,1083,,,,47
00067e28,body,292,545,719,1163,0006774c,高津萌,,47
00067e29,text,1493,75,1568,336,,,ええ〜〜っ,47
00067e2a,face,1341,826,1389,872,00067776,日下恵,,47
00067e2b,face,174,127,220,177,0006774c,高津萌,,47
00067e2c,body,1194,762,1376,1112,0006774c,高津萌,,47
00067e2d,text,1438,930,1513,1087,,,ずるーーい　ずっと　おなじ家にいるなんてさっ,47
00067e2e,text,929,82,1106,300,,,好きってもそんなおーげさなもんじゃ･･････　かも　だからねっ　かも！,47
00067e2f,body,865,318,1353,867,000677df,高津青,,47
00067e30,body,1096,109,1287,334,00067776,日下恵,,47
00067e31,text,999,726,1047,840,,,･･･んじゃ月丘さんは？,47
00067e32,text,933,919,959,1063,,,どう　思ってる？,47
00067e33,frame,1246,361,1569,625,,,,47
00067e34,body,33,771,324,1101,00067776,日下恵,,47
00067e35,frame,31,77,442,309,,,,47
00067e36,text,1406,420,1543,715,,,〜〜〜〜いま気づいちゃったけど　萌　青くんとはキョーダイじゃないのよね,47
00067e37,face,237,450,399,666,00067776,日下恵,,47
00067e38,face,1119,211,1265,287,00067776,日下恵,,47
00067e39,frame,863,316,1578,1129,,,,47
00067e3a,body,1295,67,1508,333,0006774c,高津萌,,47
00067e3b,body,1330,792,1571,1062,00067776,日下恵,,47
00067e3c,text,280,695,389,825,,,･･･萌とこんなこと話したのはじめてだよね,47
00067e3d,text,1089,864,1192,1053,,,べっ　べつに　青ちゃんはお兄ちゃんだもん　なにも思ってないわよ,47
00067e3e,frame,899,69,1575,333,,,,47
00067e3f,text,176,436,193,496,,,そだね,47
00067e40,frame,196,331,401,872,,,,47
00067e41,body,47,524,258,910,0006774c,高津萌,,47
00067e42,frame,31,311,324,1169,,,,47
00067e43,text,97,177,143,289,,,あ　ごまかしーっ,47
00067e44,text,462,381,494,475,,,開耶くん,47
00067e45,face,924,398,1276,684,000677df,高津青,,47
00067e46,body,144,80,435,307,0006774c,高津萌,,47
00067e47,frame,330,0,802,1166,,,,47
00067e48,text,702,497,730,634,,,月丘さん･･････？,47
00067e49,text,317,73,363,203,,,･･･そんなのわかんないよっ,47
00067e4a,face,95,576,186,649,0006774c,高津萌,,47
00067e4b,body,1268,363,1468,549,00067776,日下恵,,47
00067e4c,body,199,330,399,675,00067776,日下恵,,47
00067e4d,face,443,73,801,416,00067778,月丘開耶,,47
00067e4e,face,61,813,168,902,00067776,日下恵,,47
00067e4f,face,477,624,621,740,0006774c,高津萌,,47
00067e50,text,188,951,263,1120,,,あーあ　がんばるしかないか　恋もテニスも,47
