id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
00067e7b,text,536,933,718,1092,もう立ちどまってらんないぞ　もっともっと強くなって,,,49
00067e7c,body,865,406,1137,976,,00067778,月丘開耶,49
00067e7d,frame,1137,481,1303,1165,,,,49
00067e7e,face,1092,223,1158,271,,00067769,Other,49
00067e7f,text,949,153,970,217,じゃな,,,49
00067e80,text,1194,547,1256,634,応援にきたぞっ,,,49
00067e81,body,231,17,454,278,,00067778,月丘開耶,49
00067e82,text,933,915,992,1008,メダルに願かけ？,,,49
00067e83,face,908,504,1097,663,,00067778,月丘開耶,49
00067e84,frame,1146,325,1569,555,,,,49
00067e85,face,1243,67,1452,256,,000677df,高津青,49
00067e86,frame,350,787,759,908,,,,49
00067e87,text,149,939,224,1096,萌もプロになれよ,,,49
00067e88,body,376,595,667,777,,0006774c,高津萌,49
00067e89,face,1329,431,1443,500,,00067776,日下恵,49
00067e8a,frame,897,3,1619,383,,,,49
00067e8b,face,276,75,363,126,,00067778,月丘開耶,49
00067e8c,frame,1300,442,1618,1169,,,,49
00067e8d,body,509,783,741,910,,0006774c,高津萌,49
00067e8e,body,1141,579,1298,1162,,0006774c,高津萌,49
00067e8f,body,1409,742,1482,1008,,0006774c,高津萌,49
00067e90,frame,865,257,1140,1076,,,,49
00067e91,face,475,148,548,205,,0006774c,高津萌,49
00067e92,frame,85,3,745,279,,,,49
00067e93,frame,271,597,761,780,,,,49
00067e94,text,138,139,231,321,んじゃ　おれの力　萌にわけてやるよ,,,49
00067e95,face,1144,769,1247,999,,0006774c,高津萌,49
00067e96,text,1511,381,1530,416,うん,,,49
00067e97,text,1423,57,1594,341,でも　萌はシングルスはじめてだろ　あいつ　一人だとちぢこまるからな　日下さんアドバイスしてやってよ,,,49
00067e98,frame,95,883,758,1168,,,,49
00067e99,text,1071,347,1110,482,開耶くん！？,,,49
00067e9a,frame,85,286,761,596,,,,49
00067e9b,body,1164,1,1620,380,,000677df,高津青,49
00067e9c,body,1309,357,1516,552,,00067776,日下恵,49
00067e9d,body,1073,193,1239,316,,00067769,Other,49
00067e9e,body,468,110,577,276,,0006774c,高津萌,49
00067e9f,text,611,55,713,237,まあ･･････　ちょっときんちょーしちゃって,,,49
00067ea0,text,1191,343,1267,495,あたしのケガも心配してくれないかな･･･なんて,,,49
