id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
00068ce3,frame,512,677,745,1102,,,,44
00068ce4,frame,913,863,1601,1105,,,,44
00068ce5,body,1533,275,1601,388,00068cac,ネズミ,,44
00068ce6,frame,46,682,511,1106,,,,44
00068ce7,body,527,840,732,1105,00068464,ポロポロ,,44
00068ce8,face,983,209,1028,266,00068467,篠原かもき,,44
00068ce9,face,305,915,354,987,00068467,篠原かもき,,44
00068cea,body,67,759,270,1049,00068464,ポロポロ,,44
00068ceb,face,227,165,418,316,00068467,篠原かもき,,44
00068cec,body,109,376,668,665,000683f9,タップ・ケント,,44
00068ced,text,1426,888,1544,1024,,,かもき君店も落ちついてきたしそろそろお昼食べていいよ,44
00068cee,body,913,163,1058,414,00068467,篠原かもき,,44
00068cef,face,405,840,483,910,000683f9,タップ・ケント,,44
00068cf0,frame,1298,430,1605,625,,,,44
00068cf1,body,399,810,506,1090,000683f9,タップ・ケント,,44
00068cf2,frame,1335,69,1607,411,,,,44
00068cf3,body,1105,87,1231,410,00068467,篠原かもき,,44
00068cf4,face,372,408,538,610,000683f9,タップ・ケント,,44
00068cf5,body,282,861,455,1103,00068467,篠原かもき,,44
00068cf6,body,1039,856,1281,1103,00068467,篠原かもき,,44
00068cf7,face,1285,988,1336,1046,000683f9,タップ・ケント,,44
00068cf8,frame,907,69,1094,417,,,,44
00068cf9,frame,910,431,1281,852,,,,44
00068cfa,body,1250,110,1289,162,00068cac,ネズミ,,44
00068cfb,body,907,430,1281,855,00068467,篠原かもき,,44
00068cfc,text,1523,91,1560,136,,,はいどうぞ,44
00068cfd,text,1362,87,1408,174,,,どうもありがとう,44
00068cfe,face,103,811,225,897,00068464,ポロポロ,,44
00068cff,frame,1108,66,1321,415,,,,44
00068d00,text,934,878,1036,1079,,,チーフ!!たいへんですっ,44
00068d01,text,579,95,713,248,,,ヌカリナ市の保健所が明後日に飲食店の立ち入り検査をおこなうそうです!!,44
00068d02,text,546,704,586,788,,,どうしたんですかー,44
00068d03,body,1336,69,1574,418,00068467,篠原かもき,,44
00068d04,face,556,895,691,981,00068464,ポロポロ,,44
00068d05,face,1443,689,1528,776,00068467,篠原かもき,,44
00068d06,body,49,64,480,664,00068467,篠原かもき,,44
00068d07,frame,48,64,746,666,,,,44
00068d08,text,248,701,288,748,,,……？,44
00068d09,body,1276,942,1359,1077,000683f9,タップ・ケント,,44
00068d0a,face,1379,186,1493,311,00068467,篠原かもき,,44
00068d0b,face,986,591,1180,765,00068467,篠原かもき,,44
00068d0c,body,1349,641,1583,855,00068467,篠原かもき,,44
00068d0d,frame,1295,638,1605,853,,,,44
