id,type,xmin,ymin,xmax,ymax,character_id,character_name,page_number
00069128,body,248,603,320,676,000684a8,Other,63
00069129,body,1044,1026,1110,1093,000684a8,Other,63
0006912a,frame,508,772,750,1102,,,63
0006912b,body,1059,91,1227,234,000684a8,Other,63
0006912c,body,1449,165,1579,288,00068467,篠原かもき,63
0006912d,body,1306,815,1482,996,000684a8,Other,63
0006912e,body,87,83,238,237,000684a8,Other,63
0006912f,body,329,956,496,1094,00068479,コロップ,63
00069130,frame,402,64,752,302,,,63
00069131,body,1149,1025,1199,1085,000684a8,Other,63
00069132,face,1381,205,1445,259,000683f9,タップ・ケント,63
00069133,frame,48,772,251,1102,,,63
00069134,frame,1262,673,1598,1118,,,63
00069135,face,596,956,653,1017,00068479,コロップ,63
00069136,body,252,537,320,601,000684a8,Other,63
00069137,frame,1309,426,1600,658,,,63
00069138,face,996,261,1054,335,000683f9,タップ・ケント,63
00069139,face,336,982,380,1028,00068479,コロップ,63
0006913a,frame,347,278,750,758,,,63
0006913b,body,1097,627,1307,854,00068467,篠原かもき,63
0006913c,frame,48,64,393,352,,,63
0006913d,body,904,202,1150,411,000683f9,タップ・ケント,63
0006913e,body,204,132,367,274,000684a8,Other,63
0006913f,body,1096,1023,1153,1089,000684a8,Other,63
00069140,frame,902,204,1601,425,,,63
00069141,frame,257,773,498,1103,,,63
00069142,face,1492,193,1542,252,00068467,篠原かもき,63
00069143,frame,903,436,1296,1120,,,63
00069144,face,958,94,1082,173,00068464,ポロポロ,63
00069145,body,998,534,1121,638,000683f9,タップ・ケント,63
00069146,body,531,934,664,1036,00068479,コロップ,63
00069147,frame,903,87,1599,332,,,63
00069148,face,1127,649,1213,720,00068467,篠原かもき,63
00069149,face,102,977,212,1054,00068479,コロップ,63
0006914a,frame,46,327,345,757,,,63
0006914b,body,120,537,187,601,00068479,コロップ,63
0006914c,body,1342,436,1564,648,00068464,ポロポロ,63
0006914d,body,1189,1026,1235,1083,000684a8,Other,63
0006914e,body,1161,522,1275,623,00068467,篠原かもき,63
0006914f,body,1453,726,1544,802,00068479,コロップ,63
00069150,frame,1001,825,1251,1166,,,63
00069151,face,1387,512,1512,581,00068464,ポロポロ,63
00069152,body,1341,179,1456,271,000683f9,タップ・ケント,63
00069153,frame,1100,632,1329,851,,,63
00069154,body,1464,778,1580,912,000684a8,Other,63
00069155,body,1194,151,1342,248,000684a8,Other,63
00069156,body,903,86,1122,207,00068464,ポロポロ,63
00069157,face,1029,565,1081,599,000683f9,タップ・ケント,63
00069158,body,86,909,252,1102,00068479,コロップ,63
