id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
00069891,frame,913,330,1349,638,,,,97
00069892,frame,1386,60,1601,314,,,,97
00069893,text,511,415,552,533,あなた…やはりきましたわよっ,,,97
00069894,text,365,69,433,208,あれは本当にコースを走っているんだろうか!?,,,97
00069895,face,1454,134,1512,214,,000696f6,晴美,97
00069896,body,1153,466,1302,637,,00069897,邪魔者A,97
00069898,frame,49,556,461,966,,,,97
00069899,face,183,776,259,859,,00069897,邪魔者A,97
0006989a,face,62,760,116,815,,0006989b,邪魔者B,97
0006989c,body,638,201,737,382,,0006989d,トップの選手,97
0006989e,frame,51,395,463,851,,,,97
0006989f,frame,49,854,460,1104,,,,97
000698a0,face,600,716,662,803,,0006971d,林,97
000698a1,frame,530,62,747,385,,,,97
000698a2,body,368,160,517,379,,0006989d,トップの選手,97
000698a3,body,163,763,265,869,,00069897,邪魔者A,97
000698a4,text,1411,674,1513,824,このままマラソンコースに乗りこむんだよっ!!,,,97
000698a5,text,536,302,580,368,………………,,,97
000698a6,text,1209,338,1328,455,あんなにおおぜいにかこまれてちゃ手がだせませんぜ,,,97
000698a7,face,607,934,642,972,,000696f6,晴美,97
000698a8,body,55,731,122,818,,0006989b,邪魔者B,97
000698a9,frame,346,62,517,385,,,,97
000698aa,text,927,567,968,618,えっ？すると,,,97
000698ab,body,548,912,671,1060,,000696f6,晴美,97
000698ac,frame,474,823,744,1103,,,,97
000698ad,body,1407,97,1561,307,,000696f6,晴美,97
000698ae,body,164,920,303,1099,,000696f6,晴美,97
000698af,face,222,946,271,1014,,000696f6,晴美,97
000698b0,face,1190,483,1258,566,,00069897,邪魔者A,97
000698b1,frame,915,657,1606,1105,,,,97
000698b2,frame,51,62,336,384,,,,97
000698b3,frame,1363,330,1601,636,,,,97
000698b4,frame,480,400,745,670,,,,97
000698b5,frame,912,67,1374,312,,,,97
000698b6,body,487,557,620,670,,0006971d,林,97
000698b7,body,569,692,744,816,,0006971d,林,97
000698b8,body,976,396,1223,638,,0006989b,邪魔者B,97
000698b9,face,668,212,709,265,,0006989d,トップの選手,97
000698ba,face,594,472,678,555,,000696f6,晴美,97
000698bb,text,1461,338,1589,444,ボスはなんとかあの中継車をコースからほおりだせっていうけど,,,97
000698bc,frame,477,680,744,817,,,,97
000698bd,face,408,200,482,290,,0006989d,トップの選手,97
000698be,body,569,401,744,671,,000696f6,晴美,97
000698bf,text,934,354,1028,489,ばか!!なんのためにおれたちゃ自動車に乗ってるんだよ,,,97
000698c0,text,105,633,166,725,えっ,,,97
