id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
00069b27,face,269,645,325,705,000699e1,日暮葉月,,12
00069b28,text,90,618,130,711,,,来てくれたのね！,12
00069b29,face,177,906,193,928,000699e1,日暮葉月,,12
00069b2a,face,1271,187,1334,277,00069ab0,有森たつろー,,12
00069b2b,face,374,906,392,926,000699e3,有森杏子,,12
00069b2c,face,532,217,580,241,00069ab0,有森たつろー,,12
00069b2d,face,316,397,458,537,000699e1,日暮葉月,,12
00069b2e,frame,907,358,1592,536,,,,12
00069b2f,text,698,637,726,729,,,葉月‼,12
00069b30,frame,380,74,755,374,,,,12
00069b31,body,229,392,458,581,000699e1,日暮葉月,,12
00069b32,text,1132,89,1163,138,,,そーね………,12
00069b33,face,584,809,675,908,000699e3,有森杏子,,12
00069b34,frame,66,857,488,1101,,,,12
00069b35,text,951,383,986,448,,,だろうなまーいい,12
00069b36,body,607,168,697,258,000699e3,有森杏子,,12
00069b37,body,1102,360,1522,538,00069ab0,有森たつろー,,12
00069b38,text,1203,81,1238,164,,,どうなると思う？,12
00069b39,text,1466,79,1577,234,,,もしも深見の霊が鉄塔じゃなくて落雷のショックで電流に呪縛したとしたら……,12
00069b3a,body,498,720,757,1074,000699e3,有森杏子,,12
00069b3b,face,1408,198,1473,291,000699e3,有森杏子,,12
00069b3c,body,128,880,227,1020,000699e1,日暮葉月,,12
00069b3d,frame,909,67,1179,339,,,,12
00069b3e,face,1181,367,1411,536,00069ab0,有森たつろー,,12
00069b3f,text,396,84,478,185,,,そ……そうだな丸腰じゃたよりないな,12
00069b40,text,449,627,474,682,,,杏子!?,12
00069b41,frame,1189,69,1594,335,,,,12
00069b42,frame,907,581,1594,1091,,,,12
00069b43,text,1538,377,1569,437,,,………………,12
00069b44,frame,66,392,756,583,,,,12
00069b45,face,624,200,665,241,000699e3,有森杏子,,12
00069b46,body,192,602,441,842,000699e1,日暮葉月,,12
00069b47,body,1367,132,1575,336,000699e3,有森杏子,,12
00069b48,text,675,91,733,161,,,ね……ねえ入るの？,12
00069b49,body,357,884,480,1086,000699e3,有森杏子,,12
00069b4a,face,952,168,1143,335,000699e3,有森杏子,,12
00069b4b,body,905,69,1180,343,000699e3,有森杏子,,12
00069b4c,body,1247,102,1423,336,00069ab0,有森たつろー,,12
00069b4d,frame,500,602,757,1099,,,,12
00069b4e,body,524,179,599,244,00069ab0,有森たつろー,,12
00069b4f,text,924,84,959,165,,,ぜんぜんわかんない,12
00069b50,frame,70,604,490,834,,,,12
00069b51,frame,66,74,372,372,,,,12
