id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
00069bdd,text,1503,664,1558,748,でもたつろーは……,,,16
00069bde,body,892,240,1321,431,,00069ab0,有森たつろー,16
00069bdf,frame,1367,649,1579,1094,,,,16
00069be0,face,1247,844,1288,890,,000699e3,有森杏子,16
00069be1,text,1151,673,1213,819,わっわかった！,,,16
00069be2,text,1353,983,1613,1121,はやく‼,,,16
00069be3,face,327,435,537,647,,000699e3,有森杏子,16
00069be4,body,274,424,756,647,,000699e3,有森杏子,16
00069be5,frame,477,0,752,409,,,,16
00069be6,body,301,747,383,974,,000699e1,日暮葉月,16
00069be7,text,917,465,978,607,そうすればあいつは放電して消えちまう！,,,16
00069be8,text,94,449,125,519,雨が………………,,,16
00069be9,text,1282,80,1332,225,たつろーしっかりして！,,,16
00069bea,text,1430,466,1558,616,深見を逃がすななんでもいい水をぶっかけろ……,,,16
00069beb,face,607,194,637,222,,000699e3,有森杏子,16
00069bec,body,1198,805,1340,1066,,000699e3,有森杏子,16
00069bed,frame,64,424,754,647,,,,16
00069bee,body,554,163,659,409,,000699e3,有森杏子,16
00069bef,text,905,103,1005,264,大丈夫!?ねえたつろーっ,,,16
00069bf0,face,1117,164,1192,231,,000699e3,有森杏子,16
00069bf1,face,1414,792,1551,927,,000699e3,有森杏子,16
00069bf2,frame,890,454,1577,628,,,,16
00069bf3,frame,1100,651,1357,1092,,,,16
00069bf4,text,1310,327,1332,419,おえ……,,,16
00069bf5,frame,892,651,1149,1094,,,,16
00069bf6,frame,66,668,755,1096,,,,16
00069bf7,body,460,865,640,1095,,000699e3,有森杏子,16
00069bf8,frame,6,0,332,403,,,,16
00069bf9,face,1138,330,1261,423,,00069ab0,有森たつろー,16
00069bfa,face,1142,452,1346,575,,00069ab0,有森たつろー,16
00069bfb,body,993,450,1561,628,,00069ab0,有森たつろー,16
00069bfc,body,1022,86,1264,333,,000699e3,有森杏子,16
00069bfd,body,1365,649,1579,1054,,000699e3,有森杏子,16
00069bfe,frame,336,0,493,405,,,,16
00069bff,frame,892,70,1346,430,,,,16
00069c00,frame,1354,0,1581,430,,,,16
