id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
0006b0dc,frame,477,462,742,686,,,,35
0006b0dd,body,963,144,1091,268,0006a9ab,ゴキヴリマン,,35
0006b0de,text,130,468,164,591,,,ま…まじめだね……,35
0006b0df,body,115,897,228,1077,0006b0a5,ララミー,,35
0006b0e0,face,1416,713,1498,827,0006b0a5,ララミー,,35
0006b0e1,face,604,908,706,1014,0006b0a5,ララミー,,35
0006b0e2,body,956,774,1054,919,0006a9ab,ゴキヴリマン,,35
0006b0e3,text,1265,122,1329,228,,,ええ、そういう掟があって……,35
0006b0e4,text,925,128,989,251,,,……まさかホーキにのって飛んで来た…!?,35
0006b0e5,body,333,512,457,680,0006b0a5,ララミー,,35
0006b0e6,text,1099,489,1178,603,,,魔法の国？そんなワケのわからん国の人は雇えないよ,35
0006b0e7,text,929,310,971,413,,,それはそれで変だけど……,35
0006b0e8,body,581,845,743,1076,0006b0a5,ララミー,,35
0006b0e9,frame,916,296,1339,456,,,,35
0006b0ea,frame,912,482,1291,894,,,,35
0006b0eb,frame,118,460,462,689,,,,35
0006b0ec,text,926,488,1019,628,,,どこからきたの？魔法の国？キミちょっと交番まできてくれる？,35
0006b0ed,frame,1301,482,1543,894,,,,35
0006b0ee,frame,119,117,510,433,,,,35
0006b0ef,face,991,794,1024,851,0006a9ab,ゴキヴリマン,,35
0006b0f0,text,275,724,360,853,,,信じてなくはないけど、やっぱり話だけじゃさ…,35
0006b0f1,text,1444,935,1537,1061,,,そのうち、持ってきたお金も底をついて……,35
0006b0f2,text,125,125,267,273,,,ゴキヴリがしゃべったり、宇宙人が攻めてきたり…のご時世だしな……,35
0006b0f3,text,229,473,313,576,,,ニセのお金をつくるのは．いけないことです！,35
0006b0f4,face,1003,609,1061,665,0006a9da,Other,,35
0006b0f5,text,1486,132,1528,237,,,するとキミは魔女で……,35
0006b0f6,body,918,301,1110,457,0006a9ab,ゴキヴリマン,,35
0006b0f7,face,1117,997,1167,1023,0006b0a5,ララミー,,35
0006b0f8,text,479,485,526,588,,,お金出すとか……,35
0006b0f9,face,535,520,616,602,0006a9ab,ゴキヴリマン,,35
0006b0fa,text,1039,824,1075,892,,,そりゃムリないって,35
0006b0fb,body,1062,961,1426,1053,0006b0a5,ララミー,,35
0006b0fc,frame,386,714,570,1077,,,,35
0006b0fd,body,370,277,511,434,0006aae7,ゴールド,,35
0006b0fe,text,1242,314,1332,400,,,やだ！そんなの、ずっと昔の話ですよ！,35
0006b0ff,body,540,225,741,433,0006b0a5,ララミー,,35
0006b100,face,573,293,678,426,0006b0a5,ララミー,,35
0006b101,text,1071,122,1105,200,,,どっかできーたよーな,35
0006b102,body,174,277,348,433,0006ac8c,ビローン,,35
0006b103,frame,581,714,741,1075,,,,35
0006b104,text,402,727,559,835,,,じゃあたとえばどんなことができるの？できたら見たいな……,35
0006b105,body,1183,778,1276,918,0006b0a5,ララミー,,35
0006b106,frame,1349,117,1542,454,,,,35
0006b107,body,952,563,1108,792,0006a9da,Other,,35
0006b108,text,1238,487,1279,610,,,でも、いざり来てみると…,35
0006b109,text,1089,305,1131,413,,,ちゃんと飛行機で……,35
0006b10a,text,131,721,168,847,,,それもそうですね……,35
0006b10b,body,324,333,412,458,0006a9ab,ゴキヴリマン,,35
0006b10c,text,538,133,732,256,,,ホント…日本に来て、ケンジさんが初めてなんです。私の話、ちゃんと聞いてくれたの……,35
0006b10d,body,145,597,214,687,0006a9ab,ゴキヴリマン,,35
0006b10e,face,1161,347,1215,413,0006b0a5,ララミー,,35
0006b10f,frame,916,920,1544,1073,,,,35
0006b110,body,300,858,376,1077,0006a9ab,ゴキヴリマン,,35
0006b111,face,1199,816,1228,857,0006b0a5,ララミー,,35
0006b112,body,404,844,553,1076,0006a9ab,ゴキヴリマン,,35
0006b113,text,434,127,496,248,,,まあ、普通は信じないだろーけど……,35
0006b114,body,473,475,665,690,0006a9ab,ゴキヴリマン,,35
0006b115,body,1386,677,1542,892,0006b0a5,ララミー,,35
0006b116,body,1098,309,1256,454,0006b0a5,ララミー,,35
0006b117,face,357,539,395,573,0006b0a5,ララミー,,35
0006b118,body,1101,589,1271,824,0006a9da,Other,,35
0006b119,face,134,941,200,1009,0006b0a5,ララミー,,35
0006b11a,face,346,355,388,396,0006a9ab,ゴキヴリマン,,35
0006b11b,text,1336,485,1531,750,,,私、昔からに日本に憧れてて……日本で魔法を生かした仕事をしながら暮らせたら…ってずっと思ってたんです！,35
0006b11c,text,1350,134,1447,242,,,魔法の修行のために日本に来たと……,35
0006b11d,face,1006,180,1058,234,0006a9ab,ゴキヴリマン,,35
0006b11e,face,469,884,517,945,0006a9ab,ゴキヴリマン,,35
0006b11f,text,932,935,996,1037,,,……で、行き倒れってわけか……,35
0006b120,text,644,470,734,611,,,……でも本物の魔女なら、魔法でなんとかすりゃいいのに…,35
0006b121,text,592,723,734,865,,,もっとも、そんなことできませんけど…私、まだ未熟だから……,35
0006b122,frame,115,714,373,1078,,,,35
0006b123,text,131,379,151,413,,,？,35
0006b124,face,1166,625,1222,677,0006a9da,Other,,35
0006b125,body,167,121,511,433,0006abcf,シグマード,,35
0006b126,frame,911,116,1336,269,,,,35
0006b127,frame,523,118,744,431,,,,35
