id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0006b925,text,287,900,299,969,なあに？,,,72
0006b926,body,258,678,382,858,,0006b4db,社長,72
0006b927,text,925,463,964,570,い、いやそれがその…,,,72
0006b928,text,408,690,493,822,ハンコもついてあるし…裁判所もこっちの味方よ。,,,72
0006b929,body,972,168,1134,420,,0006a9ba,バルゼリオン,72
0006b92a,frame,1270,746,1535,1074,,,,72
0006b92b,text,1300,126,1337,204,言い切っちゃった。,,,72
0006b92c,frame,1453,113,1537,420,,,,72
0006b92d,body,529,906,607,1075,,0006a9ab,ゴキヴリマン,72
0006b92e,text,1152,118,1261,245,ララミーも女の子だし……あんまり強さをアピールしすぎてもね…,,,72
0006b92f,body,1059,249,1245,419,,0006b0a5,ララミー,72
0006b930,body,1117,589,1295,722,,0006b4db,社長,72
0006b931,face,1141,870,1214,942,,0006b4db,社長,72
0006b932,body,942,543,1020,724,,0006b4db,社長,72
0006b933,body,1309,491,1489,722,,0006a9ab,ゴキヴリマン,72
0006b934,text,493,128,618,234,実はこれケンちのだけ特別でね……,,,72
0006b935,face,333,977,401,1049,,0006b4db,社長,72
0006b936,frame,531,882,739,1079,,,,72
0006b937,text,929,756,1073,848,ねえケンち……これ、なんだか覚えてる？,,,72
0006b938,text,138,902,200,969,な…何でもない……,,,72
0006b939,body,1031,579,1097,721,,0006a9ab,ゴキヴリマン,72
0006b93a,frame,480,116,741,367,,,,72
0006b93b,face,354,224,444,306,,0006b4db,社長,72
0006b93c,body,159,394,535,651,,0006a9ab,ゴキヴリマン,72
0006b93d,frame,1308,447,1534,722,,,,72
0006b93e,body,293,934,441,1078,,0006b4db,社長,72
0006b93f,text,664,126,731,215,出場申し込み書…？,,,72
0006b940,text,134,395,168,528,な…!!,,,72
0006b941,text,1373,122,1435,244,でもバルゼリオンは無理でしょ？,,,72
0006b942,face,633,264,686,324,,0006a9ab,ゴキヴリマン,72
0006b943,frame,906,745,1262,1077,,,,72
0006b944,text,1415,460,1523,565,よーするにあんたに優勝してもらわなきゃこまるのよ。,,,72
0006b945,body,1288,267,1365,423,,0006a9ab,ゴキヴリマン,72
0006b946,frame,113,884,517,1079,,,,72
0006b947,body,1336,881,1488,1074,,0006a9ab,ゴキヴリマン,72
0006b948,frame,115,112,466,368,,,,72
0006b949,face,1205,623,1259,677,,0006b4db,社長,72
0006b94a,frame,393,675,741,856,,,,72
0006b94b,face,224,399,482,650,,0006a9ab,ゴキヴリマン,72
0006b94c,text,1283,750,1517,884,出たいのはやまやまなんだけど…最近体調がかんばしくなくて……だから悪いんだけど……,,,72
0006b94d,frame,904,450,1020,723,,,,72
0006b94e,text,1286,962,1325,1050,ちょっと苦しいか？,,,72
0006b94f,face,1135,305,1216,393,,0006b0a5,ララミー,72
0006b950,frame,903,116,1278,423,,,,72
0006b951,face,277,717,345,798,,0006b4db,社長,72
0006b952,frame,1029,448,1297,723,,,,72
0006b953,body,1458,253,1531,418,,0006a9ab,ゴキヴリマン,72
0006b954,face,1476,296,1530,410,,0006a9ab,ゴキヴリマン,72
0006b955,face,964,610,1017,706,,0006b4db,社長,72
0006b956,body,1369,284,1445,422,,0006b4db,社長,72
0006b957,frame,1286,113,1444,422,,,,72
0006b958,body,326,150,466,365,,0006b4db,社長,72
0006b959,face,1309,292,1347,334,,0006a9ab,ゴキヴリマン,72
0006b95a,face,1413,948,1465,1012,,0006a9ab,ゴキヴリマン,72
0006b95b,body,597,232,730,366,,0006a9ab,ゴキヴリマン,72
0006b95c,body,910,873,1006,1073,,0006a9ab,ゴキヴリマン,72
0006b95d,body,1065,816,1261,1075,,0006b4db,社長,72
0006b95e,text,558,448,686,589,"""今大会の開催費用全額を超ヒーロー企画に賠償しなくてはならない""",,,72
0006b95f,frame,111,391,741,654,,,,72
0006b960,body,114,916,256,1076,,0006a9ab,ゴキヴリマン,72
0006b961,frame,111,678,381,859,,,,72
0006b962,text,1047,458,1078,566,ど…どうしよう…,,,72
0006b963,text,126,124,333,285,"出場規則第２０条にこうあるわ。""ゴキヴリマンこと坂上ケンジが出場拒否・試合放棄・敗北の場合……""",,,72
0006b964,text,688,689,728,777,そ…それ……,,,72
0006b965,face,1310,587,1456,719,,0006a9ab,ゴキヴリマン,72
0006b966,text,446,896,508,1018,そーいやケンち何かいいたそーだったね……,,,72
0006b967,text,917,125,1004,394,とにかくあの二人にはムリさせたくないのよ。ケガされても困るし……,,,72
0006b968,text,1474,122,1516,241,だから、ほかの二人が……,,,72
0006b969,text,607,891,721,1013,誰かさんの給料じゃ一生かかっても払いきれるかどうか……,,,72
0006b96a,face,557,968,603,1072,,0006a9ab,ゴキヴリマン,72
0006b96b,text,1130,452,1287,574,大丈夫よ、まともなヒーローなんかほとんどいないから。楽勝楽勝！,,,72
0006b96c,text,127,688,213,791,もう億までいってんじゃないかなー、開催費……,,,72
